"0"," Privacy Policy     Effective Date    This Privacy Policy is applicable to www.prometheusgm.com, www.billboard.com, www.billboard.biz, www.adweek.com, www.backstage.com, www.hollywoodreporter.com, www.clioawards.com, www.filmjournal.com and any other site that may be operated by or for Prometheus Global Media (togetheher, the ""Websites""). It explains how we collect information from users of the Websites and how we use such information. Your use of the Websites constitutes your acceptance of this Privacy Policy. Please also read our Terms of Use , which govern the basic operation of the Websites.  ","Collect on website"
"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Collect on website"
"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Collect on website"
"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Collect on website"
"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Collect on website"
"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Track user on other websites"
"2","We may place a cookie on your computer. A cookie is a small amount of data, which often includes an anonymous unique identifier, sent to your browser from a websites computers and stored on your computers hard drive. We may use cookies to keep track of your choice of language and home page preference; to understand your exposure to certain Internet advertisements as you use the Websites, and to gather usage data that will help us generally improve the quality of the Websites. There is a simple procedure in most browsers that allows you to deny or accept cookies. You should note that cookies may be necessary to provide you with certain features on the Websites.  ","Collect on website"
"3","We also may use a small piece of code (sometimes referred to as 1x1 clear pixel, Web beacon or clear GIF) placed in the pages of the Websites to help us gather additional information about which parts of the site receive the most visitors and other user traffic patterns, and enable us to administer the site.  ","Collect on website"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Collect on website"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Collect on website"
"5","B. Personally Identifiable Information. We also may collect information that can be used to identify you (Personally Identifiable Information). We only collect Personally Identifiable Information when you specifically provide it to us. For example, in connection with your use of certain features of the Websites you may be asked to create a user account and provide certain information including your name, email addresses, address, and telephone number. You may also provide User Uploaded Information to the Websites, as described in the Terms of Use, or you may provide information such as your credit card number in connection with the purchase of services or content available through the Websites. When you create a user account with a Prometheus Global Media website and sign in to your account on the Websites or post User Uploaded Information, you are not anonymous to us.  ","Collect on website"
