"2"," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  ","Collect on website"
"3","If we collect such information, in most instances, the applicable page(s) or location(s) within the Services will include statements regarding what information is required for the elements of the Services to function properly and functionality for you to submit the requested or required information. In addition to the list above, there may also be opportunities for you to grant permission for use of other of your information in a manner set forth on the applicable page(s) within the Services.  ","Collect on website"
"4"," How We Use and Share Your Personal Information    If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information or as permissible under applicable law. We will not sell, lease, publish or share your personal information with or to anyone else, except as set forth in this Privacy Policy. We may use and share your personal information as described in Section 1 above and we may:  ","Collect on website"
"4"," How We Use and Share Your Personal Information    If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information or as permissible under applicable law. We will not sell, lease, publish or share your personal information with or to anyone else, except as set forth in this Privacy Policy. We may use and share your personal information as described in Section 1 above and we may:  ","Receive from other service/third-party (unnamed)"
"5","  Use your information to provide services you've requested or provide you with offers, promotions (e.g., a sweepstakes, fantasy game, subscription to goods or services, etc.) or content or add you to our postal mail list;  ","Collect on website"
"6","  Use your information to send you electronic communications, including emails about the league or a club applicable to your interactions with our Website, and about products, services, sponsors, partners and affiliates when you make a purchase, agree to rules or terms, or otherwise engage with our Website, to the extent the sending of such electronic communication is permissible under applicable law;  ","Collect on website"
"10","  Use and share your information with our third-party survey partners to send you periodic surveys to help improve our Services or your MLB experience;  ","Collect on website"
"11","  Use and share your information in connection with online loyalty, membership or rewards programs operated from our Services or with a third party from which you may receive goods or services in connection with such a program; or  ","Collect on website"
"13"," Additional Information About Collection of Location Data    Location Data We Collect. When you use our Service we may solicit your permission to collect your location data. Please be advised, for some features within our Applications to function (e.g. live MLB game video) we must confirm your current location and therefore some features will not be available if you choose not to provide your location data to us. The specificity of the location data collected may depend on a number of factors, including the device you are using (e.g. laptop, smartphone, tablet) and how you are connected to the internet (e.g. via cable broadband connection, WiFi, etc.). If you enable location services for our Applications, we may collect location data (e.g. zip code) periodically as you use or leave open our Applications. We may also use this data internally or in conjunction with our third party service providers to customize your experience and provide offers that may be relevant to you. Depending on the platform you use to access our Applications (e.g., Apples iOS, Googles Android, Windows, etc.) you may be able to control from within the settings on your wireless device or the Application(s) whether location data is collected.  ","Collect on website"
"14"," Additional Information About Our Access to Your Contacts    Our Access to Your Contacts. When you use our Mobile Games, we may solicit your permission to access your contacts list (e.g., address book) so that we may match individuals from your contacts lists with those participating in our Mobile Games so you can invite your friends to play with and against you. We will not store the information in your contacts list.  ","Collect in mobile app"
"14"," Additional Information About Our Access to Your Contacts    Our Access to Your Contacts. When you use our Mobile Games, we may solicit your permission to access your contacts list (e.g., address book) so that we may match individuals from your contacts lists with those participating in our Mobile Games so you can invite your friends to play with and against you. We will not store the information in your contacts list.  ","Collect on mobile website"
"15"," Other Information Collected And Shared Within Our Services.     Our Cookies and Web Beacons    We use and permit automatic methods such as cookies (small amounts of data which include a unique string of characters sent to your browser or application from a website's computers and stored on your computer's or device's hard drive), web beacons (technology used to track activity, also known as pixel tags) or similar technologies, alone or in combination with personally identifiable information you choose to provide us. Examples of the information we collect and analyze using such methods include, but is not limited to: personal information as authorized by you, the Internet protocol address used to connect your computer or device to the Internet; email address; login name and password; operating system type, version and computer or device platform; purchase history; the full Uniform Resource Locator clickstream to, on and from our Services, including date and time; and products you viewed or searched. We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page. We use and may allow certain third parties, such as those who provide services associated with our Services, to access these automatic data collection methods to enable you to use a ""shopping cart"" while using our Services, to store your preferences and to improve, deliver and customize our Services' content and offerings.  ","Collect on website"
"17"," Social Networking    When using our Services or when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity. If you authorize such a connection, you permit us to share or publish information about your activity on our Services, with that Social Network and its users, and to access certain of your Social Network information, as disclosed by you at the time you consent to the connection. Information we may share with a Social Network may include, but is not limited to: technical information about your Services activity, your Services comments or the videos you watch on our Services. Information we may access about you, with your consent, from a Social Network may include, but is not limited to, your basic Social Network information, your location data, your list of contacts, friends or followers, and certain of your activities on the Social Network. If you permit a connection between a Social Network and our Services, we (and that Social Network) may be able to identify you and to associate information received pursuant to the connection with information we already have about you. We recommend that you familiarize yourself with the privacy policy and privacy control options of any Social Network with which you choose to share information or connect to our Services.  ","Collect from user on other websites"
"17"," Social Networking    When using our Services or when using certain third party social networking services (e.g., Facebook, Twitter, Google +) (each and collectively, a ""Social Network""), you may have the option to connect your Website, Application, Mobile Game or Social Game information and activity with your Social Network information and activity. If you authorize such a connection, you permit us to share or publish information about your activity on our Services, with that Social Network and its users, and to access certain of your Social Network information, as disclosed by you at the time you consent to the connection. Information we may share with a Social Network may include, but is not limited to: technical information about your Services activity, your Services comments or the videos you watch on our Services. Information we may access about you, with your consent, from a Social Network may include, but is not limited to, your basic Social Network information, your location data, your list of contacts, friends or followers, and certain of your activities on the Social Network. If you permit a connection between a Social Network and our Services, we (and that Social Network) may be able to identify you and to associate information received pursuant to the connection with information we already have about you. We recommend that you familiarize yourself with the privacy policy and privacy control options of any Social Network with which you choose to share information or connect to our Services.  ","Receive from other service/third-party (unnamed)"
"18"," Device ID    When using our Mobile Games, we or our third party service provider may collect your unique device ID and share it on an aggregated and anonymous basis to help us understand our users and provide you a better experience. The aggregated and anonymous data may also be used by our third party service provider in connection with its products and services. If you wish to opt out of this anonymous data collection, please click here and follow the instructions.  ","Collect in mobile app"
"18"," Device ID    When using our Mobile Games, we or our third party service provider may collect your unique device ID and share it on an aggregated and anonymous basis to help us understand our users and provide you a better experience. The aggregated and anonymous data may also be used by our third party service provider in connection with its products and services. If you wish to opt out of this anonymous data collection, please click here and follow the instructions.  ","Collect on website"
"23","If you do not want information collected through the use of cookies, there is a simple procedure in most browsers that allows a user to accept or reject most cookies. Certain cookies that are set when some video products are accessed on our Website, called local shared objects or Flash cookies, may not be managed using the settings in your web browser. Information on managing, accepting and rejecting these cookies is available from Adobe on the Adobe website. If you set your browser or Adobe Flash options not to accept cookies or local shared objects, you may not be able to take advantage of certain Services.  ","Collect on website"
