"4","1. SCOPE AND CONSENT   When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy.  ","Collect on website"
"6","There are two main types of information we collect about users of our online services that include (but are not limited to) the following:   Information that identifies you: This is commonly referred to as ""personal information"" and includes, for example, information that you provide to us such as your name, home address, age, gender, telephone number, e-mail address, payment information (including your credit card number), and/or photos or video footage of you; and &  Information that relates to you, but on its own does not identify you: Such as information about your Internet connection, the equipment you use to access our online services and information relating to your usage of those services. ","Collect on website"
"7","There are six main categories of information we collect about users of our online services users that include (but are not limited to) the following:  ","Collect on website"
"8","Contact/Registration information: for example, your telephone number or e-mail address, where you have subscribed to a service such as program updates; name, age, gender or interests when you register for an account on one of our online services; delivery address where you are buying a product or service through an online service; or your age, location or delivery address if you choose to enter a competition or sweepstake offered through the online services. ","Collect on website"
"8","Contact/Registration information: for example, your telephone number or e-mail address, where you have subscribed to a service such as program updates; name, age, gender or interests when you register for an account on one of our online services; delivery address where you are buying a product or service through an online service; or your age, location or delivery address if you choose to enter a competition or sweepstake offered through the online services. ","Collect on website"
"8","Contact/Registration information: for example, your telephone number or e-mail address, where you have subscribed to a service such as program updates; name, age, gender or interests when you register for an account on one of our online services; delivery address where you are buying a product or service through an online service; or your age, location or delivery address if you choose to enter a competition or sweepstake offered through the online services. ","Collect on website"
"9","Transaction information: when you order products or services through the online services, you may provide information such as your credit / debit card details and other personal information related to that transaction. ","Collect on website"
"10","Information that you provide on message boards and other user forums: including your username, images or videos. Please use caution when posting to messages boards or other forums, as information posted to these portions of the online services is public information. ","Collect on website"
"10","Information that you provide on message boards and other user forums: including your username, images or videos. Please use caution when posting to messages boards or other forums, as information posted to these portions of the online services is public information. ","Collect on website"
"12","Information about your interactions with the online services: for example, your Internet protocol or (IP) address, pages that you visit within the online services, gameplay data or other information collected through Cookies and Tracking Technologies. ","Collect on website"
"13","Information that is collected from social networks and publicly available data: if you visit our online services on a device through which you also interact with social networks or if you interact with us through a social media function such as a plug-in (for example, a Facebook ""like"" button) then you may be permitting us to have on-going access to some information from your social network profile (such as your name, email address, your friend list, photo, age, gender, location, birthday, social networking ID, current city, the people/sites you follow, and so forth). If you don't want a social network to collect the information about you as described above, or you don't want to a social network to share it with us and other third parties, please review the privacy settings and instructions of the applicable social network before you visit and use our online services. ","Collect on website"
"13","Information that is collected from social networks and publicly available data: if you visit our online services on a device through which you also interact with social networks or if you interact with us through a social media function such as a plug-in (for example, a Facebook ""like"" button) then you may be permitting us to have on-going access to some information from your social network profile (such as your name, email address, your friend list, photo, age, gender, location, birthday, social networking ID, current city, the people/sites you follow, and so forth). If you don't want a social network to collect the information about you as described above, or you don't want to a social network to share it with us and other third parties, please review the privacy settings and instructions of the applicable social network before you visit and use our online services. ","Collect from user on other websites"
"14","We may also receive other information (e.g., content viewed and information about the advertisements within the content you have been shown or may have clicked on, etc.) from your interaction with the online services. You agree that we may share your video viewing with, or obtain information about your video viewing from, analytics providers and advertising partners and third-party social media sites for two years or until you withdraw your consent. The information we have access to from the third-party services varies by service and is controlled by your privacy settings on that service and by your consent. Information that may be passed to analytics providers and advertising partners may be via cookies and tracking technologies. Please see our Cookies and Tracking Technologies page for information, including your choices in relation to these technologies. By associating an account managed by a third party with your NBCUniversal account and authorizing us to have access to this information, you agree that we may collect, use, and store information from third-party services in accordance with this Privacy Policy.  ","Receive from other service/third-party (named)"
"14","We may also receive other information (e.g., content viewed and information about the advertisements within the content you have been shown or may have clicked on, etc.) from your interaction with the online services. You agree that we may share your video viewing with, or obtain information about your video viewing from, analytics providers and advertising partners and third-party social media sites for two years or until you withdraw your consent. The information we have access to from the third-party services varies by service and is controlled by your privacy settings on that service and by your consent. Information that may be passed to analytics providers and advertising partners may be via cookies and tracking technologies. Please see our Cookies and Tracking Technologies page for information, including your choices in relation to these technologies. By associating an account managed by a third party with your NBCUniversal account and authorizing us to have access to this information, you agree that we may collect, use, and store information from third-party services in accordance with this Privacy Policy.  ","Receive from other parts of company/affiliates"
"14","We may also receive other information (e.g., content viewed and information about the advertisements within the content you have been shown or may have clicked on, etc.) from your interaction with the online services. You agree that we may share your video viewing with, or obtain information about your video viewing from, analytics providers and advertising partners and third-party social media sites for two years or until you withdraw your consent. The information we have access to from the third-party services varies by service and is controlled by your privacy settings on that service and by your consent. Information that may be passed to analytics providers and advertising partners may be via cookies and tracking technologies. Please see our Cookies and Tracking Technologies page for information, including your choices in relation to these technologies. By associating an account managed by a third party with your NBCUniversal account and authorizing us to have access to this information, you agree that we may collect, use, and store information from third-party services in accordance with this Privacy Policy.  ","Receive from other service/third-party (unnamed)"
"15","3. HOW WE COLLECT YOUR INFORMATION   We collect your information when you use our online services in three main ways:   Directly from you, when you provide it to us: for example, when you request products or services from us, when you register with us, respond to surveys, contact us or otherwise interact with us. Please remember that if others use devices into which you remain logged in, they may share information with us as if they were you, and they may have access to information that you have previously provided us. To protect your privacy, please log out from the online services you use from shared devices. &  Automatically, when you use our online services: we collect information through the use of Cookies and Other Technologies and when you download our Mobile Apps. Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.  From third parties including social networks, other online services, from publicly available records, and from our trusted business partners. ","Collect on website"
"15","3. HOW WE COLLECT YOUR INFORMATION   We collect your information when you use our online services in three main ways:   Directly from you, when you provide it to us: for example, when you request products or services from us, when you register with us, respond to surveys, contact us or otherwise interact with us. Please remember that if others use devices into which you remain logged in, they may share information with us as if they were you, and they may have access to information that you have previously provided us. To protect your privacy, please log out from the online services you use from shared devices. &  Automatically, when you use our online services: we collect information through the use of Cookies and Other Technologies and when you download our Mobile Apps. Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.  From third parties including social networks, other online services, from publicly available records, and from our trusted business partners. ","Collect on website"
"15","3. HOW WE COLLECT YOUR INFORMATION   We collect your information when you use our online services in three main ways:   Directly from you, when you provide it to us: for example, when you request products or services from us, when you register with us, respond to surveys, contact us or otherwise interact with us. Please remember that if others use devices into which you remain logged in, they may share information with us as if they were you, and they may have access to information that you have previously provided us. To protect your privacy, please log out from the online services you use from shared devices. &  Automatically, when you use our online services: we collect information through the use of Cookies and Other Technologies and when you download our Mobile Apps. Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.  From third parties including social networks, other online services, from publicly available records, and from our trusted business partners. ","Collect on website"
