"5"," I. WHAT TYPES OF INFORMATION DO WE COLLECT?     A. Personally Identifiable Information We Collect From and About You    Information We Collect Directly From You: THE MRC may collect certain types of personally identifiable information that is, information that can identify an individual directly from you, including but not limited to:     name     e-mail address     date of birth     zip code     credit or debit card information     username     password  ","Collect on website"
"6","We may collect some or all of this information if you:     visit the Website, make inquiries through the Website or offline     purchase products or services on the Website     use our Website     share your e-mail address to subscribe to email newsletters     post comments, messages, letters and the like on the Website     participate in any surveys, contests, or sweepstakes sponsored by THE MRC     register for our Services     provide tips, comments or questions to us     contact us for customer service or other purposes     provide it to us when contacting us about this Policy  ","Collect on website"
"7"," Information We Collect About You From Third Parties:    You may log in to post comments or share articles via your Facebook, Twitter, Google+, LinkedIn, Disqus, or other third-party account (collectively, third party accounts). In the future, we may permit additional login methods. When you log-in via your third party account, you must grant us permission to access certain information from these third-party accounts, which will vary based on the third party account. Before you log in through the particular site, you will be presented with the list of permissions, and you may cancel your log on if you do not want to proceed. For information about how the third party site may disclose your information, including any information that you make public, please consult the third party accounts privacy policy. We have no control over how a third party account uses or discloses the personally identifiable information that you provide to it. We may store the information that we collect from the third party account along with the other information that we collect from you or receive about you. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect from user on other websites"
"7"," Information We Collect About You From Third Parties:    You may log in to post comments or share articles via your Facebook, Twitter, Google+, LinkedIn, Disqus, or other third-party account (collectively, third party accounts). In the future, we may permit additional login methods. When you log-in via your third party account, you must grant us permission to access certain information from these third-party accounts, which will vary based on the third party account. Before you log in through the particular site, you will be presented with the list of permissions, and you may cancel your log on if you do not want to proceed. For information about how the third party site may disclose your information, including any information that you make public, please consult the third party accounts privacy policy. We have no control over how a third party account uses or discloses the personally identifiable information that you provide to it. We may store the information that we collect from the third party account along with the other information that we collect from you or receive about you. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Receive from other service/third-party (unnamed)"
"7"," Information We Collect About You From Third Parties:    You may log in to post comments or share articles via your Facebook, Twitter, Google+, LinkedIn, Disqus, or other third-party account (collectively, third party accounts). In the future, we may permit additional login methods. When you log-in via your third party account, you must grant us permission to access certain information from these third-party accounts, which will vary based on the third party account. Before you log in through the particular site, you will be presented with the list of permissions, and you may cancel your log on if you do not want to proceed. For information about how the third party site may disclose your information, including any information that you make public, please consult the third party accounts privacy policy. We have no control over how a third party account uses or discloses the personally identifiable information that you provide to it. We may store the information that we collect from the third party account along with the other information that we collect from you or receive about you. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Receive from other service/third-party (unnamed)"
"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Collect on website"
"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Collect on website"
"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Collect on website"
"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Track user on other websites"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Track user on other websites"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"11"," Session Cookies.  Session cookies exist only during an online session. They disappear from your computer when you close your browser or turn off your computer. We use session cookies to allow our systems to uniquely identify you during a session or while you are logged into our Services.  ","Collect on website"
"11"," Session Cookies.  Session cookies exist only during an online session. They disappear from your computer when you close your browser or turn off your computer. We use session cookies to allow our systems to uniquely identify you during a session or while you are logged into our Services.  ","Collect on website"
"12"," Persistent cookies.  Persistent cookies remain on your computer after you have closed your browser or turned off your computer. We use persistent cookies to track aggregate and statistical information about user activity, which may be combined with other user information.  ","Collect on website"
"12"," Persistent cookies.  Persistent cookies remain on your computer after you have closed your browser or turned off your computer. We use persistent cookies to track aggregate and statistical information about user activity, which may be combined with other user information.  ","Collect on website"
"15"," ClickStream Data    THE MRC may use third-party software to analyze the Web pages that your computer visits while using our Services. This information, called clickstream data, is associated with your computers Internet protocol (IP) address and/or device ID, and includes other information such as the type of browser your computer/device uses to access the Internet. We may collect clickstream data to optimize search engine results and may also use clickstream data to analyze which portions of our Website draw the most traffic so we can improve performance of our Services. This clickstream data may be shared with third party advertisers and marketing companies. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"15"," ClickStream Data    THE MRC may use third-party software to analyze the Web pages that your computer visits while using our Services. This information, called clickstream data, is associated with your computers Internet protocol (IP) address and/or device ID, and includes other information such as the type of browser your computer/device uses to access the Internet. We may collect clickstream data to optimize search engine results and may also use clickstream data to analyze which portions of our Website draw the most traffic so we can improve performance of our Services. This clickstream data may be shared with third party advertisers and marketing companies. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect in mobile app"
"17"," Analytics.    We and our third party service providers conduct analytics of our Services to help us track and understand how visitors use our Services, using the technologies described in this section. For example, we use a variety of third party web analytics, to help us improve the performance and user experience of our Website and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Receive from other service/third-party (named)"
"17"," Analytics.    We and our third party service providers conduct analytics of our Services to help us track and understand how visitors use our Services, using the technologies described in this section. For example, we use a variety of third party web analytics, to help us improve the performance and user experience of our Website and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on website"
"18"," II. HOW DO WE USE YOUR INFORMATION?    We use your information, including the personally identifiable information that we collect about you (collectively, information), for various reasons, including:     to deliver content that you have requested from our Services;     to send e-mails that you have requested to receive from THE MRC;     to provide you with information, including via email, about services, products, and features that may be of interest to you, including products and services offered by third parties, as well as emails about our own Services;     for customer service purposes, such as in response to inquiries that you initiate with us about any aspect of our Website, to provide information about our Services, or any other customer service purpose; and     to understand how people use our Services, for research purposes, and to improve our Services.    III. WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT?    THE MRC may share personally identifiable information with others, such as:  ","Collect on website"
"31"," V. ADVERTISING    We use third parties such as network advertisers to serve advertisements on our Website. Network advertisers are third parties that display advertisements based on your visits to our Website and other websites you have visited. This enables us and these third parties to target advertisements to you for products and services in which you might be interested. Third party ad network providers, advertisers, sponsors and/or traffic measurement services may use cookies, JavaScript, web beacons (including clear GIFs), Flash LSOs and other technologies to measure the effectiveness of their ads and to personalize advertising content to you. These third party cookies and other technologies are governed by each third partys specific privacy policy, not this one. We may provide these third-party advertisers with information about your usage of our Site and our Services on an aggregated basis.  ","Receive from other service/third-party (named)"
