"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Collect on website"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Other"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Other"
"3","The orders you place for reproductions or publications on this site are processed by the National Archives Trust Fund (NATF), a division within the National Archives and Records Administration (NARA). The personal information you provide when you place an order with us may be used only to fulfill your order or to facilitate the preparation of internal statistical reports. The National Archives makes every effort to limit the number of people who have access to this personal information. The National Archives employees and authorized NATF contractors who handle credit card information must ensure that it is treated as cash and secured accordingly. Any National Archives official, employee, or contractor who willfully discloses such protected information may be subject to the sanctions included in the Privacy Act (5 U.S.C. 552a). The National Archives Trust Fund will retain your order information only as long as required by law and National Archives policy. If you have questions about the use of your information by the National Archives Trust Fund, please write to National Archives Trust Fund (NAT), 8601 Adelphi Road, College Park, MD 20740.  ","Collect on website"
"6"," Cookies    ""Cookies"" are small bits of text that are either used for the duration of a session (""session cookies""), or saved on a user's hard drive in order to identify that user, or information about that user, the next time the user logs on to a website (""persistent cookies""). Your computer will only share the information in the cookie with the website that provided it and no other website can request it. The National Archives website and its component sites may use persistent cookies. By default, we use cookies to enable more streamlined navigation and for statistical analysis to make improvements to our website. A few of our websites may also make use of persistent cookies to remember you between visits so, for example, you can save your customized preference settings for future visits. Each NARA site using persistent cookies identifies itself as doing so.  ","Track user on other websites"
"6"," Cookies    ""Cookies"" are small bits of text that are either used for the duration of a session (""session cookies""), or saved on a user's hard drive in order to identify that user, or information about that user, the next time the user logs on to a website (""persistent cookies""). Your computer will only share the information in the cookie with the website that provided it and no other website can request it. The National Archives website and its component sites may use persistent cookies. By default, we use cookies to enable more streamlined navigation and for statistical analysis to make improvements to our website. A few of our websites may also make use of persistent cookies to remember you between visits so, for example, you can save your customized preference settings for future visits. Each NARA site using persistent cookies identifies itself as doing so.  ","Receive from other service/third-party (named)"
"8","We use persistent cookies on archives.gov for our online American Customer Satisfaction Index (ACSI) survey. The survey is delivered randomly to archives.gov, ARC, and AAD visitors as a pop up questionnaire. Answers to the survey help us improve these sitesmaking them easier to use and more responsive to the needs of our visitors.  ","Collect on website"
"8","We use persistent cookies on archives.gov for our online American Customer Satisfaction Index (ACSI) survey. The survey is delivered randomly to archives.gov, ARC, and AAD visitors as a pop up questionnaire. Answers to the survey help us improve these sitesmaking them easier to use and more responsive to the needs of our visitors.  ","Collect on website"
"9","Cookies will:     Block the repeated delivery of the survey either in the current visit or in any subsequent visit     Record only that the visitor had the opportunity to answer the survey questions     Expire 60 days after being set     Reduce the burden on visitors to the site by avoiding repeated delivery of the pop-up survey  ","Collect on website"
"9","Cookies will:     Block the repeated delivery of the survey either in the current visit or in any subsequent visit     Record only that the visitor had the opportunity to answer the survey questions     Expire 60 days after being set     Reduce the burden on visitors to the site by avoiding repeated delivery of the pop-up survey  ","Collect on website"
"9","Cookies will:     Block the repeated delivery of the survey either in the current visit or in any subsequent visit     Record only that the visitor had the opportunity to answer the survey questions     Expire 60 days after being set     Reduce the burden on visitors to the site by avoiding repeated delivery of the pop-up survey  ","Collect on website"
"10","Cookies will not:     Collect any information about visitors     Track the web surfing activities of visitors     Indicate whether a visitor answered any questions     Link a particular visitor to any response of set of responses to the survey  ","Other"
"10","Cookies will not:     Collect any information about visitors     Track the web surfing activities of visitors     Indicate whether a visitor answered any questions     Link a particular visitor to any response of set of responses to the survey  ","Track user on other websites"
"10","Cookies will not:     Collect any information about visitors     Track the web surfing activities of visitors     Indicate whether a visitor answered any questions     Link a particular visitor to any response of set of responses to the survey  ","Collect on website"
"11","Some of our websites (such as Founder's Online) use a feature called ""Web Storage"" (which includes HTML5 ""local storage"") so users can retrieve searches or user-defined preferences, or data marked as a favorite. This feature creates a storage file on the user's local hard drive that holds links to the resources from the website that the individual user previously searched or identified as a preference or favorite. No information from this file is transferred to NARA or any other website. Local storage files can be cleared through your browser settings or disabled, similar to cookies.  ","Other"
"11","Some of our websites (such as Founder's Online) use a feature called ""Web Storage"" (which includes HTML5 ""local storage"") so users can retrieve searches or user-defined preferences, or data marked as a favorite. This feature creates a storage file on the user's local hard drive that holds links to the resources from the website that the individual user previously searched or identified as a preference or favorite. No information from this file is transferred to NARA or any other website. Local storage files can be cleared through your browser settings or disabled, similar to cookies.  ","Collect from user on other websites"
"13","Where possible, we embed the media in a way that minimizes the use of cookies. Third party hosts of the embedded media do not collect personally identifiable information (PII) on behalf of NARA. Any PII they collect on their own behalf is not shared with NARA.  ","Receive from other service/third-party (named)"
"13","Where possible, we embed the media in a way that minimizes the use of cookies. Third party hosts of the embedded media do not collect personally identifiable information (PII) on behalf of NARA. Any PII they collect on their own behalf is not shared with NARA.  ","Receive from other service/third-party (unnamed)"
