"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Collect on website"
"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Other"
"4"," Automatically Collected Information    The Library of Congress strives to provide the best experience for our Web and SMS users. To that end, the Library automatically collects and stores the following non-personally identifiable information:   The name of the domain from which you access the Internet,     The Internet Protocol address of your Internet provider's gateway, or in some cases, the computer you are using,     The date and time you access the Library's site,     The URL of the pages you visit and files you download,     The Internet address of the website from which you linked directly to our site,     Characteristics of your system, and     Search terms used to come to the site and while on the site (in aggregate only).  ","Track user on other websites"
"4"," Automatically Collected Information    The Library of Congress strives to provide the best experience for our Web and SMS users. To that end, the Library automatically collects and stores the following non-personally identifiable information:   The name of the domain from which you access the Internet,     The Internet Protocol address of your Internet provider's gateway, or in some cases, the computer you are using,     The date and time you access the Library's site,     The URL of the pages you visit and files you download,     The Internet address of the website from which you linked directly to our site,     Characteristics of your system, and     Search terms used to come to the site and while on the site (in aggregate only).  ","Collect on website"
"5","This information allows us to improve our website design, presentation and system performance. We collect this information from users who read, browse and/or download information from the Library's websites.  ","Collect on website"
"6","Additionally, if you choose to receive our Library Alerts via text message delivered to cell phones by SMS messaging, we automatically collect your cell phone number so we can send you the Library Alerts. You can opt out of our Library Alerts at any time.  ","Other"
"7"," Information Collected for Measurement and Customization (Cookies)    The Library wants to provide our users with the best online experience possible. As such, we use commercial software products to analyze and report on aggregated web metrics data. This data is generally retained indefinitely to support the mission of our Library of Congress web properties.  ","Collect on website"
"8","The Library uses three types of information collecting tools on its various websites: session cookies, persistent cookies, and other customization tools. ""Cookies"" are small files that a website transfers to your computer to allow the site to remember specific information. If you do not want cookies to be transferred to your computer, you may choose to opt out of their use by modifying your browser options. While you will still be able to access most features of the Library's websites, certain features may not work as well or may be unavailable to you.  ","Collect on website"
"9","Session cookies do not contain personal information and once you close your browser, the cookies disappear. The Library uses session cookies on our site for technical purposes such as to enable you to more easily navigate throughout the Library's websites. Session cookies only collect non-personally identifiable data.  ","Collect on website"
"10","Persistent cookies store information on your computer for longer periods of time and across multiple sessions. The Library never uses persistent cookies to collect personal identifiable information about our website visitors. The Library uses persistent cookies to improve our web metrics by distinguishing between new and returning visitors; to prevent repeated prompting to complete our customer satisfaction survey, to anonymously aggregate data on how visitors use our sites and to ""remember"" preferences that you voluntarily provide in order to create a more seamless experience.  ","Collect on website"
"11","Customization tools allow you to voluntarily provide information to personalize and improve your online experience on a particular Library website. This information is saved on our servers.  ","Collect on website"
"12"," Personal Information    In order to use certain features of the Library's websites, you may need to submit personal information so we can respond appropriately. We will inform you what information we require and will only use it for the stated purpose. Examples include making a purchase from the Library's online gift shop, requesting a response on a feedback form and participating in the Library's wikis or blog areas. By providing the information, you are giving consent to the Library to use the information for the stated purpose; if you do not want to provide the information, the feature will not be available to you.  ","Collect on website"
"15","Some of these sites provide games and activities, and occasionally, we collect personally identifiable information in order to complete the one-time game or activity. We do not use the information for any other purpose and delete the information as soon as practical. For example, in our Lifelong Literacy area, children can create an online picture postcard and email it to a friend. In order to send the online postcard, we need both email addresses as well as the child's first name so that the recipient will know who sent the card. This information is not retained. If the child chooses to post the online postcard in our gallery, we will not post any personally identifying information.  ","Collect on website"
"20"," About Our Web Surveys    The Library uses various types of online forms and surveys to collect opinions and feedback from a random sample of visitors. Primarily, the Library uses the ForeSee Results' American Customer Satisfaction Index (ACSI) online survey on an ongoing basis to obtain feedback and data on visitors' satisfaction with various Library of Congress web properties. The ACSI survey invitation pops up for a random sample of visitors; it is voluntary and does not collect personal information. The Library may also use other third party forms and surveys allowing you to provide feedback. All information you submit is voluntary.  ","Collect on website"
"20"," About Our Web Surveys    The Library uses various types of online forms and surveys to collect opinions and feedback from a random sample of visitors. Primarily, the Library uses the ForeSee Results' American Customer Satisfaction Index (ACSI) online survey on an ongoing basis to obtain feedback and data on visitors' satisfaction with various Library of Congress web properties. The ACSI survey invitation pops up for a random sample of visitors; it is voluntary and does not collect personal information. The Library may also use other third party forms and surveys allowing you to provide feedback. All information you submit is voluntary.  ","Receive from other service/third-party (named)"
"21","If you are randomly selected, a pop-up window will lead to the survey. The survey uses a persistent ""cookie"" to recognize that you have been invited to complete the survey and block subsequent prompts. If you have set up your Internet browser to ignore or disable pop-ups, you will not be able to be randomly selected for the survey. If you have disabled JavaScript in your browser, but are interested in responding to our survey if randomly selected, you will want to enable JavaScript and reload the website now.  ","Track user on other websites"
