"1","1. Purpose and Scope of this Privacy Policy.   This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.  ","Collect on website"
"1","1. Purpose and Scope of this Privacy Policy.   This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.  ","Other"
"4","d. Except as specified herein, this policy also does not apply to information you may provide to us offline; however please do be aware that if you subscribe offline to one of the magazines published by Hearst (""Magazines""), from time to time we make your postal addresses available to companies for marketing purposes.  ","Other"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Collect on website"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Collect on website"
"7","b. Cookies.   (i) Hearst (or third party service providers on our behalf) may set and access cookies and similar technologies on your computer. A cookie is a small amount of data (often including a unique identifier), that is sent to your browser from a web site's computers and stored on your computer's hard drive. Some of our cookies may be local shared objects, also known as Flash cookies. Cookies may be session cookies (which expire once you close your web browser) and persistent cookies (which stay on your computer until you delete them). Hearst uses cookies to understand site usage and to improve the content and offerings on our Covered Sites and in other media. We may use cookies to control the display of ads, to track usage patterns on the sites, to deliver editorial content, to record requests for subscriptions and to personalize information. Our cookies may contain Personally Identifiable Information and such cookies may be shared with others to the same extent indicated in Section 4.Hearst (or third party service providers on our behalf) may also use cookies to collect aggregate information about web site users on an anonymous basis(""Anonymous Information""). We may share aggregate demographic and usage information with our prospective and actual business partners, advertisers and other third parties for any business purpose.  ","Other"
"7","b. Cookies.   (i) Hearst (or third party service providers on our behalf) may set and access cookies and similar technologies on your computer. A cookie is a small amount of data (often including a unique identifier), that is sent to your browser from a web site's computers and stored on your computer's hard drive. Some of our cookies may be local shared objects, also known as Flash cookies. Cookies may be session cookies (which expire once you close your web browser) and persistent cookies (which stay on your computer until you delete them). Hearst uses cookies to understand site usage and to improve the content and offerings on our Covered Sites and in other media. We may use cookies to control the display of ads, to track usage patterns on the sites, to deliver editorial content, to record requests for subscriptions and to personalize information. Our cookies may contain Personally Identifiable Information and such cookies may be shared with others to the same extent indicated in Section 4.Hearst (or third party service providers on our behalf) may also use cookies to collect aggregate information about web site users on an anonymous basis(""Anonymous Information""). We may share aggregate demographic and usage information with our prospective and actual business partners, advertisers and other third parties for any business purpose.  ","Other"
"7","b. Cookies.   (i) Hearst (or third party service providers on our behalf) may set and access cookies and similar technologies on your computer. A cookie is a small amount of data (often including a unique identifier), that is sent to your browser from a web site's computers and stored on your computer's hard drive. Some of our cookies may be local shared objects, also known as Flash cookies. Cookies may be session cookies (which expire once you close your web browser) and persistent cookies (which stay on your computer until you delete them). Hearst uses cookies to understand site usage and to improve the content and offerings on our Covered Sites and in other media. We may use cookies to control the display of ads, to track usage patterns on the sites, to deliver editorial content, to record requests for subscriptions and to personalize information. Our cookies may contain Personally Identifiable Information and such cookies may be shared with others to the same extent indicated in Section 4.Hearst (or third party service providers on our behalf) may also use cookies to collect aggregate information about web site users on an anonymous basis(""Anonymous Information""). We may share aggregate demographic and usage information with our prospective and actual business partners, advertisers and other third parties for any business purpose.  ","Collect on website"
"10","c. Gifs. We may use ""clear GIFs"" (aka ""webbeacons"" or ""pixel tags"") or similar technologies, in the sites and in our communications with you to enable us to know whether you have visited a web page or received a message. A clear GIF is typically a one-pixel,transparent image (although it can be a visible image as well), located on a web page or in an e-mail or other type of message, which is retrieved from a remote site on the Internet enabling the verification of an individual's viewing or receipt of a web page or message. A clear gif may enable us to relate your viewing or receipt of a webpage or message to other information about you, including your Personally Identifiable Information.  ","Track user on other websites"
"10","c. Gifs. We may use ""clear GIFs"" (aka ""webbeacons"" or ""pixel tags"") or similar technologies, in the sites and in our communications with you to enable us to know whether you have visited a web page or received a message. A clear GIF is typically a one-pixel,transparent image (although it can be a visible image as well), located on a web page or in an e-mail or other type of message, which is retrieved from a remote site on the Internet enabling the verification of an individual's viewing or receipt of a web page or message. A clear gif may enable us to relate your viewing or receipt of a webpage or message to other information about you, including your Personally Identifiable Information.  ","Track user on other websites"
