"5","THIS POLICY APPLIES TO:   This policy applies to the websites us.playstation.com and naughtydog.com. In addition, we own several other domain names that point to us.playstation.com. From time to time, we may add new websites not listed above, and will provide a link to this policy or the applicable privacy policy. Finally, we collect information via dynamic in-game advertising that is served to some online PlayStation3 games. By use of our websites and games that have dynamic in-game advertising, you signify your assent to SCEA's privacy policy. If you do not agree to this policy, please do not use our websites or games with dynamic in-game advertising.  ","Other"
"6","THIS POLICY DOES NOT APPLY TO:   PlayStationNetwork   In parts of North America and South America, Sony Network Entertainment America Inc. (""SNEA"") operates Sony Online Services, a network of online games, movies, music, other media and content and communication services. PlayStation Network (""PSN"") is one of these Sony Online Services. With a Sony Online Services or Sony Entertainment Network account, users can purchase goods and services from SNEA through Sony Online Services and may have the opportunity to participate in various network community activities. Users can register for and log into a Sony Entertainment Network account via us.playstation.com. Collection and use of your information by Sony Online Services is governed by the SNEA Privacy Policy, which can be found here:   http://www.qriocity.com/us/en/legal-privacy.  ","Collect on website"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Collect on website"
"9","We collect personally identifying information in connection with the following:   Questions or comments sent through our websites to Consumer Services  Repair of, replacement of or service on system hardware  Subscription to a non-PSN marketing program  ""Send-to-a-Friend"" emails  Purchases made from the PlayStation Shop ","Collect on website"
"10","Some of our website activities require that the user log in using a PlayStationNetwork (""PSN"") account; for information regarding SNEA's collection of information in association with a Sony Entertainment Network account, please see their Privacy Policy http://www.qriocity.com/us/en/legal-privacy. On our websites, PlayStation Network log in information is being authenticated by SNEA, not SCEA.  ","Collect on website"
"12","Passive Information Collection   SCEA may collect information such as our website visitors' IP address, IP address-related information, system Media Access Control (""MAC"") address, network configuration information, network device information, browser plug-in types and versions, operating system, and platform. We also may collect information about your download activity, browser activity, forum postings and session information.  ","Collect on website"
"13","Dynamic advertisement serving technology enables advertisements to be temporarily loaded or cached to a Sony Entertainment Network account holder's PS3 system for display only in games that incorporate this technology. If a Sony Entertainment Network account holder plays a game that utilizes this feature, SCEA will log information about his or her system and game play to ensure that advertisements are being appropriately served to him or her and to track information about the advertisements displayed during his or her gaming session. Logged data may include: Online ID, system IP address, system MAC address, in-game advertisement location, the length of time an advertisement was visible, relative size of advertisements, the angle of view and other information related to each advertisement visible during the gaming session.  ","Other"
"13","Dynamic advertisement serving technology enables advertisements to be temporarily loaded or cached to a Sony Entertainment Network account holder's PS3 system for display only in games that incorporate this technology. If a Sony Entertainment Network account holder plays a game that utilizes this feature, SCEA will log information about his or her system and game play to ensure that advertisements are being appropriately served to him or her and to track information about the advertisements displayed during his or her gaming session. Logged data may include: Online ID, system IP address, system MAC address, in-game advertisement location, the length of time an advertisement was visible, relative size of advertisements, the angle of view and other information related to each advertisement visible during the gaming session.  ","Other"
"14","""Cookies"" are bits of electronic information that a website can transfer to a consumer's hard drive to keep records of his or her visit at the website. We may use cookies to improve consumers' experiences when visiting our websites. We may use cookies to anonymously track interest in, and collect aggregate information on, our websites.  ","Collect on website"
"15","""Log files"" are files that log actions that have occurred on a website. We may use log files to gather statistics about consumers' browsing habits and to assess overall website activity, including how many ""hits"" a particular web page is getting. These entries are generated anonymously, and enable us to track interest in specific promotions, troubleshoot technical concerns, and provide consumers with content that may be of interest to them. We also use the log file entries for our internal marketing and demographic studies, so we can constantly improve the online services we provide to consumers. Log files are used internally only, and are not associated with any particular user, computer, or browser.  ","Collect on website"
"16","Our websites use a variety of technical methods for tracking purposes, including ""Web beacons"". Web beacons are small pieces of data that are embedded in images on the pages of websites. We also use these technical methods to analyze the traffic patterns on our websites, such as the frequency with which consumers visit various parts of our websites. These technical methods may involve the transmission of information either directly to us or to another party authorized by us to collect information on our behalf. We also use these technical methods in HTML emails that we send our guests to determine whether our consumers have opened those emails or clicked on links in those emails. The information from use of these technical methods may be collected in a form that is personally identifiable.  ","Collect on website"
"16","Our websites use a variety of technical methods for tracking purposes, including ""Web beacons"". Web beacons are small pieces of data that are embedded in images on the pages of websites. We also use these technical methods to analyze the traffic patterns on our websites, such as the frequency with which consumers visit various parts of our websites. These technical methods may involve the transmission of information either directly to us or to another party authorized by us to collect information on our behalf. We also use these technical methods in HTML emails that we send our guests to determine whether our consumers have opened those emails or clicked on links in those emails. The information from use of these technical methods may be collected in a form that is personally identifiable.  ","Receive from other service/third-party (unnamed)"
"16","Our websites use a variety of technical methods for tracking purposes, including ""Web beacons"". Web beacons are small pieces of data that are embedded in images on the pages of websites. We also use these technical methods to analyze the traffic patterns on our websites, such as the frequency with which consumers visit various parts of our websites. These technical methods may involve the transmission of information either directly to us or to another party authorized by us to collect information on our behalf. We also use these technical methods in HTML emails that we send our guests to determine whether our consumers have opened those emails or clicked on links in those emails. The information from use of these technical methods may be collected in a form that is personally identifiable.  ","Track user on other websites"
"17","Information from PlayStationNetwork   SNEA shares its Sony Entertainment Network account holders' information with us so that we may provide you with marketing and community services.  ","Receive from other service/third-party (named)"
"17","Information from PlayStationNetwork   SNEA shares its Sony Entertainment Network account holders' information with us so that we may provide you with marketing and community services.  ","Receive from other parts of company/affiliates"
"18","HOW WE USE YOUR INFORMATION   Personally identifying information that we collect for a particular promotional purpose through one of our websites or to make a purchase from the PlayStation Shop is saved and used only for that purpose, unless the participant chooses to opt-in to one of our marketing programs. Visitors to our websites may be given the opportunity to ""opt-in"" to two different programs. The first option is to receive marketing content from SCEA. The second is to have personal information shared with SCEA's third party partners so that they may send you marketing materials.  ","Collect on website"
