"14","We may also receive other information (e.g., content viewed and information about the advertisements within the content you have been shown or may have clicked on, etc.) from your interaction with the online services. You agree that we may share your video viewing with, or obtain information about your video viewing from, analytics providers and advertising partners and third-party social media sites for two years or until you withdraw your consent. The information we have access to from the third-party services varies by service and is controlled by your privacy settings on that service and by your consent. Information that may be passed to analytics providers and advertising partners may be via cookies and tracking technologies. Please see our Cookies and Tracking Technologies page for information, including your choices in relation to these technologies. By associating an account managed by a third party with your NBCUniversal account and authorizing us to have access to this information, you agree that we may collect, use, and store information from third-party services in accordance with this Privacy Policy.  ","Receive/Shared with"
"32","5. HOW WE SHARE YOUR INFORMATION   Information shared among NBCUniversal affiliates.   When you choose to register for an account on any NBCUniversal online service: the information you provide may be shared with NBCUniversal affiliates and used to help us better tailor our services, products and advertising to you. Note that you may be registered for different accounts with different NBCUniversal group companies or in different areas of our business. Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account or for more information, or e-mail privacy@nbcuni.com.  Information collected automatically: this information collected from your interaction with the online services via Cookies and Tracking Technologies, which may or may not include personal information, may be shared with NBCUniversal affiliates for the purposes of research, analysis, marketing and ad-serving. For information about this and your choices see Cookies and Tracking Technologies. ","Receive/Shared with"
"32","5. HOW WE SHARE YOUR INFORMATION   Information shared among NBCUniversal affiliates.   When you choose to register for an account on any NBCUniversal online service: the information you provide may be shared with NBCUniversal affiliates and used to help us better tailor our services, products and advertising to you. Note that you may be registered for different accounts with different NBCUniversal group companies or in different areas of our business. Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account or for more information, or e-mail privacy@nbcuni.com.  Information collected automatically: this information collected from your interaction with the online services via Cookies and Tracking Technologies, which may or may not include personal information, may be shared with NBCUniversal affiliates for the purposes of research, analysis, marketing and ad-serving. For information about this and your choices see Cookies and Tracking Technologies. ","Receive/Shared with"
"32","5. HOW WE SHARE YOUR INFORMATION   Information shared among NBCUniversal affiliates.   When you choose to register for an account on any NBCUniversal online service: the information you provide may be shared with NBCUniversal affiliates and used to help us better tailor our services, products and advertising to you. Note that you may be registered for different accounts with different NBCUniversal group companies or in different areas of our business. Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account or for more information, or e-mail privacy@nbcuni.com.  Information collected automatically: this information collected from your interaction with the online services via Cookies and Tracking Technologies, which may or may not include personal information, may be shared with NBCUniversal affiliates for the purposes of research, analysis, marketing and ad-serving. For information about this and your choices see Cookies and Tracking Technologies. ","Receive/Shared with"
"33","Information shared with trusted third parties:  ","Receive/Shared with"
"34","Service providers or business partners that we have retained to perform certain business-related functions on our behalf: Such as for research and analytics, hosting websites, fulfilling transactions, maintaining databases, administering contests, providing technology services and platforms, and processing payments. These parties are provided only with the personal information or other information they need to perform their functions and can only use and disclose that information as is necessary to perform the services on our behalf, or to comply with legal requirements. We take steps to ensure that third-party service providers will take appropriate steps to protect your personal information. ","Receive/Shared with"
"35","Social Networks: You may interact with certain features of the online services that cause information to be published to your social networks. For example, you may click on a Facebook ""like"" button, which publishes to your Facebook account that you ""like"" one of our TV shows or movies. On pages of the online services that contain social network functionality, the social network providing the functionality may be able to collect information about you, even if you don't use that functionality. For example, if a page within the online services contains a Facebook ""like"" button, Facebook may be able to collect data about your visit to that page, even if you don't click on the ""like"" button. To control this sharing of information, please review the privacy policy of the relevant social network and/or log out of it before you use the online services. ","Collect on first party website/app"
"36","For Mobile Apps: In addition, in relation to Mobile Apps we may share your usage and personal information with operating system, platforms providers, carriers and/or other mobile apps either operated by us or third parties. Please see our Mobile Apps section for additional detail. ","Receive/Shared with"
"37","Information we share with advertisers (including Targeted Advertising)   Some online services, including Mobile Apps, may be supported with advertising, and collect data to help the online services serve ads. This helps keep the cost of online services low or free.  ","Receive/Shared with"
"38","We may work with advertisers and third-party advertising networks, who may receive information about how you interact with advertising provided in the online service. We may also work with consumer data resellers that buy and/or sell information to other companies for multiple purposes including offering products and services that may interest you. These third parties may view, edit or set their own tracking technologies/cookies. The use of these technologies by these third parties is subject to their own privacy policies and is not covered by this Privacy Policy. They might also obtain information about other applications that you have downloaded to your mobile device, the mobile websites you visit and other information about you or your device in order to analyze and serve anonymous targeted advertising on the online services and elsewhere. For information about your choices relating to these activities, see Cookies and Tracking Technologies.  ","Receive/Shared with"
