"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Track on first party website/app"
"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Collect on first party website/app"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Track on first party website/app"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on first party website/app"
"13"," Third Party Cookies.    We also engage third parties to track and analyze non-personally and personally identifiable Website data. To do so, we permit third parties to apply cookies to users of our Services, where permitted by law, and, subject to your right to opt-out through the Network Advertising Initiative (as discussed below). We use the data collected by such third parties to help us administer and improve the quality of our Services and to analyze use of our Services. We also use such third parties to assist us in serving advertisements. Such third parties may combine the information that we provide about you with other information that they have collected. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Track on first party website/app"
"13"," Third Party Cookies.    We also engage third parties to track and analyze non-personally and personally identifiable Website data. To do so, we permit third parties to apply cookies to users of our Services, where permitted by law, and, subject to your right to opt-out through the Network Advertising Initiative (as discussed below). We use the data collected by such third parties to help us administer and improve the quality of our Services and to analyze use of our Services. We also use such third parties to assist us in serving advertisements. Such third parties may combine the information that we provide about you with other information that they have collected. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Collect on first party website/app"
"15"," ClickStream Data    THE MRC may use third-party software to analyze the Web pages that your computer visits while using our Services. This information, called clickstream data, is associated with your computers Internet protocol (IP) address and/or device ID, and includes other information such as the type of browser your computer/device uses to access the Internet. We may collect clickstream data to optimize search engine results and may also use clickstream data to analyze which portions of our Website draw the most traffic so we can improve performance of our Services. This clickstream data may be shared with third party advertisers and marketing companies. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Receive/Shared with"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Track on first party website/app"
"17"," Analytics.    We and our third party service providers conduct analytics of our Services to help us track and understand how visitors use our Services, using the technologies described in this section. For example, we use a variety of third party web analytics, to help us improve the performance and user experience of our Website and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Track on first party website/app"
"18"," II. HOW DO WE USE YOUR INFORMATION?    We use your information, including the personally identifiable information that we collect about you (collectively, information), for various reasons, including:     to deliver content that you have requested from our Services;     to send e-mails that you have requested to receive from THE MRC;     to provide you with information, including via email, about services, products, and features that may be of interest to you, including products and services offered by third parties, as well as emails about our own Services;     for customer service purposes, such as in response to inquiries that you initiate with us about any aspect of our Website, to provide information about our Services, or any other customer service purpose; and     to understand how people use our Services, for research purposes, and to improve our Services.    III. WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT?    THE MRC may share personally identifiable information with others, such as:  ","Receive/Shared with"
