"4","1. SCOPE AND CONSENT   When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy.  ","Citizens from other countries"
"41","6. CHILDREN Except where otherwise indicated we do not knowingly collect or store any personal information from children under the age of 13. We use an age-gate to make certain features unavailable for use by children under 13, and we do not knowingly collect personal information from children under 13 in connection with those features. Where required, we will provide notice to and obtain verifiable consent from parents or guardians for the collection of personal information from children under 13, and provide parents or guardians the ability to request access to personal information we have collected from their children. We encourage parents and guardians to spend time with their children online and to be fully familiar with the online services used by their children. If a parent or guardian becomes aware that his or her child under 13 has provided us with information without his or her consent, he or she should contact us at privacy@nbcuni.com. As required by law, we will delete such information from our files within a reasonable time. & ","Children"
"42","For certain websites covered by this Privacy Policy and involved in e-commerce (for example, www.fandango.com), you may only be able to use that site and any related services if you are 18 years of age or older, or the age of majority in your jurisdiction of residence, whichever is older. If you are under the age of 18 or the age of majority in your jurisdiction of residence, you may only use that site and any related services with the involvement of a parent or legal guardian. ","Children"
"43","California minors under 18 years old may request the removal of any information that they posted to NBCUniversal sites by contacting privacy@nbcuni.com. Upon such request, NBCUniversal will anonymize or remove from public view any content posted by a minor to one of its websites, unless required by law to retain such content or information.  ","Children"
"43","California minors under 18 years old may request the removal of any information that they posted to NBCUniversal sites by contacting privacy@nbcuni.com. Upon such request, NBCUniversal will anonymize or remove from public view any content posted by a minor to one of its websites, unless required by law to retain such content or information.  ","Californians"
"52","9. WHERE YOUR INFORMATION WILL BE USED   NBCUniversal is based in the United States and may from time to time transfer your personal information to other countries and make it accessible to any of our affiliates and third-party service providers internationally. Where the transfer of information is to a country which does not provide an adequate level of information protection, NBCUniversal has taken steps to ensure that your personal information receives an appropriate level of protection.  ","Citizens from other countries"
"53","If you are located outside of the United States, please be aware that information we collect, including personal information, may be transferred to, and processed, stored and used in the United States. Under United States law, your personal information may be subject to access requests from governments, courts, or law enforcement in the United States.  ","Citizens from other countries"
"54","By using our online services and providing your personal information to us you understand and agree that your personal information may be sent to other countries including those which do not provide an equivalent level of information protection as the European Economic Area (EEA).  ","Citizens from other countries"
"54","By using our online services and providing your personal information to us you understand and agree that your personal information may be sent to other countries including those which do not provide an equivalent level of information protection as the European Economic Area (EEA).  ","Europeans"
"57","12. IMPORTANT INFORMATION   Notice to California Residents:   Residents of the State of California may request a list of all third parties to which our online service has disclosed certain personal information (as defined by California law) during the preceding year for those third parties' direct marketing purposes. If you are a California resident and want such a list, please contact us at Chief Privacy Officer, 100 Universal City Plaza, 1280, Universal City, California, 91608-1002, US. For all requests, you must put the statement ""Your California Privacy Rights"" in the body of your request, as well as your name, street address, city, state, and zip code. In the body of your request, please provide enough information for us to determine if this applies to you. You need to attest to the fact that you are a California resident and provide a current California address for our response. Please note that we will not accept requests via the telephone, email, or by facsimile, and we are not responsible for notices that are not labeled or sent properly, or that do not have complete information.  ","Californians"
"58","California Business & Professions Code Section 22575(b) (as amended effective January 1, 2014) provides that California residents are entitled to know how NBCUniversal responds to ""Do Not Track"" browser settings. NBCUniversal does not currently take actions to respond to Do Not Track signals because a uniform technological standard has not yet been developed. We continue to review new technologies and may adopt a standard once one is created.  ","Californians"
"64","For enquiries from outside of the US please contact us at privacy@nbcuni.com or Chief Privacy Officer, Central Saint Giles, St Giles High Street, London, WC2H 8NU, UK.","Citizens from other countries"
