"85"," 9. What other information about Barnes & Noble's Privacy Policy would I want to know?     Policies for Minors, including children under the age of 13    Barnes & Noble is committed to complying with all applicable laws and regulations regarding the collection, storage and use of personal information of Minors under the age of 13, including the Children's Online Privacy Protection Act of 1998.  ","Children"
"85"," 9. What other information about Barnes & Noble's Privacy Policy would I want to know?     Policies for Minors, including children under the age of 13    Barnes & Noble is committed to complying with all applicable laws and regulations regarding the collection, storage and use of personal information of Minors under the age of 13, including the Children's Online Privacy Protection Act of 1998.  ","Children"
"86","Except as noted below : (i) our products and services are marketed for and directed towards purchase by adults or with the consent of adults; (ii) Individuals under the age of 18 (""Minors"") are not permitted to use Barnes & Noble Websites or Apps without the supervision of a parent or legal guardian; (iii) we do not knowingly collect or solicit personal information from children under the age of 13 or knowingly allow such persons to register for an online account or to post personal information on the Barnes & Noble Websites; and (iv) should we learn that someone under the age of 13 has provided any personal information to or on any of the Barnes & Noble Websites, we will remove that information as soon as possible.  ","Children"
"87","If we direct certain Devices features or Apps to Minors who may be under the age of 13, we require the parent or legal guardian to provide verifiable consent to such Minor's use of our products and services and our collection of personal information in connection with such use. In these cases, we require validation of credit card information already on file with us and we will then e-mail the master account holder to give notice that we have received such consent. If no credit card information is on file, or if the credit card is invalid, we will not register that you have consented. With your consent, we may collect, use and share information regarding Minors under the age of 13 consistent with this Privacy Policy. Please see the sections above for detailed information on how we do so.  ","Children"
"88","If you are a parent or guardian who believes that your Minor under the age of 13 has submitted personal information or other information to us without your consent, please contact privacy@barnesandnoble.com. Once we verify that you are the parent or legal guardian, at your request, we will promptly provide to you information regarding what, if any, personal information we have collected about your child and how it has been used or shared. We will, at your request, remove personal information about your child from its database and instruct our affiliates and third party partners to do the same.  ","Children"
"89","If you are a Minor under the age of 18, you may request and obtain removal of certain content or information posted on Barnes & Noble Websites and Apps by sending an email to privacy@barnesandnoble.com with ?Privacy Rights for Minors? in the subject line. Please be advised that our removal of your post(s) does not ensure complete or comprehensive removal of the content or information you have posted on Barnes & Noble Websites or Apps.  ","Children"
"92"," Your California Privacy Rights    California Civil Code Section 1798.83 permits California residents to request a notice from us describing which categories of personal information we have shared with third parties or corporate affiliates for those third parties or corporate affiliates' direct marketing purposes within the last calendar year, and the name and address of such parties. If you are a California resident and would like a copy of this notice, please send an email to privacy@barnesandnoble.com with ""California Privacy Rights Request"" in the subject line.  ","Californians"
"96"," Information collected from visitors from outside the United States    If you are visiting Barnes & Noble or a Barnes & Noble Website from outside the United States and provide us with personal information, please note that your personal information will be transferred, stored and processed within the United States. Additionally, Barnes & Noble may transfer your personal information to other countries, for example because a server or third party service provider is located there. The data protection and privacy laws of other countries, including the United States, may not afford you the same level of protection as those in your own country. Barnes & Noble will take appropriate steps to protect your information.  ","Citizens from other countries"
"97","By doing business or interacting with Barnes & Noble, you are consenting to the transfer, storage, and processing of your personal information to and within facilities located in the United States and other facility locations selected by Barnes & Noble.  ","Citizens from other countries"
"98"," Safe Harbor    Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal. The TRUSTe program covers only information that is collected through uk.nook.com, www.nookpress.com, NOOK Apps and your interactions with NOOK Simple Touch, NOOK Simple Touch GlowLight, NOOK GlowLight, NOOK HD and NOOK HD+. The TRUSTe program does not cover information that may be collected through third party downloadable software or at the device level.  ","Europeans"
"100","Barnes & Noble complies with the U.S. - E.U. Safe Harbor framework and the U.S. - Swiss Safe Harbor framework as set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal data from, respectively, European Union member countries and Switzerland. Barnes & Noble's subsidiary Nook Digital, LLC (f/k/a barnesandnoble.com llc) has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access, and enforcement. To learn more about the Safe Harbor program, and to view Barnes & Noble's certification, please visit http://www.export.gov/safeharbor/  ","Europeans"
"100","Barnes & Noble complies with the U.S. - E.U. Safe Harbor framework and the U.S. - Swiss Safe Harbor framework as set forth by the U.S. Department of Commerce regarding the collection, use, and retention of personal data from, respectively, European Union member countries and Switzerland. Barnes & Noble's subsidiary Nook Digital, LLC (f/k/a barnesandnoble.com llc) has certified that it adheres to the Safe Harbor Privacy Principles of notice, choice, onward transfer, security, data integrity, access, and enforcement. To learn more about the Safe Harbor program, and to view Barnes & Noble's certification, please visit http://www.export.gov/safeharbor/  ","Citizens from other countries"
