"5","  Registration information you provide when you create an account, including your first name and surname, country of residence, gender, date of birth, email address, username and password  ","Opt-in"
"13","  We collect information through technology, such as cookies, Flash cookies and Web beacons, including when you visit our sites and applications or use our applications on third-party sites or platforms. Please visit Online Tracking and Advertisingfor further information, including Do Not Track and how to disable cookies.  ","Third-party privacy controls"
"13","  We collect information through technology, such as cookies, Flash cookies and Web beacons, including when you visit our sites and applications or use our applications on third-party sites or platforms. Please visit Online Tracking and Advertisingfor further information, including Do Not Track and how to disable cookies.  ","First-party privacy controls"
"14","  We acquire information from other trusted sources to update or supplement the information you provided or we collected automatically. Local law may require that you authorize the third party to share your information with us before we can acquire it.  ","Opt-in"
"16"," 4. Sharing Your Information with Other Companies    We will not share your personal informationoutside The Walt Disney Family of Companiesexcept in limited circumstances, including:     When you allow us to share your personal information with another company, such as:     Electing to share your personal information with carefully selected companies so that they can send you offers and promotions about their products and services     Directing us to share your personal information with third-party sites or platforms, such as social networking sites  ","Opt-in"
"16"," 4. Sharing Your Information with Other Companies    We will not share your personal informationoutside The Walt Disney Family of Companiesexcept in limited circumstances, including:     When you allow us to share your personal information with another company, such as:     Electing to share your personal information with carefully selected companies so that they can send you offers and promotions about their products and services     Directing us to share your personal information with third-party sites or platforms, such as social networking sites  ","Opt-in"
"16"," 4. Sharing Your Information with Other Companies    We will not share your personal informationoutside The Walt Disney Family of Companiesexcept in limited circumstances, including:     When you allow us to share your personal information with another company, such as:     Electing to share your personal information with carefully selected companies so that they can send you offers and promotions about their products and services     Directing us to share your personal information with third-party sites or platforms, such as social networking sites  ","Opt-in"
"16"," 4. Sharing Your Information with Other Companies    We will not share your personal informationoutside The Walt Disney Family of Companiesexcept in limited circumstances, including:     When you allow us to share your personal information with another company, such as:     Electing to share your personal information with carefully selected companies so that they can send you offers and promotions about their products and services     Directing us to share your personal information with third-party sites or platforms, such as social networking sites  ","Opt-in"
"17","Please note that once we share your personal information with another company, the information received by the other company becomes subject to the other companys privacy practices.     When we cooperate with financial institutions to offer co-branded products or services to you, such as our co-branded Disney Rewards Visa Card; however, we will do so only if permitted by applicable law and, in these cases, the financial institutions are prohibited from using your personal information for purposes other than those related to the co-branded products or services     When companies perform services on our behalf, like package delivery and customer service; however, these companies are prohibited from using your personal information for purposes other than those requested by us or required by law     When we share personal information with third parties in connection with the sale of a business, to enforce our Terms of Use or rules, to ensure the safety and security of our guests and third parties, to protect our rights and property and the rights and property of our guests and third parties, to comply with legal process or in other cases if we believe in good faith that disclosure is required by law  ","Opt-in"
"18"," 5. Your Controls and Choices    We provide you the ability to exercise certain controls and choices regarding our collection, use and sharing of your information. In accordance with local law, your controls and choices may include:     You may correct, update and delete your registration account     You may change your choices for subscriptions, newsletters and alerts     You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may request access to the personal information we hold about you and that we amend or delete it  ","Third-party privacy controls"
"18"," 5. Your Controls and Choices    We provide you the ability to exercise certain controls and choices regarding our collection, use and sharing of your information. In accordance with local law, your controls and choices may include:     You may correct, update and delete your registration account     You may change your choices for subscriptions, newsletters and alerts     You may choose whether to receive from us offers and promotions for our products and services, or products and services that we think may be of interest to you     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may choose whether to receive targeted advertising from many ad networks, data exchanges, marketing analytics and other service providers here     You may request access to the personal information we hold about you and that we amend or delete it  ","Opt-out via contacting company"
"19","You may exercise your controls and choices, or request access to your personal information, by visiting Communication Choices, contacting Guest Services, or following instructions provided in communications sent to you. Please be aware that, if you do not allow us to collect personal information from you, we may not be able to deliver certain products and services to you, and some of our services may not be able to take account of your interests and preferences. If you have questions regarding the specific personal information about you that we process or retain, please contact Guest Services.  ","Dont use service/feature"
"19","You may exercise your controls and choices, or request access to your personal information, by visiting Communication Choices, contacting Guest Services, or following instructions provided in communications sent to you. Please be aware that, if you do not allow us to collect personal information from you, we may not be able to deliver certain products and services to you, and some of our services may not be able to take account of your interests and preferences. If you have questions regarding the specific personal information about you that we process or retain, please contact Guest Services.  ","Dont use service/feature"
"19","You may exercise your controls and choices, or request access to your personal information, by visiting Communication Choices, contacting Guest Services, or following instructions provided in communications sent to you. Please be aware that, if you do not allow us to collect personal information from you, we may not be able to deliver certain products and services to you, and some of our services may not be able to take account of your interests and preferences. If you have questions regarding the specific personal information about you that we process or retain, please contact Guest Services.  ","Opt-out via contacting company"
