"6"," Collection of Personally Identifiable Information From or Through Social Media Sites    In addition, when you interact with any The Atlantic property page or account on a social media platform, such as Facebook, Twitter, Tumblr, or LinkedIn, we may collect the personally identifiable information that you make available to us on that page or account including your social media account ID. However, we will comply with the privacy policies of the corresponding social media platform and we will only collect and store such personally identifiable information that we are permitted to collect by those social media platforms. If you choose to link or login to your The Atlantic account with or through a social networking service, The Atlantic and that service may share certain information about you and your activities. With your consent, we also may share information about your activities, including what you view on the Sites, with that social networks users.  ","Opt-in"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Browser/device privacy controls"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Third-party privacy controls"
"9","We may also use web beacons and web storage technologies. A web beacon (also known as an action tag, tracer tag, or single-pixel gif) is an invisible graphic on a web page that is programmed to collect information about your use of a given website. Web Storage is a feature in some browsers that permits websites to store data within your browser rather within a cookie. We do not share or provide personally identifiable information we may collect in web beacons or store in Web Storage, such as names, e-mail addresses and phone numbers, to unaffiliated third parties without your express permission.  ","Opt-in"
"10","We may partner with third party advertising companies to better provide advertisements about goods and services that may be of interest to you. These third parties may use cookies alone or in conjunction with web beacons or other tracking technologies to collect information about you when you use the Sites. They may collect information about your online activities over time and across different websites and other online services. They may use this information to provide you with interest-based advertising or other targeted content. These advertising partners do not have access to or use your name, address, e-mail address, telephone number or other personally identifiable information from us, without your consent. They may, however, use persistent identifiers to anonymously track your Internet usage across other websites in their networks beyond these Sites. While we restrict their further use of such information, such third parties may, with sufficient data from other sources, be able to personally identify you, unknown to us.  ","Opt-in"
"17"," Business Partners and Other Third Parties    From time to time we allow companies whose products or services we feel may interest our print subscribers to advertise to those subscribers, using the names and addresses provided to us during the process of subscribing to the print edition. We do not share our subscribers names and addresses directly with these companies, however. In those instances, we use a reputable third party to administer the process on our behalf. Many of our subscribers find this a valuable and time-saving service. If you do not want your name and address to be shared for these purposes, you can opt-out of such sharing by e-mailing us at techtrouble(at)theatlantic(dot)com, or calling or writing us at the contact information provided.  ","Opt-out via contacting company"
"21"," What Are Your Choices?    We believe you should have choices about the collection, use and sharing of your information. Although you cannot opt-out of all data collection when you visit our sites, you can limit the collection, use and sharing of your information.  ","Other"
"22"," Collection of personally identifiable information    All personally identifiable information is provided on a voluntary basis. If you do not want The Atlantic to collect such information, you should not submit it to the Sites. However, doing so will restrict your ability to access some content and use some of the functionality of the sites.  ","Opt-in"
"22"," Collection of personally identifiable information    All personally identifiable information is provided on a voluntary basis. If you do not want The Atlantic to collect such information, you should not submit it to the Sites. However, doing so will restrict your ability to access some content and use some of the functionality of the sites.  ","Dont use service/feature"
"22"," Collection of personally identifiable information    All personally identifiable information is provided on a voluntary basis. If you do not want The Atlantic to collect such information, you should not submit it to the Sites. However, doing so will restrict your ability to access some content and use some of the functionality of the sites.  ","Dont use service/feature"
"22"," Collection of personally identifiable information    All personally identifiable information is provided on a voluntary basis. If you do not want The Atlantic to collect such information, you should not submit it to the Sites. However, doing so will restrict your ability to access some content and use some of the functionality of the sites.  ","Opt-in"
"23"," Sharing of personally identifiable information    You may opt-out of having your personally identifiable information shared with business partners and third parties for marketing and advertising purposes by e-mailing us at techtrouble(at)theatlantic(dot)com, or contacting us at the phone numbers or postal address provided below.  ","Opt-out via contacting company"
"23"," Sharing of personally identifiable information    You may opt-out of having your personally identifiable information shared with business partners and third parties for marketing and advertising purposes by e-mailing us at techtrouble(at)theatlantic(dot)com, or contacting us at the phone numbers or postal address provided below.  ","Opt-out via contacting company"
"24"," Online, Interest Based Advertising    You may be able to opt-out of the use of your information for online, interest based advertising from participating whether advertising partners and unaffiliated third parties through the Network Advertising Initiatives opt-out program by clicking http://www.networkadvertising.org/managing/opt_out.asp.  ","Third-party privacy controls"
"24"," Online, Interest Based Advertising    You may be able to opt-out of the use of your information for online, interest based advertising from participating whether advertising partners and unaffiliated third parties through the Network Advertising Initiatives opt-out program by clicking http://www.networkadvertising.org/managing/opt_out.asp.  ","Opt-out link"
"25"," Emails and Newsletters    You may always opt-out of receiving future e-mail marketing messages and newsletters from The Atlantic by following the instructions contained within the emails and newsletters, or by e-mailing, calling or writing us at the addresses below.  ","Opt-out via contacting company"
"30"," Contests, Sweepstakes or Games    When we run a contest or sweepstakes or game relating to our Sites, it will be accompanied by a set of rules. The rules for each contest, sweepstakes or game will specify how the information gathered from you for entry will be used and disclosed if it is different than as described in this privacy policy. In conjunction with your entry in such contest or sweepstakes, personally identifiable information will be collected only if you voluntarily submit it.  ","Opt-in"
