"3","Washingtonian.com also collects information automatically through the use of electronic tools such as ""cookies"" and ""clickstream data."" Cookies help provide a customized web experience by enabling us to identify web users who visit our site. Among other things, the cookie may store your Washingtonian.com user name and password. You may choose not to provide such information by adjusting your Internet browser security settings to refuse cookies. Doing so, however, may limit your ability to access certain pages available on the website and may prevent you from enjoying the features on our website enabled by cookies.  ","Browser/device privacy controls"
"3","Washingtonian.com also collects information automatically through the use of electronic tools such as ""cookies"" and ""clickstream data."" Cookies help provide a customized web experience by enabling us to identify web users who visit our site. Among other things, the cookie may store your Washingtonian.com user name and password. You may choose not to provide such information by adjusting your Internet browser security settings to refuse cookies. Doing so, however, may limit your ability to access certain pages available on the website and may prevent you from enjoying the features on our website enabled by cookies.  ","Browser/device privacy controls"
"8","If you register to receive e-mail newsletters on the site, we will not share or sell your registration information, including your name and e-mail address, with third parties for any purpose. If you subscribe to Washingtonian magazine, we may sell or rent lists containing your postal address to third parties for advertising purposes.  ","Opt-in"
"8","If you register to receive e-mail newsletters on the site, we will not share or sell your registration information, including your name and e-mail address, with third parties for any purpose. If you subscribe to Washingtonian magazine, we may sell or rent lists containing your postal address to third parties for advertising purposes.  ","Other"
"8","If you register to receive e-mail newsletters on the site, we will not share or sell your registration information, including your name and e-mail address, with third parties for any purpose. If you subscribe to Washingtonian magazine, we may sell or rent lists containing your postal address to third parties for advertising purposes.  ","Dont use service/feature"
"10"," How You Can Control the Information We Collect About You    You can always choose not to submit your personal information on the Washingtonian.com website. If you do not wish to receive e-mail messages from Washingtonian.com about new features or products we think may be of interest, you can unsubscribe at any time. We will always include an opt-out web link or reply e-mail address in each e-mail message. After unsubscribing, you will be removed from our e-mail database. Please allow up to 10 business days to process your request. After unsubscribing, you may still receive e-mail messages about the status of your account, to resolve technical issues, or to confirm a new subscription.  ","Other"
"10"," How You Can Control the Information We Collect About You    You can always choose not to submit your personal information on the Washingtonian.com website. If you do not wish to receive e-mail messages from Washingtonian.com about new features or products we think may be of interest, you can unsubscribe at any time. We will always include an opt-out web link or reply e-mail address in each e-mail message. After unsubscribing, you will be removed from our e-mail database. Please allow up to 10 business days to process your request. After unsubscribing, you may still receive e-mail messages about the status of your account, to resolve technical issues, or to confirm a new subscription.  ","Opt-out link"
"10"," How You Can Control the Information We Collect About You    You can always choose not to submit your personal information on the Washingtonian.com website. If you do not wish to receive e-mail messages from Washingtonian.com about new features or products we think may be of interest, you can unsubscribe at any time. We will always include an opt-out web link or reply e-mail address in each e-mail message. After unsubscribing, you will be removed from our e-mail database. Please allow up to 10 business days to process your request. After unsubscribing, you may still receive e-mail messages about the status of your account, to resolve technical issues, or to confirm a new subscription.  ","Opt-out link"
"10"," How You Can Control the Information We Collect About You    You can always choose not to submit your personal information on the Washingtonian.com website. If you do not wish to receive e-mail messages from Washingtonian.com about new features or products we think may be of interest, you can unsubscribe at any time. We will always include an opt-out web link or reply e-mail address in each e-mail message. After unsubscribing, you will be removed from our e-mail database. Please allow up to 10 business days to process your request. After unsubscribing, you may still receive e-mail messages about the status of your account, to resolve technical issues, or to confirm a new subscription.  ","Dont use service/feature"
"11","If you wish to make changes to any personal information you have provided us, or if you have any questions about what we do with your personal information, please contact us by sending an e-mail to privacy@washingtonian.com.  ","Opt-out via contacting company"
"15","You also should be aware that our Web advertising partners may place or recognize a unique cookie on your browser. Cookies enable advertisers to determine whether you have seen a particular advertisement before. For more information about DoubleClick's privacy practices, cookies, and how to ""opt-out"" of receiving cookies, please visit http://www.doubleclick.net/us/corporate/privacy. For more information about Google's privacy practices, please visit http://www.google.com/privacy.html.  ","Opt-out link"
"15","You also should be aware that our Web advertising partners may place or recognize a unique cookie on your browser. Cookies enable advertisers to determine whether you have seen a particular advertisement before. For more information about DoubleClick's privacy practices, cookies, and how to ""opt-out"" of receiving cookies, please visit http://www.doubleclick.net/us/corporate/privacy. For more information about Google's privacy practices, please visit http://www.google.com/privacy.html.  ","Third-party privacy controls"
