"5","THIS POLICY APPLIES TO:   This policy applies to the websites us.playstation.com and naughtydog.com. In addition, we own several other domain names that point to us.playstation.com. From time to time, we may add new websites not listed above, and will provide a link to this policy or the applicable privacy policy. Finally, we collect information via dynamic in-game advertising that is served to some online PlayStation3 games. By use of our websites and games that have dynamic in-game advertising, you signify your assent to SCEA's privacy policy. If you do not agree to this policy, please do not use our websites or games with dynamic in-game advertising.  ","Dont use service/feature"
"5","THIS POLICY APPLIES TO:   This policy applies to the websites us.playstation.com and naughtydog.com. In addition, we own several other domain names that point to us.playstation.com. From time to time, we may add new websites not listed above, and will provide a link to this policy or the applicable privacy policy. Finally, we collect information via dynamic in-game advertising that is served to some online PlayStation3 games. By use of our websites and games that have dynamic in-game advertising, you signify your assent to SCEA's privacy policy. If you do not agree to this policy, please do not use our websites or games with dynamic in-game advertising.  ","Dont use service/feature"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Opt-in"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Dont use service/feature"
"9","We collect personally identifying information in connection with the following:   Questions or comments sent through our websites to Consumer Services  Repair of, replacement of or service on system hardware  Subscription to a non-PSN marketing program  ""Send-to-a-Friend"" emails  Purchases made from the PlayStation Shop ","Dont use service/feature"
"10","Some of our website activities require that the user log in using a PlayStationNetwork (""PSN"") account; for information regarding SNEA's collection of information in association with a Sony Entertainment Network account, please see their Privacy Policy http://www.qriocity.com/us/en/legal-privacy. On our websites, PlayStation Network log in information is being authenticated by SNEA, not SCEA.  ","Third-party privacy controls"
"13","Dynamic advertisement serving technology enables advertisements to be temporarily loaded or cached to a Sony Entertainment Network account holder's PS3 system for display only in games that incorporate this technology. If a Sony Entertainment Network account holder plays a game that utilizes this feature, SCEA will log information about his or her system and game play to ensure that advertisements are being appropriately served to him or her and to track information about the advertisements displayed during his or her gaming session. Logged data may include: Online ID, system IP address, system MAC address, in-game advertisement location, the length of time an advertisement was visible, relative size of advertisements, the angle of view and other information related to each advertisement visible during the gaming session.  ","Dont use service/feature"
"18","HOW WE USE YOUR INFORMATION   Personally identifying information that we collect for a particular promotional purpose through one of our websites or to make a purchase from the PlayStation Shop is saved and used only for that purpose, unless the participant chooses to opt-in to one of our marketing programs. Visitors to our websites may be given the opportunity to ""opt-in"" to two different programs. The first option is to receive marketing content from SCEA. The second is to have personal information shared with SCEA's third party partners so that they may send you marketing materials.  ","Opt-in"
"18","HOW WE USE YOUR INFORMATION   Personally identifying information that we collect for a particular promotional purpose through one of our websites or to make a purchase from the PlayStation Shop is saved and used only for that purpose, unless the participant chooses to opt-in to one of our marketing programs. Visitors to our websites may be given the opportunity to ""opt-in"" to two different programs. The first option is to receive marketing content from SCEA. The second is to have personal information shared with SCEA's third party partners so that they may send you marketing materials.  ","Opt-in"
"18","HOW WE USE YOUR INFORMATION   Personally identifying information that we collect for a particular promotional purpose through one of our websites or to make a purchase from the PlayStation Shop is saved and used only for that purpose, unless the participant chooses to opt-in to one of our marketing programs. Visitors to our websites may be given the opportunity to ""opt-in"" to two different programs. The first option is to receive marketing content from SCEA. The second is to have personal information shared with SCEA's third party partners so that they may send you marketing materials.  ","Opt-in"
