"4","1. SCOPE AND CONSENT   When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy.  ","Does"
"5","2. TYPES OF INFORMATION WE COLLECT   Our goal is to collect and use information to deliver effective and personalized services which take your interests and preferences into account, as well as for our legitimate business needs and interests.  ","Does"
"5","2. TYPES OF INFORMATION WE COLLECT   Our goal is to collect and use information to deliver effective and personalized services which take your interests and preferences into account, as well as for our legitimate business needs and interests.  ","Does"
"6","There are two main types of information we collect about users of our online services that include (but are not limited to) the following:   Information that identifies you: This is commonly referred to as ""personal information"" and includes, for example, information that you provide to us such as your name, home address, age, gender, telephone number, e-mail address, payment information (including your credit card number), and/or photos or video footage of you; and &  Information that relates to you, but on its own does not identify you: Such as information about your Internet connection, the equipment you use to access our online services and information relating to your usage of those services. ","Does"
"6","There are two main types of information we collect about users of our online services that include (but are not limited to) the following:   Information that identifies you: This is commonly referred to as ""personal information"" and includes, for example, information that you provide to us such as your name, home address, age, gender, telephone number, e-mail address, payment information (including your credit card number), and/or photos or video footage of you; and &  Information that relates to you, but on its own does not identify you: Such as information about your Internet connection, the equipment you use to access our online services and information relating to your usage of those services. ","Does"
"7","There are six main categories of information we collect about users of our online services users that include (but are not limited to) the following:  ","Does"
"8","Contact/Registration information: for example, your telephone number or e-mail address, where you have subscribed to a service such as program updates; name, age, gender or interests when you register for an account on one of our online services; delivery address where you are buying a product or service through an online service; or your age, location or delivery address if you choose to enter a competition or sweepstake offered through the online services. ","Does"
"8","Contact/Registration information: for example, your telephone number or e-mail address, where you have subscribed to a service such as program updates; name, age, gender or interests when you register for an account on one of our online services; delivery address where you are buying a product or service through an online service; or your age, location or delivery address if you choose to enter a competition or sweepstake offered through the online services. ","Does"
"9","Transaction information: when you order products or services through the online services, you may provide information such as your credit / debit card details and other personal information related to that transaction. ","Does"
"9","Transaction information: when you order products or services through the online services, you may provide information such as your credit / debit card details and other personal information related to that transaction. ","Does"
