"0","Privacy Policy   Washingtonian.com may use personally identifiable information (your name, e-mail address, street address, telephone number) subject to the terms of this privacy policy. This privacy policy pertains to information collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.  ","Does"
"1"," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  ","Does"
"2","The types of personal information we collect may include your first and last name, Internet Protocol address, zip code, mailing address, e-mail address, gender, and phone number.  ","Does"
"3","Washingtonian.com also collects information automatically through the use of electronic tools such as ""cookies"" and ""clickstream data."" Cookies help provide a customized web experience by enabling us to identify web users who visit our site. Among other things, the cookie may store your Washingtonian.com user name and password. You may choose not to provide such information by adjusting your Internet browser security settings to refuse cookies. Doing so, however, may limit your ability to access certain pages available on the website and may prevent you from enjoying the features on our website enabled by cookies.  ","Does"
"4","In addition, our site uses third-party software to analyze the web pages within our site that your computer visits. This information, called ""clickstream data,"" is associated with your computer's IP address. We do not associate clickstream data with your name, mailing address, or any other personal information. We collect clickstream data to analyze which portions of our site draw the most traffic so we can improve performance of our site. We also may track how many recipients of our e-mail newsletters click through to other sites. This clickstream data may be shared, in aggregate and anonymous form, with third-party advertisers. We do not associate clickstream data with personally identifiable information.  ","Does"
"4","In addition, our site uses third-party software to analyze the web pages within our site that your computer visits. This information, called ""clickstream data,"" is associated with your computer's IP address. We do not associate clickstream data with your name, mailing address, or any other personal information. We collect clickstream data to analyze which portions of our site draw the most traffic so we can improve performance of our site. We also may track how many recipients of our e-mail newsletters click through to other sites. This clickstream data may be shared, in aggregate and anonymous form, with third-party advertisers. We do not associate clickstream data with personally identifiable information.  ","Does"
"5"," What We Do with Information We Collect from You    We use any information we collect from you in accordance with applicable laws. We may use aggregated information--information that cannot be used to identify you individually--in many ways. For example, we may combine information about your usage patterns with the usage patterns of other users to identify pages on our website that are frequently visited so we can improve our site's performance. We may occasionally share aggregated, anonymous information with our business partners and affiliates and/or with third-party advertisers, but this information cannot be traced back to you individually or used to contact you.  ","Does"
"5"," What We Do with Information We Collect from You    We use any information we collect from you in accordance with applicable laws. We may use aggregated information--information that cannot be used to identify you individually--in many ways. For example, we may combine information about your usage patterns with the usage patterns of other users to identify pages on our website that are frequently visited so we can improve our site's performance. We may occasionally share aggregated, anonymous information with our business partners and affiliates and/or with third-party advertisers, but this information cannot be traced back to you individually or used to contact you.  ","Does"
"6","We may use your personal contact information, including your e-mail address, to communicate with you regarding your subscription(s), other features and services offered by Washingtonian.com, Washingtonian magazine, or our affiliates and business partners, our Terms of Service, and/or this Privacy Policy. We may also use your personal contact information to process e-commerce transactions or send e-mail newsletters on other topics we think you might find of interest. We reserve the right to share your personal contact information with our affiliates and business partners.  ","Does"
"6","We may use your personal contact information, including your e-mail address, to communicate with you regarding your subscription(s), other features and services offered by Washingtonian.com, Washingtonian magazine, or our affiliates and business partners, our Terms of Service, and/or this Privacy Policy. We may also use your personal contact information to process e-commerce transactions or send e-mail newsletters on other topics we think you might find of interest. We reserve the right to share your personal contact information with our affiliates and business partners.  ","Does"
"7","Personal information collected by Washingtonian.com may also be used for other purposes, including but not limited to site administration and troubleshooting. Third-party service providers who provide technical support for the operation of our site may access such information, but only for the purpose of administering technical support.  ","Does"
"7","Personal information collected by Washingtonian.com may also be used for other purposes, including but not limited to site administration and troubleshooting. Third-party service providers who provide technical support for the operation of our site may access such information, but only for the purpose of administering technical support.  ","Does"
"8","If you register to receive e-mail newsletters on the site, we will not share or sell your registration information, including your name and e-mail address, with third parties for any purpose. If you subscribe to Washingtonian magazine, we may sell or rent lists containing your postal address to third parties for advertising purposes.  ","Does"
"8","If you register to receive e-mail newsletters on the site, we will not share or sell your registration information, including your name and e-mail address, with third parties for any purpose. If you subscribe to Washingtonian magazine, we may sell or rent lists containing your postal address to third parties for advertising purposes.  ","Does Not"
"9","Like any other company, we may sell, buy, merge, or partner with other companies or businesses. In such transactions, information about our subscribers and website visitors may be among the transferred assets. We may also disclose your information in response to a court order or other valid legal process or at other times when we believe we are reasonably required to do so by law, in connection with payments you may owe to us, and/or whenever we deem it appropriate or necessary to give such information to law-enforcement authorities. At our discretion, we may not provide you with notice prior to such disclosures.  ","Does"
"13"," Affiliated Websites, Third-Party Linked Sites, and Third-Party Advertisements    The ads appearing on this web site are delivered to you by our web advertising partners, including DoubleClick and Google. Washingtonian.com expects its business partners, advertisers, and third-party affiliates to respect the privacy of our users. However, third parties' web sites - including those of our partners, advertisers, affiliates, and other content providers'- have their own privacy practices and policies. When you click on a banner advertisement or link from Washingtonian.com to an external Web site, you should review that site's Privacy Policy before submitting any personal information on the site.  ","Does"
"14","Our Web advertising partners send us aggregate, anonymous information about visits to this site, such as the number of times visitors clicked on a particular advertisement - but not visitors' names, addresses, or other personal information.  ","Does"
"14","Our Web advertising partners send us aggregate, anonymous information about visits to this site, such as the number of times visitors clicked on a particular advertisement - but not visitors' names, addresses, or other personal information.  ","Does Not"
"15","You also should be aware that our Web advertising partners may place or recognize a unique cookie on your browser. Cookies enable advertisers to determine whether you have seen a particular advertisement before. For more information about DoubleClick's privacy practices, cookies, and how to ""opt-out"" of receiving cookies, please visit http://www.doubleclick.net/us/corporate/privacy. For more information about Google's privacy practices, please visit http://www.google.com/privacy.html.  ","Does"
