"1","1. Purpose and Scope of this Privacy Policy.   This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.  ","Does"
"1","1. Purpose and Scope of this Privacy Policy.   This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.  ","Does"
"1","1. Purpose and Scope of this Privacy Policy.   This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.  ","Does"
"4","d. Except as specified herein, this policy also does not apply to information you may provide to us offline; however please do be aware that if you subscribe offline to one of the magazines published by Hearst (""Magazines""), from time to time we make your postal addresses available to companies for marketing purposes.  ","Does Not"
"4","d. Except as specified herein, this policy also does not apply to information you may provide to us offline; however please do be aware that if you subscribe offline to one of the magazines published by Hearst (""Magazines""), from time to time we make your postal addresses available to companies for marketing purposes.  ","Does"
"4","d. Except as specified herein, this policy also does not apply to information you may provide to us offline; however please do be aware that if you subscribe offline to one of the magazines published by Hearst (""Magazines""), from time to time we make your postal addresses available to companies for marketing purposes.  ","Does"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Does"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Does"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Does"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Does"
