"4","Information you choose to provide : You may choose to open an account and if you are age 13 or older, provide us with information in order to use certain services or products, like Dictionary.com Premium or Word Dynamo, or to take advantage of special offers, like a contest or a sweepstakes. This information may include your name, email address, phone number, credit card information (including billing address), and demographic information (age, gender, etc.). You may provide this information directly to us or you may choose to register using your Facebook account in which case you would authorize us to access certain Facebook profile information including your first name, last name, gender, birth date and email address. You may also choose to post content (such as custom flashcards) that you may share with others, through our site or through your Twitter or Facebook account. You do not have to provide any of this information to us. But if you do not provide certain information, you will not be able to use some of the services we offer. If you wish, we will delete your account information; to do so, please log into Dictionary.com using the account you wish to close,then close your acount at http://app.dictionary.com/users/cancelaccount.  ","Identifiable"
"4","Information you choose to provide : You may choose to open an account and if you are age 13 or older, provide us with information in order to use certain services or products, like Dictionary.com Premium or Word Dynamo, or to take advantage of special offers, like a contest or a sweepstakes. This information may include your name, email address, phone number, credit card information (including billing address), and demographic information (age, gender, etc.). You may provide this information directly to us or you may choose to register using your Facebook account in which case you would authorize us to access certain Facebook profile information including your first name, last name, gender, birth date and email address. You may also choose to post content (such as custom flashcards) that you may share with others, through our site or through your Twitter or Facebook account. You do not have to provide any of this information to us. But if you do not provide certain information, you will not be able to use some of the services we offer. If you wish, we will delete your account information; to do so, please log into Dictionary.com using the account you wish to close,then close your acount at http://app.dictionary.com/users/cancelaccount.  ","Identifiable"
"5"," How we use your information    We use your information to provide and improve our services, customize services for you (such as by remembering your preferences), make special offers (like sweepstakes), better understand our users, diagnose and fix problems, and sell and display ads that may be relevant to you. Email addresses, mobile phone numbers, and credit card information are used only for providing you the services you requested upon creating your account.  ","Identifiable"
"6","Email Address : We use your email address only to allow you to log in to your account, send you confirmations (of your registration, purchase, etc.), and to send you messages as part of our services. You may choose to stop receiving these emails by adjusting your email settings at http://app.dictionary.com/users/settings or by clicking on the ""unsubscribe"" link at the bottom of the email. For specific services, you can unsubscribe here: Word of the Day unsubscribe or Reference of the Day unsubscribe. We will also use your email address to respond to your customer service inquiries. If you are under the age of 13, certain messaging and site functionality may be non-existent or limited.  ","Identifiable"
"7","Phone Number : We use your mobile phone number only to send you SMS messages that you've requested. To stop receiving SMS messages, please enter your mobile number's corresponding email address here: http://dictionary.reference.com/help/faq/wordoftheday/index.htmlunsubscribe.  ","Identifiable"
"8","Credit Card Information : We use your credit card information only to process your purchases and to detect and prevent fraud.  ","Identifiable"
"13","What we don't share : We do not provide ad companies or analytics companies with your name, address, email address, phone number, or credit card information.  ","Identifiable"
"14","Aggregated Information : We may publicly disclose aggregated information about our users, such as the total number of our users and their overall demographics.  ","Aggregated or anonymized"
"17","Cookies : When you visit our sites, we place ""cookies"" (small text files) on your computer to recognize you. We do this to store your preferences and track your use of our sites. Ad companies place cookies on your computer to track your activities across various sites so that they can display targeted ads. Some ad companies and game developers use ""flash cookies"" for ads and games that use Flash media technology.  ","Identifiable"
"17","Cookies : When you visit our sites, we place ""cookies"" (small text files) on your computer to recognize you. We do this to store your preferences and track your use of our sites. Ad companies place cookies on your computer to track your activities across various sites so that they can display targeted ads. Some ad companies and game developers use ""flash cookies"" for ads and games that use Flash media technology.  ","Identifiable"
"23"," Children's privacy    We do allow children under 13 to register for an account, but we do not knowingly collect any personally identifiable information from children under 13. Personally identifiable information, for example, includes a first and last name; a home or other physical address; an e-mail address; a telephone number; or a social security number.  ","Identifiable"
"31","However, under the law, a business is not required to provide the above-described lists if the business adopts and discloses to the public (in its Privacy Policy) a policy of not disclosing customer's personal information to third parties for their direct marketing purposes unless the customer first affirmatively agrees to the disclosure or gives customers a mechanism to opt out of having their personal information disclosed to third parties for their direct marketing purposes. Rather, the business may comply with the law by notifying the customer of his or her right to prevent disclosure of personal information and providing a cost free means to exercise the right.  ","Identifiable"
