"1"," Information We Collect   IFSA-Butler collects two types of information from visitors to this website:  non-personally identifiable information that is automatically collected anytime you visit an IFSA-Butler webpage, such as IP address, browser type, and referring websites and   information that is voluntarily supplied by visitors through the submission of inquiry forms or applications for programs offered through IFSA-Butler.  ","Other"
"1"," Information We Collect   IFSA-Butler collects two types of information from visitors to this website:  non-personally identifiable information that is automatically collected anytime you visit an IFSA-Butler webpage, such as IP address, browser type, and referring websites and   information that is voluntarily supplied by visitors through the submission of inquiry forms or applications for programs offered through IFSA-Butler.  ","Aggregated or anonymized"
"2"," How We Use Visitor Information    IFSA-Butler collects non-personally identifiable information with the purpose of optimizing the performance of our website.  ","Other"
"2"," How We Use Visitor Information    IFSA-Butler collects non-personally identifiable information with the purpose of optimizing the performance of our website.  ","Aggregated or anonymized"
"3","We do not rent or sell personally identifiable information to third-parties for their marketing purposes. We may share your information with select third parties in the following circumstances:   We share certain information with overseas institutions and service providers, including universities and host families, so that they may provide our students with the services we request of them.   We may share certain information about you, including but not limited to your name and home institution, for the purposes of promoting IFSA-Butler programs.   We reserve the right to disclose your information to law enforcement and government officials in accordance with applicable laws, court orders and government regulations.    ","Identifiable"
"3","We do not rent or sell personally identifiable information to third-parties for their marketing purposes. We may share your information with select third parties in the following circumstances:   We share certain information with overseas institutions and service providers, including universities and host families, so that they may provide our students with the services we request of them.   We may share certain information about you, including but not limited to your name and home institution, for the purposes of promoting IFSA-Butler programs.   We reserve the right to disclose your information to law enforcement and government officials in accordance with applicable laws, court orders and government regulations.    ","Identifiable"
"3","We do not rent or sell personally identifiable information to third-parties for their marketing purposes. We may share your information with select third parties in the following circumstances:   We share certain information with overseas institutions and service providers, including universities and host families, so that they may provide our students with the services we request of them.   We may share certain information about you, including but not limited to your name and home institution, for the purposes of promoting IFSA-Butler programs.   We reserve the right to disclose your information to law enforcement and government officials in accordance with applicable laws, court orders and government regulations.    ","Identifiable"
"5"," Use of Cookies    IFSA-Butler uses Cookies for the purpose of maintaining your session when you provide information to IFSA-Butler through web forms and our application system. Cookies are small pieces of information transferred from our website to your web browser to streamline your experience on our website and allow web servers to recognize the computer used to access the website. Our website does not use cookies to collect personally identifiable information. You can modify your browser settings to decline cookies if you wish to opt out of this service.  ","Identifiable"
"5"," Use of Cookies    IFSA-Butler uses Cookies for the purpose of maintaining your session when you provide information to IFSA-Butler through web forms and our application system. Cookies are small pieces of information transferred from our website to your web browser to streamline your experience on our website and allow web servers to recognize the computer used to access the website. Our website does not use cookies to collect personally identifiable information. You can modify your browser settings to decline cookies if you wish to opt out of this service.  ","Aggregated or anonymized"
"6","We also work with third parties, such as Facebook and Twitter, to collect certain user data through our website for the purposes of conversion tracking and serving ads targeted to users' interests. The information we share with these services does not include any specific information relating to your application to an IFSA-Butler program or your personal information. Should you wish to opt out of such tracking, please modify your browser settings or modify your privacy settings within Facebook and Twitter to disable interest-based advertising and tracking.  ","Other"
"6","We also work with third parties, such as Facebook and Twitter, to collect certain user data through our website for the purposes of conversion tracking and serving ads targeted to users' interests. The information we share with these services does not include any specific information relating to your application to an IFSA-Butler program or your personal information. Should you wish to opt out of such tracking, please modify your browser settings or modify your privacy settings within Facebook and Twitter to disable interest-based advertising and tracking.  ","Aggregated or anonymized"
