"1","Personal Information   You do not have to provide any personal information to visit this website.  ","Generic personal information"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Contact"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Generic personal information"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Generic personal information"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Generic personal information"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Financial"
"2","If you provide us information about yourself via e-mail or a web form, your information will be used only for the purposes described at the point of collection, such as to send information or products to you, or to respond to your questions or comments. If you provide contact information, National Archives staff or its contractors may contact you to clarify your comment or question, or to learn about your level of customer satisfaction with our services.     We do not sell any personal information to third parties.     We may transfer personal information to a third party only in the following cases:      To a bank or United States Department of the Treasury account, which must receive payment for a transaction that you initiated;     To a company that is contracted to assist us with specific services, including electronic commerce or donations, and which agrees not to sell or use personal information for other purposes;     To legal authorities if we suspect that you are attempting to change or otherwise damage this website, or you are using it in violation of Federal or local laws;     To the Foundation for the National Archives, a non-governmental 501(c)(3) organization that supports the programs and activities of the National Archives, when you use our online services to make a donation; or     To Congress or a court in response to a subpoena.   ","Financial"
"3","The orders you place for reproductions or publications on this site are processed by the National Archives Trust Fund (NATF), a division within the National Archives and Records Administration (NARA). The personal information you provide when you place an order with us may be used only to fulfill your order or to facilitate the preparation of internal statistical reports. The National Archives makes every effort to limit the number of people who have access to this personal information. The National Archives employees and authorized NATF contractors who handle credit card information must ensure that it is treated as cash and secured accordingly. Any National Archives official, employee, or contractor who willfully discloses such protected information may be subject to the sanctions included in the Privacy Act (5 U.S.C. 552a). The National Archives Trust Fund will retain your order information only as long as required by law and National Archives policy. If you have questions about the use of your information by the National Archives Trust Fund, please write to National Archives Trust Fund (NAT), 8601 Adelphi Road, College Park, MD 20740.  ","Financial"
"3","The orders you place for reproductions or publications on this site are processed by the National Archives Trust Fund (NATF), a division within the National Archives and Records Administration (NARA). The personal information you provide when you place an order with us may be used only to fulfill your order or to facilitate the preparation of internal statistical reports. The National Archives makes every effort to limit the number of people who have access to this personal information. The National Archives employees and authorized NATF contractors who handle credit card information must ensure that it is treated as cash and secured accordingly. Any National Archives official, employee, or contractor who willfully discloses such protected information may be subject to the sanctions included in the Privacy Act (5 U.S.C. 552a). The National Archives Trust Fund will retain your order information only as long as required by law and National Archives policy. If you have questions about the use of your information by the National Archives Trust Fund, please write to National Archives Trust Fund (NAT), 8601 Adelphi Road, College Park, MD 20740.  ","Generic personal information"
"3","The orders you place for reproductions or publications on this site are processed by the National Archives Trust Fund (NATF), a division within the National Archives and Records Administration (NARA). The personal information you provide when you place an order with us may be used only to fulfill your order or to facilitate the preparation of internal statistical reports. The National Archives makes every effort to limit the number of people who have access to this personal information. The National Archives employees and authorized NATF contractors who handle credit card information must ensure that it is treated as cash and secured accordingly. Any National Archives official, employee, or contractor who willfully discloses such protected information may be subject to the sanctions included in the Privacy Act (5 U.S.C. 552a). The National Archives Trust Fund will retain your order information only as long as required by law and National Archives policy. If you have questions about the use of your information by the National Archives Trust Fund, please write to National Archives Trust Fund (NAT), 8601 Adelphi Road, College Park, MD 20740.  ","Generic personal information"
