"1","At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience.  ","Basic service/feature"
"6","Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you. For example, when you place an item on layaway or place an order online, we collect personal information, such as name, address, phone number, and credit or debit card information.  ","Additional service/feature"
"6","Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you. For example, when you place an item on layaway or place an order online, we collect personal information, such as name, address, phone number, and credit or debit card information.  ","Basic service/feature"
"10"," What Type of Information Do We Collect?    We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business.  ","Analytics/Research"
"10"," What Type of Information Do We Collect?    We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business.  ","Analytics/Research"
"10"," What Type of Information Do We Collect?    We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business.  ","Personalization/Customization"
"10"," What Type of Information Do We Collect?    We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business.  ","Basic service/feature"
"10"," What Type of Information Do We Collect?    We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business.  ","Service operation and security"
"11","We collect information to deliver the products and services you request and to help improve your shopping experience. Our goal is to limit the information we collect to the information needed to support our business. We collect information from you in a variety of ways when you interact with our stores, websites, and mobile services. We collect information in two ways: information we receive from you and information we receive from others.  ","Additional service/feature"
"11","We collect information to deliver the products and services you request and to help improve your shopping experience. Our goal is to limit the information we collect to the information needed to support our business. We collect information from you in a variety of ways when you interact with our stores, websites, and mobile services. We collect information in two ways: information we receive from you and information we receive from others.  ","Personalization/Customization"
