"2","Geekdo collects personal information when you register with Geekdo, when you use Geekdo products or services, when you visit Geekdo pages or the pages of certain Geekdo partners, and when you enter Geekdo contests. Geekdo may combine information about you that we have with information we obtain from business partners or other companies.  ","Basic service/feature"
"2","Geekdo collects personal information when you register with Geekdo, when you use Geekdo products or services, when you visit Geekdo pages or the pages of certain Geekdo partners, and when you enter Geekdo contests. Geekdo may combine information about you that we have with information we obtain from business partners or other companies.  ","Additional service/feature"
"3","When you register we ask for information such as your name, e-mail address, birth date, gender, zip code, occupation, industry, and personal interests. Once you register with Geekdo and sign in to our services, you are not anonymous to us.  ","Basic service/feature"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Personalization/Customization"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Personalization/Customization"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Advertising"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Basic service/feature"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Marketing"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Analytics/Research"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Analytics/Research"
"6","Geekdo uses information for the following general purposes: to customize the advertising and content you see, fulfill your requests for products and services, improve our services, contact you, conduct research, and investigate abuse.  ","Service operation and security"
"7","We partner with ValueClick to serve ads and/or collect certain information when you visit our website. ValueClick may use cookies or web beacons to collect non-personally identifiable information during your visit to this website in order to help show advertisements on other websites likely to be more interesting to you. To learn more about this ""behavioral advertising"" practice or to opt-out of this use of your anonymous information, you can visit http://www.valueclickmedia.com/member_privacy.shtml  ","Advertising"
"7","We partner with ValueClick to serve ads and/or collect certain information when you visit our website. ValueClick may use cookies or web beacons to collect non-personally identifiable information during your visit to this website in order to help show advertisements on other websites likely to be more interesting to you. To learn more about this ""behavioral advertising"" practice or to opt-out of this use of your anonymous information, you can visit http://www.valueclickmedia.com/member_privacy.shtml  ","Advertising"
"9","We reserve the right to share information in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, violations of the Geekdo Terms of Service, situations involving potential threats to the physical safety of any person, or as otherwise required by law.","Legal requirement"
"9","We reserve the right to share information in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, violations of the Geekdo Terms of Service, situations involving potential threats to the physical safety of any person, or as otherwise required by law.","Legal requirement"
"9","We reserve the right to share information in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, violations of the Geekdo Terms of Service, situations involving potential threats to the physical safety of any person, or as otherwise required by law.","Service operation and security"
