"6","THIS POLICY DOES NOT APPLY TO:   PlayStationNetwork   In parts of North America and South America, Sony Network Entertainment America Inc. (""SNEA"") operates Sony Online Services, a network of online games, movies, music, other media and content and communication services. PlayStation Network (""PSN"") is one of these Sony Online Services. With a Sony Online Services or Sony Entertainment Network account, users can purchase goods and services from SNEA through Sony Online Services and may have the opportunity to participate in various network community activities. Users can register for and log into a Sony Entertainment Network account via us.playstation.com. Collection and use of your information by Sony Online Services is governed by the SNEA Privacy Policy, which can be found here:   http://www.qriocity.com/us/en/legal-privacy.  ","Other"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Additional service/feature"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Basic service/feature"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Basic service/feature"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Basic service/feature"
"8","WHAT WE COLLECT:   Collection of Personal Information through our Websites   We do not require that website visitors reveal any personally identifying information in order to gain general access to our websites. However, visitors who do not wish to, or are not allowed by law to share personally identifying information, may not be able to access certain areas of our websites, participate in certain activities, or make a purchase from the PlayStationShop. Although personally identifying information may be required to participate in certain promotions or features offered through our websites or to make a purchase from the PlayStationShop, participants provide this information on a voluntary basis only. Collection of personal information required to access certain website services may include the collection of date of birth, name, mailing address, email address or credit card information.  ","Marketing"
"9","We collect personally identifying information in connection with the following:   Questions or comments sent through our websites to Consumer Services  Repair of, replacement of or service on system hardware  Subscription to a non-PSN marketing program  ""Send-to-a-Friend"" emails  Purchases made from the PlayStation Shop ","Basic service/feature"
"9","We collect personally identifying information in connection with the following:   Questions or comments sent through our websites to Consumer Services  Repair of, replacement of or service on system hardware  Subscription to a non-PSN marketing program  ""Send-to-a-Friend"" emails  Purchases made from the PlayStation Shop ","Marketing"
"9","We collect personally identifying information in connection with the following:   Questions or comments sent through our websites to Consumer Services  Repair of, replacement of or service on system hardware  Subscription to a non-PSN marketing program  ""Send-to-a-Friend"" emails  Purchases made from the PlayStation Shop ","Additional service/feature"
"10","Some of our website activities require that the user log in using a PlayStationNetwork (""PSN"") account; for information regarding SNEA's collection of information in association with a Sony Entertainment Network account, please see their Privacy Policy http://www.qriocity.com/us/en/legal-privacy. On our websites, PlayStation Network log in information is being authenticated by SNEA, not SCEA.  ","Basic service/feature"
"13","Dynamic advertisement serving technology enables advertisements to be temporarily loaded or cached to a Sony Entertainment Network account holder's PS3 system for display only in games that incorporate this technology. If a Sony Entertainment Network account holder plays a game that utilizes this feature, SCEA will log information about his or her system and game play to ensure that advertisements are being appropriately served to him or her and to track information about the advertisements displayed during his or her gaming session. Logged data may include: Online ID, system IP address, system MAC address, in-game advertisement location, the length of time an advertisement was visible, relative size of advertisements, the angle of view and other information related to each advertisement visible during the gaming session.  ","Advertising"
"13","Dynamic advertisement serving technology enables advertisements to be temporarily loaded or cached to a Sony Entertainment Network account holder's PS3 system for display only in games that incorporate this technology. If a Sony Entertainment Network account holder plays a game that utilizes this feature, SCEA will log information about his or her system and game play to ensure that advertisements are being appropriately served to him or her and to track information about the advertisements displayed during his or her gaming session. Logged data may include: Online ID, system IP address, system MAC address, in-game advertisement location, the length of time an advertisement was visible, relative size of advertisements, the angle of view and other information related to each advertisement visible during the gaming session.  ","Advertising"
"14","""Cookies"" are bits of electronic information that a website can transfer to a consumer's hard drive to keep records of his or her visit at the website. We may use cookies to improve consumers' experiences when visiting our websites. We may use cookies to anonymously track interest in, and collect aggregate information on, our websites.  ","Analytics/Research"
"14","""Cookies"" are bits of electronic information that a website can transfer to a consumer's hard drive to keep records of his or her visit at the website. We may use cookies to improve consumers' experiences when visiting our websites. We may use cookies to anonymously track interest in, and collect aggregate information on, our websites.  ","Analytics/Research"
"14","""Cookies"" are bits of electronic information that a website can transfer to a consumer's hard drive to keep records of his or her visit at the website. We may use cookies to improve consumers' experiences when visiting our websites. We may use cookies to anonymously track interest in, and collect aggregate information on, our websites.  ","Personalization/Customization"
"15","""Log files"" are files that log actions that have occurred on a website. We may use log files to gather statistics about consumers' browsing habits and to assess overall website activity, including how many ""hits"" a particular web page is getting. These entries are generated anonymously, and enable us to track interest in specific promotions, troubleshoot technical concerns, and provide consumers with content that may be of interest to them. We also use the log file entries for our internal marketing and demographic studies, so we can constantly improve the online services we provide to consumers. Log files are used internally only, and are not associated with any particular user, computer, or browser.  ","Analytics/Research"
"15","""Log files"" are files that log actions that have occurred on a website. We may use log files to gather statistics about consumers' browsing habits and to assess overall website activity, including how many ""hits"" a particular web page is getting. These entries are generated anonymously, and enable us to track interest in specific promotions, troubleshoot technical concerns, and provide consumers with content that may be of interest to them. We also use the log file entries for our internal marketing and demographic studies, so we can constantly improve the online services we provide to consumers. Log files are used internally only, and are not associated with any particular user, computer, or browser.  ","Analytics/Research"
