"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Unnamed third party"
"8"," B. Information Collected Automatically When Using Our Services    THE MRC and our third party service providers collect information automatically through the use of electronic tools such as web beacons, cookies, Flash, clickstream data, and other automated devices that are deployed on the Website. We and our third party service providers may collect the following information about your use of our Website via these technologies: your IP address; your browser type and operating system; web pages you view; links you click; your interaction with our Website; length of time you are logged into our Website; and websites visited before our Website.  ","Named third party"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Unnamed third party"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Named third party"
"13"," Third Party Cookies.    We also engage third parties to track and analyze non-personally and personally identifiable Website data. To do so, we permit third parties to apply cookies to users of our Services, where permitted by law, and, subject to your right to opt-out through the Network Advertising Initiative (as discussed below). We use the data collected by such third parties to help us administer and improve the quality of our Services and to analyze use of our Services. We also use such third parties to assist us in serving advertisements. Such third parties may combine the information that we provide about you with other information that they have collected. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Unnamed third party"
"15"," ClickStream Data    THE MRC may use third-party software to analyze the Web pages that your computer visits while using our Services. This information, called clickstream data, is associated with your computers Internet protocol (IP) address and/or device ID, and includes other information such as the type of browser your computer/device uses to access the Internet. We may collect clickstream data to optimize search engine results and may also use clickstream data to analyze which portions of our Website draw the most traffic so we can improve performance of our Services. This clickstream data may be shared with third party advertisers and marketing companies. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Named third party"
"15"," ClickStream Data    THE MRC may use third-party software to analyze the Web pages that your computer visits while using our Services. This information, called clickstream data, is associated with your computers Internet protocol (IP) address and/or device ID, and includes other information such as the type of browser your computer/device uses to access the Internet. We may collect clickstream data to optimize search engine results and may also use clickstream data to analyze which portions of our Website draw the most traffic so we can improve performance of our Services. This clickstream data may be shared with third party advertisers and marketing companies. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Unnamed third party"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Unnamed third party"
"17"," Analytics.    We and our third party service providers conduct analytics of our Services to help us track and understand how visitors use our Services, using the technologies described in this section. For example, we use a variety of third party web analytics, to help us improve the performance and user experience of our Website and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Unnamed third party"
"19","  Third Party Service Providers that provide services on our behalf. Examples of these services include, but are not limited to: technical support for the operation of our Services; Website evaluation and statistics; and fulfilling your orders for products and services made available through our Site;  ","Unnamed third party"
"19","  Third Party Service Providers that provide services on our behalf. Examples of these services include, but are not limited to: technical support for the operation of our Services; Website evaluation and statistics; and fulfilling your orders for products and services made available through our Site;  ","Named third party"
"20","  Law enforcement authorities, government agencies, courts, or other entities, when:  ","Named third party"
"20","  Law enforcement authorities, government agencies, courts, or other entities, when:  ","Other"
"21","  we believe in good faith that the law requires it  ","Unnamed third party"
"22","  we deem it necessary or appropriate to provide such information  ","Unnamed third party"
"23","  to otherwise protect our rights, other persons, or other users of our Services  ","Unnamed third party"
"24","  Another entity, in the course of a sale to or merger of all or a part of our business with another entity  ","Unnamed third party"
"25","  A court, another business, or other interested party in the event of a bankruptcy proceeding, in which case the information about you would be among the many assets shared or transferred.  ","Named third party"
"25","  A court, another business, or other interested party in the event of a bankruptcy proceeding, in which case the information about you would be among the many assets shared or transferred.  ","Unnamed third party"
"26","  Third-party merchants with from whom you choose to make a purchase through our Services;  ","Unnamed third party"
"26","  Third-party merchants with from whom you choose to make a purchase through our Services;  ","Named third party"
"27","  Other non-affiliated third parties. We may share your information, including personally identifiable information, with non-affiliated third parties for their own marketing purposes. If you are a California resident, please see the special notice to you below about how you can obtain additional information about this sharing.  ","Unnamed third party"
"28","  We also may disclose aggregate user statistics to third parties for a variety of purposes, including research, analytics, and marketing.  ","Unnamed third party"
