"13","Cookies and similar technologies   We and our partners use various technologies to collect and store information when you visit a Google service, and this may include using cookies or similar technologies to identify your browser or device. We also use these technologies to collect and store information when you interact with services we offer to our partners, such as advertising services or Google features that may appear on other sites. Our Google Analytics product helps businesses and site owners analyze the traffic to their websites and apps. When used in conjunction with our advertising services, such as those using the DoubleClick cookie, Google Analytics information is linked, by the Google Analytics customer or by Google, using Google technology, with information about visits to multiple sites.  ","Unnamed third party"
"13","Cookies and similar technologies   We and our partners use various technologies to collect and store information when you visit a Google service, and this may include using cookies or similar technologies to identify your browser or device. We also use these technologies to collect and store information when you interact with services we offer to our partners, such as advertising services or Google features that may appear on other sites. Our Google Analytics product helps businesses and site owners analyze the traffic to their websites and apps. When used in conjunction with our advertising services, such as those using the DoubleClick cookie, Google Analytics information is linked, by the Google Analytics customer or by Google, using Google technology, with information about visits to multiple sites.  ","Unnamed third party"
"13","Cookies and similar technologies   We and our partners use various technologies to collect and store information when you visit a Google service, and this may include using cookies or similar technologies to identify your browser or device. We also use these technologies to collect and store information when you interact with services we offer to our partners, such as advertising services or Google features that may appear on other sites. Our Google Analytics product helps businesses and site owners analyze the traffic to their websites and apps. When used in conjunction with our advertising services, such as those using the DoubleClick cookie, Google Analytics information is linked, by the Google Analytics customer or by Google, using Google technology, with information about visits to multiple sites.  ","Named third party"
"16","We may use the name you provide for your Google Profile across all of the services we offer that require a Google Account. In addition, we may replace past names associated with your Google Account so that you are represented consistently across all our services. If other users already have your email, or other information that identifies you, we may show them your publicly visible Google Profile information, such as your name and photo.  ","Other users"
"17","If you have a Google Account, we may display your Profile name, Profile photo, and actions you take on Google or on third-party applications connected to your Google Account (such as +1's, reviews you write and comments you post) in our services, including displaying in ads and other commercial contexts. We will respect the choices you make to limit sharing or visibility settings in your Google Account.  ","Public"
"26"," Information you share    Many of our services let you share information with others. Remember that when you share information publicly, it may be indexable by search engines, including Google. Our services provide you with different options on sharing and removing your content.  ","Other users"
"30"," Information we share    We do not share personal information with companies, organizations and individuals outside of Google unless one of the following circumstances applies:  ","Unnamed third party"
"31","With your consent   We will share personal information with companies, organizations or individuals outside of Google when we have your consent to do so. We require opt-in consent for the sharing of any sensitive personal information.  ","Unnamed third party"
"32","With domain administrators   If your Google Account is managed for you by a domain administrator (for example, for Google Apps users) then your domain administrator and resellers who provide user support to your organization will have access to your Google Account information (including your email and other data). Your domain administrator may be able to:     view statistics regarding your account, like statistics regarding applications you install.     change your account password.     suspend or terminate your account access.     access or retain information stored as part of your account.     receive your account information in order to satisfy applicable law, regulation, legal process or enforceable governmental request.     restrict your ability to delete or edit information or privacy settings.   Please refer to your domain administrator's privacy policy for more information.  ","Named third party"
"32","With domain administrators   If your Google Account is managed for you by a domain administrator (for example, for Google Apps users) then your domain administrator and resellers who provide user support to your organization will have access to your Google Account information (including your email and other data). Your domain administrator may be able to:     view statistics regarding your account, like statistics regarding applications you install.     change your account password.     suspend or terminate your account access.     access or retain information stored as part of your account.     receive your account information in order to satisfy applicable law, regulation, legal process or enforceable governmental request.     restrict your ability to delete or edit information or privacy settings.   Please refer to your domain administrator's privacy policy for more information.  ","Named third party"
"32","With domain administrators   If your Google Account is managed for you by a domain administrator (for example, for Google Apps users) then your domain administrator and resellers who provide user support to your organization will have access to your Google Account information (including your email and other data). Your domain administrator may be able to:     view statistics regarding your account, like statistics regarding applications you install.     change your account password.     suspend or terminate your account access.     access or retain information stored as part of your account.     receive your account information in order to satisfy applicable law, regulation, legal process or enforceable governmental request.     restrict your ability to delete or edit information or privacy settings.   Please refer to your domain administrator's privacy policy for more information.  ","Named third party"
"33","For external processing   We provide personal information to our affiliates or other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.  ","Other part of company/affiliate"
"33","For external processing   We provide personal information to our affiliates or other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.  ","Unnamed third party"
"34","For legal reasons   We will share personal information with companies, organizations or individuals outside of Google if we have a good-faith belief that access, use, preservation or disclosure of the information is reasonably necessary to:     meet any applicable law, regulation, legal process or enforceable governmental request.     enforce applicable Terms of Service, including investigation of potential violations.     detect, prevent, or otherwise address fraud, security or technical issues.     protect against harm to the rights, property or safety of Google, our users or the public as required or permitted by law.  ","Unnamed third party"
"35","We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites. For example, we may share information publicly to show trends about the general use of our services.  ","Public"
"35","We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites. For example, we may share information publicly to show trends about the general use of our services.  ","Public"
"35","We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites. For example, we may share information publicly to show trends about the general use of our services.  ","Unnamed third party"
"35","We may share aggregated, non-personally identifiable information publicly and with our partners - like publishers, advertisers or connected sites. For example, we may share information publicly to show trends about the general use of our services.  ","Named third party"
"36","If Google is involved in a merger, acquisition or asset sale, we will continue to ensure the confidentiality of any personal information and give affected users notice before personal information is transferred or becomes subject to a different privacy policy.  ","Other part of company/affiliate"
