"51"," YOUR RIGHTS TO ACCESS AND CONTROL YOUR HEALTH INFORMATION    Kaleida Health wants you to know that you have the following rights to access and control your health information. These rights are important because they will help you make sure that the health information we have about you is accurate. They may also help you control the way Kaleida Health uses your information and share it with others, or the way we communicate with you about your medical matters.  ","Other data about user","User Access, Edit and Deletion"
"52"," 1. Right To Inspect And Copy Records    You have the right to inspect and obtain a copy of any of your health information that may be used to make decisions about you and your treatment for as long as we maintain this information in our records. This includes medical and billing records. To inspect or obtain a copy of your health information, please submit your request in writing to the Kaleida Health hospital or clinic at which you received your care. If you request a copy of the information, Kaleida Health may charge a fee for the costs of copying, mailing or other supplies we use to fulfill your request. The standard fee is $0.75 per page and must generally be paid before or at the time we give the copies to you.  ","Other","User Access, Edit and Deletion"
"52"," 1. Right To Inspect And Copy Records    You have the right to inspect and obtain a copy of any of your health information that may be used to make decisions about you and your treatment for as long as we maintain this information in our records. This includes medical and billing records. To inspect or obtain a copy of your health information, please submit your request in writing to the Kaleida Health hospital or clinic at which you received your care. If you request a copy of the information, Kaleida Health may charge a fee for the costs of copying, mailing or other supplies we use to fulfill your request. The standard fee is $0.75 per page and must generally be paid before or at the time we give the copies to you.  ","Other data about user","User Access, Edit and Deletion"
"53","Kaleida Health will respond to your request for inspection of records within 10 days. Kaleida Health ordinarily will respond to requests for copies within 30 days if the information is located in our facility, and within 60 days if it is located off-site at another facility. If we need additional time to respond to a request for copies, we will notify you in writing within the time frame above to explain the reason for the delay and when you can expect to have a final answer to your request.  ","Other data about user","User Access, Edit and Deletion"
"55"," 2. Right To Amend Records    If you believe that the health information we have about you is incorrect or incomplete, you may ask Kaleida Health to amend the information. You have the right to request an amendment for as long as the information is kept in our records. To request an amendment, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, NY 14210. Your request should include the reasons why you think Kaleida Health should make the amendment. Ordinarily Kaleida Health will respond to your request within 60 days. If Kaleida Health needs additional time to respond, we will notify you in writing within 60 days to explain the reason for the delay and when you can expect to have a final answer to your request.  ","Other","User Access, Edit and Deletion"
"55"," 2. Right To Amend Records    If you believe that the health information we have about you is incorrect or incomplete, you may ask Kaleida Health to amend the information. You have the right to request an amendment for as long as the information is kept in our records. To request an amendment, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, NY 14210. Your request should include the reasons why you think Kaleida Health should make the amendment. Ordinarily Kaleida Health will respond to your request within 60 days. If Kaleida Health needs additional time to respond, we will notify you in writing within 60 days to explain the reason for the delay and when you can expect to have a final answer to your request.  ","Other data about user","User Access, Edit and Deletion"
"57"," 3. Right To An Accounting Of Disclosures    You have a right to request an ""accounting of disclosures"" which identifies certain other persons or organizations to whom we have disclosed your health information in accordance with applicable law and the protections afforded in this Notice of Privacy Practices. An accounting of disclosures does not describe the ways that your health information has been shared within and between the hospital and the facilities listed at the beginning of this notice, as long as all other protections described in this Notice of Privacy Practices have been followed (such as obtaining the required approvals before sharing your health information with our doctors for research purposes).  ","Other","User Access, Edit and Deletion"
"58","An accounting of disclosures also does not include information about the following disclosures:   Disclosures we made to you or your personal representative;     Disclosures we made pursuant to your written authorization;     Disclosures we made for treatment, payment or business operations;     Disclosures made from the patient directory;     Disclosures made to your friends and family involved in your care or payment for your care;     Disclosures that were incidental to permissible uses and disclosures of your health information (for example, when information is overheard by another patient passing by);     Disclosures for purposes of research, public health or our business operations of limited portions of your health information that do not directly identify you;     Disclosures made to federal officials for national security and intelligence activities;     Disclosures about inmates to correctional institutions or law enforcement officers;     Disclosures made prior to six years from the date of your request.  ","Other","User Access, Edit and Deletion"
"60","Your request must state a time period within the past six years for the disclosures you want us to include. For example, you may request a list of the disclosures that we made the previous year between January 1 and June 1. You have a right to receive one accounting within every 12 month period for free. However, we may charge you for the cost of providing any additional accounting in that same 12 month period. Kaleida Health will always notify you of any cost involved so that you may choose to withdraw or modify your request before any costs are incurred.  ","Other","User Access, Edit and Deletion"
"61","Ordinarily Kaleida Health will respond to your request for an accounting within 60 days. If we need additional time to prepare the accounting you have requested, we will notify you in writing about the reason for the delay and the date when you can expect to receive the accounting. In rare cases, Kaleida Health may have to delay providing you with the accounting without notifying you because a law enforcement official or government agency has asked us to do so.  ","Other","User Access, Edit and Deletion"
