"1","Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  ","Collect on website","First Party Collection/Use"
"3"," Information we collect    Information collected automatically : When you visit our sites and use our apps, we automatically collect and store information about your computer or mobile device and your activities. This information includes:     Your computer's IP address     Technical information about your computer or mobile device (such as type of device, web browser or operating system)     Your preferences and settings (time zone, language, etc.)     Your mobile device's unique ID number     Your mobile device's geographic location (specific geographic location if you've enabled collection of that information, or general geographic location automatically)     The URL of the last web page you visited before coming to one of our sites     The words you have looked up and results you selected     The ads you clicked on     How long you visited our sites or used our apps and which services and features you used     For app users, the online or offline status of Your app  ","Collect on website","First Party Collection/Use"
"3"," Information we collect    Information collected automatically : When you visit our sites and use our apps, we automatically collect and store information about your computer or mobile device and your activities. This information includes:     Your computer's IP address     Technical information about your computer or mobile device (such as type of device, web browser or operating system)     Your preferences and settings (time zone, language, etc.)     Your mobile device's unique ID number     Your mobile device's geographic location (specific geographic location if you've enabled collection of that information, or general geographic location automatically)     The URL of the last web page you visited before coming to one of our sites     The words you have looked up and results you selected     The ads you clicked on     How long you visited our sites or used our apps and which services and features you used     For app users, the online or offline status of Your app  ","Collect in mobile app","First Party Collection/Use"
"4","Information you choose to provide : You may choose to open an account and if you are age 13 or older, provide us with information in order to use certain services or products, like Dictionary.com Premium or Word Dynamo, or to take advantage of special offers, like a contest or a sweepstakes. This information may include your name, email address, phone number, credit card information (including billing address), and demographic information (age, gender, etc.). You may provide this information directly to us or you may choose to register using your Facebook account in which case you would authorize us to access certain Facebook profile information including your first name, last name, gender, birth date and email address. You may also choose to post content (such as custom flashcards) that you may share with others, through our site or through your Twitter or Facebook account. You do not have to provide any of this information to us. But if you do not provide certain information, you will not be able to use some of the services we offer. If you wish, we will delete your account information; to do so, please log into Dictionary.com using the account you wish to close,then close your acount at http://app.dictionary.com/users/cancelaccount.  ","Collect on website","First Party Collection/Use"
"4","Information you choose to provide : You may choose to open an account and if you are age 13 or older, provide us with information in order to use certain services or products, like Dictionary.com Premium or Word Dynamo, or to take advantage of special offers, like a contest or a sweepstakes. This information may include your name, email address, phone number, credit card information (including billing address), and demographic information (age, gender, etc.). You may provide this information directly to us or you may choose to register using your Facebook account in which case you would authorize us to access certain Facebook profile information including your first name, last name, gender, birth date and email address. You may also choose to post content (such as custom flashcards) that you may share with others, through our site or through your Twitter or Facebook account. You do not have to provide any of this information to us. But if you do not provide certain information, you will not be able to use some of the services we offer. If you wish, we will delete your account information; to do so, please log into Dictionary.com using the account you wish to close,then close your acount at http://app.dictionary.com/users/cancelaccount.  ","Receive from other service/third-party (named)","First Party Collection/Use"
"5"," How we use your information    We use your information to provide and improve our services, customize services for you (such as by remembering your preferences), make special offers (like sweepstakes), better understand our users, diagnose and fix problems, and sell and display ads that may be relevant to you. Email addresses, mobile phone numbers, and credit card information are used only for providing you the services you requested upon creating your account.  ","Collect on website","First Party Collection/Use"
"6","Email Address : We use your email address only to allow you to log in to your account, send you confirmations (of your registration, purchase, etc.), and to send you messages as part of our services. You may choose to stop receiving these emails by adjusting your email settings at http://app.dictionary.com/users/settings or by clicking on the ""unsubscribe"" link at the bottom of the email. For specific services, you can unsubscribe here: Word of the Day unsubscribe or Reference of the Day unsubscribe. We will also use your email address to respond to your customer service inquiries. If you are under the age of 13, certain messaging and site functionality may be non-existent or limited.  ","Collect on website","First Party Collection/Use"
"7","Phone Number : We use your mobile phone number only to send you SMS messages that you've requested. To stop receiving SMS messages, please enter your mobile number's corresponding email address here: http://dictionary.reference.com/help/faq/wordoftheday/index.htmlunsubscribe.  ","Collect on website","First Party Collection/Use"
"8","Credit Card Information : We use your credit card information only to process your purchases and to detect and prevent fraud.  ","Collect on website","First Party Collection/Use"
"16"," Tracking technologies    We, as well as other companies, use tracking technologies to collect and store data about your computer or mobile device and your activities on our sites and apps.  ","Collect on website","First Party Collection/Use"
"16"," Tracking technologies    We, as well as other companies, use tracking technologies to collect and store data about your computer or mobile device and your activities on our sites and apps.  ","Collect on website","First Party Collection/Use"
"16"," Tracking technologies    We, as well as other companies, use tracking technologies to collect and store data about your computer or mobile device and your activities on our sites and apps.  ","Collect in mobile app","First Party Collection/Use"
"16"," Tracking technologies    We, as well as other companies, use tracking technologies to collect and store data about your computer or mobile device and your activities on our sites and apps.  ","Collect in mobile app","First Party Collection/Use"
"16"," Tracking technologies    We, as well as other companies, use tracking technologies to collect and store data about your computer or mobile device and your activities on our sites and apps.  ","Collect on mobile website","First Party Collection/Use"
"17","Cookies : When you visit our sites, we place ""cookies"" (small text files) on your computer to recognize you. We do this to store your preferences and track your use of our sites. Ad companies place cookies on your computer to track your activities across various sites so that they can display targeted ads. Some ad companies and game developers use ""flash cookies"" for ads and games that use Flash media technology.  ","Collect on website","First Party Collection/Use"
"19","Pixel tags : We embed pixel tags (also called web beacons or clear GIFs) on web pages, ads, and emails. These tiny, invisible graphics are used to access cookies and track user activities (such as how many times a page is viewed). We use pixel tags to measure the popularity of our features and services. Ad companies use pixel tags to measure the number of ads displayed and their performance (such as how many people clicked on an ad).  ","Collect on website","First Party Collection/Use"
"20","Mobile Device IDs : If you're using an app, we use mobile device IDs (the unique identifier assigned to a device by the manufacturer), instead of cookies, to recognize you. We do this to store your preferences and track your use of our apps. Unlike cookies, device IDs cannot be deleted. Ad companies use device IDs to track your use of the app, track the number of ads displayed, measure ad performance and display ads that are more relevant to you. Analytics companies use device IDs to track information about app usage.  ","Collect on mobile website","First Party Collection/Use"
"20","Mobile Device IDs : If you're using an app, we use mobile device IDs (the unique identifier assigned to a device by the manufacturer), instead of cookies, to recognize you. We do this to store your preferences and track your use of our apps. Unlike cookies, device IDs cannot be deleted. Ad companies use device IDs to track your use of the app, track the number of ads displayed, measure ad performance and display ads that are more relevant to you. Analytics companies use device IDs to track information about app usage.  ","Collect in mobile app","First Party Collection/Use"
