"3"," What Information Is Collected?    We collect two basic types of information from you in conjunction with your use of the Sites: non-personally identifiable information and personally identifiable information. Non-personally identifiable information does not individually identify you, but it may include tracking and usage information about your general location, demographics, use of the Sites and the Internet. Personally identifiable information is any information that can individually identify you and includes, your name, address, phone number, and email address, or non-personally identifiable information that has been linked to such personally identifiable information.  ","Collect on website","First Party Collection/Use"
"3"," What Information Is Collected?    We collect two basic types of information from you in conjunction with your use of the Sites: non-personally identifiable information and personally identifiable information. Non-personally identifiable information does not individually identify you, but it may include tracking and usage information about your general location, demographics, use of the Sites and the Internet. Personally identifiable information is any information that can individually identify you and includes, your name, address, phone number, and email address, or non-personally identifiable information that has been linked to such personally identifiable information.  ","Collect on website","First Party Collection/Use"
"4"," Personally Identifiable Information    As a general matter, you can browse the Sites without submitting your personally identifiable information to us. However, there are a number of circumstances in which you may supply us with your personally identifiable information, including when you subscribe to our publications, newsletters, and other content; place an order; register for a Site or any part thereof; complete a survey or participate in market research; enter a contest; upload content; or when you seek employment at The Atlantic.  ","Collect on website","First Party Collection/Use"
"5"," Non-Personally Identifiable Information    When you interact with the Sites, we may collect certain information that does not identify you individually (non-personally identifiable information or non-PII), such as demographic data; information about your computer, mobile device, or other device that you use to access the Sites, including IP address, general location information, unique device identifiers, browser type, browser language, and other transactional information. We may also collect information about your use of the Sites, including your search terms and search results, and additional traffic data such as time of access, date of access, software crash reports, session identification number, access times, and referring website addresses. Our servers may automatically keep an activity log of your use of our Sites. In addition to non-identifiable individual information, we may collect aggregate data regarding the use of the Sites.  ","Collect on website","First Party Collection/Use"
"5"," Non-Personally Identifiable Information    When you interact with the Sites, we may collect certain information that does not identify you individually (non-personally identifiable information or non-PII), such as demographic data; information about your computer, mobile device, or other device that you use to access the Sites, including IP address, general location information, unique device identifiers, browser type, browser language, and other transactional information. We may also collect information about your use of the Sites, including your search terms and search results, and additional traffic data such as time of access, date of access, software crash reports, session identification number, access times, and referring website addresses. Our servers may automatically keep an activity log of your use of our Sites. In addition to non-identifiable individual information, we may collect aggregate data regarding the use of the Sites.  ","Collect on website","First Party Collection/Use"
"6"," Collection of Personally Identifiable Information From or Through Social Media Sites    In addition, when you interact with any The Atlantic property page or account on a social media platform, such as Facebook, Twitter, Tumblr, or LinkedIn, we may collect the personally identifiable information that you make available to us on that page or account including your social media account ID. However, we will comply with the privacy policies of the corresponding social media platform and we will only collect and store such personally identifiable information that we are permitted to collect by those social media platforms. If you choose to link or login to your The Atlantic account with or through a social networking service, The Atlantic and that service may share certain information about you and your activities. With your consent, we also may share information about your activities, including what you view on the Sites, with that social networks users.  ","Collect from user on other websites","First Party Collection/Use"
"6"," Collection of Personally Identifiable Information From or Through Social Media Sites    In addition, when you interact with any The Atlantic property page or account on a social media platform, such as Facebook, Twitter, Tumblr, or LinkedIn, we may collect the personally identifiable information that you make available to us on that page or account including your social media account ID. However, we will comply with the privacy policies of the corresponding social media platform and we will only collect and store such personally identifiable information that we are permitted to collect by those social media platforms. If you choose to link or login to your The Atlantic account with or through a social networking service, The Atlantic and that service may share certain information about you and your activities. With your consent, we also may share information about your activities, including what you view on the Sites, with that social networks users.  ","Collect from user on other websites","First Party Collection/Use"
"6"," Collection of Personally Identifiable Information From or Through Social Media Sites    In addition, when you interact with any The Atlantic property page or account on a social media platform, such as Facebook, Twitter, Tumblr, or LinkedIn, we may collect the personally identifiable information that you make available to us on that page or account including your social media account ID. However, we will comply with the privacy policies of the corresponding social media platform and we will only collect and store such personally identifiable information that we are permitted to collect by those social media platforms. If you choose to link or login to your The Atlantic account with or through a social networking service, The Atlantic and that service may share certain information about you and your activities. With your consent, we also may share information about your activities, including what you view on the Sites, with that social networks users.  ","Collect on website","First Party Collection/Use"
"7"," Collection of Your Source IP Address/Location Information    We collect and store your devices source IP address which may disclose the general location of your device at the time you access the Sites. Advertisements and certain content may be directed to you as a result of this data.  ","Collect on website","First Party Collection/Use"
"7"," Collection of Your Source IP Address/Location Information    We collect and store your devices source IP address which may disclose the general location of your device at the time you access the Sites. Advertisements and certain content may be directed to you as a result of this data.  ","Collect on website","First Party Collection/Use"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Collect on website","First Party Collection/Use"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Collect on website","First Party Collection/Use"
"9","We may also use web beacons and web storage technologies. A web beacon (also known as an action tag, tracer tag, or single-pixel gif) is an invisible graphic on a web page that is programmed to collect information about your use of a given website. Web Storage is a feature in some browsers that permits websites to store data within your browser rather within a cookie. We do not share or provide personally identifiable information we may collect in web beacons or store in Web Storage, such as names, e-mail addresses and phone numbers, to unaffiliated third parties without your express permission.  ","Collect on website","First Party Collection/Use"
"9","We may also use web beacons and web storage technologies. A web beacon (also known as an action tag, tracer tag, or single-pixel gif) is an invisible graphic on a web page that is programmed to collect information about your use of a given website. Web Storage is a feature in some browsers that permits websites to store data within your browser rather within a cookie. We do not share or provide personally identifiable information we may collect in web beacons or store in Web Storage, such as names, e-mail addresses and phone numbers, to unaffiliated third parties without your express permission.  ","Collect on website","First Party Collection/Use"
"9","We may also use web beacons and web storage technologies. A web beacon (also known as an action tag, tracer tag, or single-pixel gif) is an invisible graphic on a web page that is programmed to collect information about your use of a given website. Web Storage is a feature in some browsers that permits websites to store data within your browser rather within a cookie. We do not share or provide personally identifiable information we may collect in web beacons or store in Web Storage, such as names, e-mail addresses and phone numbers, to unaffiliated third parties without your express permission.  ","Collect from user on other websites","First Party Collection/Use"
