"3"," What Information We Collect About You    We collect two basic types of information from you in conjunction with your use of the Sites: (1) personal information, which is any information that individually identifies you (e.g., your name, email address, telephone number, postal address, credit card information) and (2) non-personal information, which is information that does not personally identify you but may include information about your interests, demographics (e.g., age, gender, 5-digit zip code) and use of the Sites. We collect this information in the following ways:  ","Collect on website","First Party Collection/Use"
"4"," Information You Provide Directly To Us:    We may ask you to provide your personal information, demographic information or information about your preferences or interests when you:     Register for an account on the Sites     Sign up to receive email newsletters from us     Make a purchase on the Sites     Enter a contest or sweepstakes     Participate in surveys or special promotions     Participate on social media accounts involving our authors, books or brands     Participate in communities or forums on the Sites     Submit user generated content on any part of the Sites that permit it     Knowingly volunteer information on any other part of the Sites (e.g., request for customer service, submit a job application)  ","Collect on website","First Party Collection/Use"
"4"," Information You Provide Directly To Us:    We may ask you to provide your personal information, demographic information or information about your preferences or interests when you:     Register for an account on the Sites     Sign up to receive email newsletters from us     Make a purchase on the Sites     Enter a contest or sweepstakes     Participate in surveys or special promotions     Participate on social media accounts involving our authors, books or brands     Participate in communities or forums on the Sites     Submit user generated content on any part of the Sites that permit it     Knowingly volunteer information on any other part of the Sites (e.g., request for customer service, submit a job application)  ","Collect on website","First Party Collection/Use"
"5"," Information Collected Using Technology:    In addition to any information you provide directly to us, we and our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you, including the following:  ","Collect on website","First Party Collection/Use"
"5"," Information Collected Using Technology:    In addition to any information you provide directly to us, we and our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you, including the following:  ","Receive from other service/third-party (unnamed)","First Party Collection/Use"
"5"," Information Collected Using Technology:    In addition to any information you provide directly to us, we and our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you, including the following:  ","Other","First Party Collection/Use"
"6"," Device Information    We may collect certain information about your computer or other device that you use to access the Sites, including IP address, geolocation information, unique device identifiers, browser type, browser language, and other transactional information.  ","Collect on website","First Party Collection/Use"
"7"," Usage Information    We may log certain information about your use of the Sites (e.g., log files, clickstream data, a reading history of the pages you view, your search terms and search results) and additional ""traffic data"" (e.g., time of access, date of access, software crash reports, session identification number, access times, referring website addresses).  ","Collect on website","First Party Collection/Use"
"8"," Location Information    Some of our applications may deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.  ","Collect in mobile app","First Party Collection/Use"
"9"," Cookies, Flash Cookies and Web Beacons    Like many websites, we use cookies, flash cookies, web beacons or similar technologies. ""Cookies"" are small text files that are stored on your computer or other device when you visit certain online pages that record your preferences and actions. We use cookies for a variety of purposes, including remembering you and your preferences, tracking your use of our Sites, and facilitating your payment transactions. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to decline cookies. However, please note that refusing a cookie may limit your access to the Sites.  ","Collect on website","First Party Collection/Use"
"9"," Cookies, Flash Cookies and Web Beacons    Like many websites, we use cookies, flash cookies, web beacons or similar technologies. ""Cookies"" are small text files that are stored on your computer or other device when you visit certain online pages that record your preferences and actions. We use cookies for a variety of purposes, including remembering you and your preferences, tracking your use of our Sites, and facilitating your payment transactions. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to decline cookies. However, please note that refusing a cookie may limit your access to the Sites.  ","Collect on mobile website","First Party Collection/Use"
"10","A ""flash cookie"" is a data file placed on your device via the Adobe Flash plug-in, which may be built-in or downloaded by you to your computer or other device. Flash cookies may be used for various purposes, such as enabling a Flash feature and remembering your preferences. If you choose to adjust your Flash privacy settings in your device, some features of the Sites may not function properly. For more information about the privacy choices Adobe offers, visit: http://www.macromedia.com/support/documentation/en/flashplayer/help/settings_manager.html.  ","Collect on website","First Party Collection/Use"
"11","A ""web beacon"" (also known as an ""action tag"", ""tracer tag"", or ""single-pixel GIF"") is an invisible graphic that is programmed only to collect non-personal information about your use of our Sites or emails sent to you. Web beacons may be used for a number of purposes, including counting visitors to the Sites, monitoring how users navigate the Sites, counting how many emails were opened or how many links were viewed, and providing you with content customized to your interests.  ","Collect on website","First Party Collection/Use"
"11","A ""web beacon"" (also known as an ""action tag"", ""tracer tag"", or ""single-pixel GIF"") is an invisible graphic that is programmed only to collect non-personal information about your use of our Sites or emails sent to you. Web beacons may be used for a number of purposes, including counting visitors to the Sites, monitoring how users navigate the Sites, counting how many emails were opened or how many links were viewed, and providing you with content customized to your interests.  ","Other","First Party Collection/Use"
"12"," Targeted Advertising    We may allow third parties to use cookies, web beacons and similar technologies to better understand your behavior and browsing activities, so that we can serve you targeted advertising while you are on our Sites and display our ads to you when you visit other third party sites. For example, we work with third party network advertisers who may set these technologies to better provide advertisements about goods and services that may be of interest to you. We do not control these third party technologies, and they are not subject to this Privacy Policy. We do not authorize these third party network advertisers to use this technology to collect personal information about you and they do not have access to your personal information from us. They may, however, track your Internet usage anonymously (that is, without being able to identify you personally) over time and across other websites in their networks beyond our Sites. To learn more about the use of this information or to opt out of having this information used by our third party network advertisers, please visit the Network Advertising Initiative by clicking http://www.networkadvertising.org/managing/opt_out.asp.  ","Receive from other service/third-party (unnamed)","First Party Collection/Use"
"12"," Targeted Advertising    We may allow third parties to use cookies, web beacons and similar technologies to better understand your behavior and browsing activities, so that we can serve you targeted advertising while you are on our Sites and display our ads to you when you visit other third party sites. For example, we work with third party network advertisers who may set these technologies to better provide advertisements about goods and services that may be of interest to you. We do not control these third party technologies, and they are not subject to this Privacy Policy. We do not authorize these third party network advertisers to use this technology to collect personal information about you and they do not have access to your personal information from us. They may, however, track your Internet usage anonymously (that is, without being able to identify you personally) over time and across other websites in their networks beyond our Sites. To learn more about the use of this information or to opt out of having this information used by our third party network advertisers, please visit the Network Advertising Initiative by clicking http://www.networkadvertising.org/managing/opt_out.asp.  ","Receive from other service/third-party (named)","First Party Collection/Use"
"13"," California Do Not Track Notice    Some browsers offer a ""Do Not Track"" feature that lets you tell websites that you do not want to have your online activities tracked. We do not respond to these ""Do Not Track"" signals. At this time, we do not track your personal information about your online activities over time and across third party websites. We also do not authorize third parties to collect any personal information from you on the Sites for these purposes.  ","Track user on other websites","First Party Collection/Use"
"14"," Collection of Information From Other Third Party Sources    We may also collect personal and non-personal information about you from other sources to, among other things, enable us to supplement the information contained in our database and to better customize your experience with PRH.  ","Receive from other service/third-party (unnamed)","First Party Collection/Use"
