"5"," What Information Do We Collect-    Meredith and our service providers collect a variety of information about you including:     Information you choose to provide to us directly when using our Services and information about the computers and devices you use to access our services, including their location.     Information about your browsing activity as you use our Services and interact with our content, email messages and advertising. Some information may be collected automatically through cookies, beacons and other tracking and personalization technologies.     Information about you or your household that we obtain from other sources where permitted by law.  ","Receive from other service/third-party (unnamed)","First Party Collection/Use"
"16"," Information Collected Through Our Services:    The information we gather through our Services falls into two categories: (1) information you voluntarily supply to us when you register, initiate transactions, participate in promotions or surveys, submit comments or questions or otherwise communicate with us or others through the Services, and (2) information collected automatically as you use our Services. Third-party providers and advertisers featured on, or linked to or from, our Services may also gather information through processes that we don't control and subject to their own separate privacy policies, which may differ from ours. Some of our Services also may participate in third-party advertising networks that collect information about your activity online to tailor some of the advertising that you see on sites in their networks to your interests.  ","Other","First Party Collection/Use"
"16"," Information Collected Through Our Services:    The information we gather through our Services falls into two categories: (1) information you voluntarily supply to us when you register, initiate transactions, participate in promotions or surveys, submit comments or questions or otherwise communicate with us or others through the Services, and (2) information collected automatically as you use our Services. Third-party providers and advertisers featured on, or linked to or from, our Services may also gather information through processes that we don't control and subject to their own separate privacy policies, which may differ from ours. Some of our Services also may participate in third-party advertising networks that collect information about your activity online to tailor some of the advertising that you see on sites in their networks to your interests.  ","Other","First Party Collection/Use"
"16"," Information Collected Through Our Services:    The information we gather through our Services falls into two categories: (1) information you voluntarily supply to us when you register, initiate transactions, participate in promotions or surveys, submit comments or questions or otherwise communicate with us or others through the Services, and (2) information collected automatically as you use our Services. Third-party providers and advertisers featured on, or linked to or from, our Services may also gather information through processes that we don't control and subject to their own separate privacy policies, which may differ from ours. Some of our Services also may participate in third-party advertising networks that collect information about your activity online to tailor some of the advertising that you see on sites in their networks to your interests.  ","Collect on website","First Party Collection/Use"
"16"," Information Collected Through Our Services:    The information we gather through our Services falls into two categories: (1) information you voluntarily supply to us when you register, initiate transactions, participate in promotions or surveys, submit comments or questions or otherwise communicate with us or others through the Services, and (2) information collected automatically as you use our Services. Third-party providers and advertisers featured on, or linked to or from, our Services may also gather information through processes that we don't control and subject to their own separate privacy policies, which may differ from ours. Some of our Services also may participate in third-party advertising networks that collect information about your activity online to tailor some of the advertising that you see on sites in their networks to your interests.  ","Receive from other service/third-party (unnamed)","First Party Collection/Use"
"17"," Registration and Other Personally Identifying Information.    You may register to use certain features of our Services. When you register, we may collect personally identifying information, including your name, postal address, email address, user name and password, reminder questions and answers and communications preferences, such as which newsletters you would like to receive. We may also ask for information about your age, gender, hobbies, interests, preferences (such as your favorite foods, purchases or recipes) and the like, but you're free to register for most of our Services without providing this additional information. When you register for one of our Services, the information you provide may be added to a centralized Meredith database so that you may be simultaneously registered for our other Services as well. In addition, when you use various aspects of our Services, we may ask you for personally identifying information, including when you order products, complete a survey, enter a contest, or report a problem with our Services. We may also collect contact information for other individuals when you use the sharing and referral tools available within some of our Services to forward content or offers to your friends and associates. We use this information to facilitate the communications that you request. Please note that if you use any ""send-to-a-friend"" features of our Services, your email address may be included in the communication sent to your friend.  ","Collect on website","First Party Collection/Use"
"18"," Contests and Other Promotions.    From time to time, we may offer contests, sweepstakes or other promotions. Participation in these promotions may require registration for our Services (see ""Registration and Other Personally Identifying Information,"" above). We may also automatically enter our users in some promotions. If you choose to participate in promotions that require registration, we will collect contact information such as your name, address, and email address and we may share this information with co-sponsors or other third parties involved in the promotion that we identify in the rules or entry materials. We don't control these third parties' privacy practices, and our Privacy Policy does not apply to their collection and use of your information. We may also share some of your entry information with third parties or the public in connection with the administration of the promotion, such as winner selection and prize fulfillment, and as permitted by the promotion's official rules, such as on a winners' list.  ","Collect on website","First Party Collection/Use"
"20","  Web pages, content and advertisements you view and links you click on while navigating within our Services;  ","Collect on website","First Party Collection/Use"
"21","  Information about your interactions with our video or audio content, such as the type of content accessed via our Services;  ","Collect on website","First Party Collection/Use"
"22","  Information about your interactions with our email messages, such as the links you click on and whether you open or forward a message, the date and time of these interactions and the device you use to read emails;  ","Other","First Party Collection/Use"
"23","  The site you visited before visiting a Meredith website and the site you visited after visiting a Meredith website;  ","Track user on other websites","First Party Collection/Use"
"24","  Your Internet Protocol (IP) address (a numerical address assigned to your computer by your Internet service provider so that other computers connected to the Internet can communicate with you online) that can sometimes be used to derive your general geographic area;  ","Collect on website","First Party Collection/Use"
"25","  Search terms you enter using our Services or on a referral site;  ","Collect on website","First Party Collection/Use"
"25","  Search terms you enter using our Services or on a referral site;  ","Track user on other websites","First Party Collection/Use"
