"4"," How We Use and Share Your Personal Information    If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information or as permissible under applicable law. We will not sell, lease, publish or share your personal information with or to anyone else, except as set forth in this Privacy Policy. We may use and share your personal information as described in Section 1 above and we may:  ","Receive/Shared with","Third Party Sharing/Collection"
"7","  Share your information with certain third parties, including service providers, sponsors and promotional partners, so they may help us provide services, offers, promotions or content youve requested or otherwise in accordance with the applicable rules of a promotion or terms presented at the time you submit personal information, so the third party can administer the promotion, send you offers or content or add you to their postal mailing list;  ","Receive/Shared with","Third Party Sharing/Collection"
"8","  Use and share your information with one or more MLB Clubs or entities, to the extent that you've submitted information or accessed functionality or content that relates specifically to such Club(s) or entities (e.g., you've asked to receive the newsletter of a Club or you've purchased Club-specific merchandise), so they may learn more about fans like you, add you to the Club's postal mail list and provide better services to you;  ","Receive/Shared with","Third Party Sharing/Collection"
"9","  Share your information upon notice posted on an applicable location of our Services where we collect your personal information for an economic transaction and notify you that we will be sharing such information with a third party;  ","Receive/Shared with","Third Party Sharing/Collection"
"9","  Share your information upon notice posted on an applicable location of our Services where we collect your personal information for an economic transaction and notify you that we will be sharing such information with a third party;  ","Receive/Shared with","Third Party Sharing/Collection"
"10","  Use and share your information with our third-party survey partners to send you periodic surveys to help improve our Services or your MLB experience;  ","Receive/Shared with","Third Party Sharing/Collection"
"11","  Use and share your information in connection with online loyalty, membership or rewards programs operated from our Services or with a third party from which you may receive goods or services in connection with such a program; or  ","Receive/Shared with","Third Party Sharing/Collection"
"12","  Use and share your information with permission from you.  ","Receive/Shared with","Third Party Sharing/Collection"
"12","  Use and share your information with permission from you.  ","Receive/Shared with","Third Party Sharing/Collection"
"13"," Additional Information About Collection of Location Data    Location Data We Collect. When you use our Service we may solicit your permission to collect your location data. Please be advised, for some features within our Applications to function (e.g. live MLB game video) we must confirm your current location and therefore some features will not be available if you choose not to provide your location data to us. The specificity of the location data collected may depend on a number of factors, including the device you are using (e.g. laptop, smartphone, tablet) and how you are connected to the internet (e.g. via cable broadband connection, WiFi, etc.). If you enable location services for our Applications, we may collect location data (e.g. zip code) periodically as you use or leave open our Applications. We may also use this data internally or in conjunction with our third party service providers to customize your experience and provide offers that may be relevant to you. Depending on the platform you use to access our Applications (e.g., Apples iOS, Googles Android, Windows, etc.) you may be able to control from within the settings on your wireless device or the Application(s) whether location data is collected.  ","Receive/Shared with","Third Party Sharing/Collection"
"15"," Other Information Collected And Shared Within Our Services.     Our Cookies and Web Beacons    We use and permit automatic methods such as cookies (small amounts of data which include a unique string of characters sent to your browser or application from a website's computers and stored on your computer's or device's hard drive), web beacons (technology used to track activity, also known as pixel tags) or similar technologies, alone or in combination with personally identifiable information you choose to provide us. Examples of the information we collect and analyze using such methods include, but is not limited to: personal information as authorized by you, the Internet protocol address used to connect your computer or device to the Internet; email address; login name and password; operating system type, version and computer or device platform; purchase history; the full Uniform Resource Locator clickstream to, on and from our Services, including date and time; and products you viewed or searched. We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page. We use and may allow certain third parties, such as those who provide services associated with our Services, to access these automatic data collection methods to enable you to use a ""shopping cart"" while using our Services, to store your preferences and to improve, deliver and customize our Services' content and offerings.  ","Track on first party website/app","Third Party Sharing/Collection"
