"6","Online Surveys and Contests. From time to time, we may conduct online surveys to help us better understand and serve the needs of our customers. Our online surveys may ask visitors for contact information (like their e-mail address) and demographic information (like their zip code, age, or income level). With your permission, we may use contact data from our surveys to send the user information about our company. The customer's contact information is also used to contact the visitor when necessary. Users may always opt-out of receiving future e-mails.  ","Receive/Shared with","Third Party Sharing/Collection"
"8","Use of Your Personal and Non-Personal Information. Except as disclosed in this policy, we do not sell or disclose information that identifies our guests personally or makes it possible for other parties to contact them directly without our guests' consent. We may use, sell, disclose, or otherwise dispose of Personal Information we collect in the following circumstances:  ","Receive/Shared with","Third Party Sharing/Collection"
"8","Use of Your Personal and Non-Personal Information. Except as disclosed in this policy, we do not sell or disclose information that identifies our guests personally or makes it possible for other parties to contact them directly without our guests' consent. We may use, sell, disclose, or otherwise dispose of Personal Information we collect in the following circumstances:  ","Receive/Shared with","Third Party Sharing/Collection"
"8","Use of Your Personal and Non-Personal Information. Except as disclosed in this policy, we do not sell or disclose information that identifies our guests personally or makes it possible for other parties to contact them directly without our guests' consent. We may use, sell, disclose, or otherwise dispose of Personal Information we collect in the following circumstances:  ","Receive/Shared with","Third Party Sharing/Collection"
"9","Legal Requirements. We may disclose personal information to conform with the law, respond to claims, enforce our policies, protect and defend our copyrights, trademarks, employees, and/or the unlawful use of our website.  ","Receive/Shared with","Third Party Sharing/Collection"
"10","Other Emergencies. We may disclose personal information if we believe that an emergency involving danger of death or serious injury to any person requires disclosure of communications or justifies immediate disclosure of records.  ","Receive/Shared with","Third Party Sharing/Collection"
"11","Company Sale. Information collected through our website is considered proprietary information and a trade secret of the Coffee Review and the Coffee Review Marketplace. As the owner of this information, we may disclose or sell such information as an asset of the company in conjunction with the sale of the company or a substantial portion of our assets to a third party.  ","Receive/Shared with","Third Party Sharing/Collection"
"13","We may use third-party software that tracks traffic directed to CoffeeReview.com from affiliate Web sites and the purchases that result from this traffic. This information is aggregated and is not tied to an individual purchase.  ","Track on first party website/app","Third Party Sharing/Collection"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Receive/Shared with","Third Party Sharing/Collection"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Receive/Shared with","Third Party Sharing/Collection"
