"5"," The Information We Collect and How We Use It    You may browse Food Allergy Research & Education websites without submitting personal information. However, if you choose to sign up for one of our e-mail lists; become a member; purchase products; or participate in an event, contest, or program, you will be asked for applicable personal data such as your name, gender, postal address, e-mail address, phone number, fax number, payment information, relationship to food allergies, and date of birth. The purpose of collecting such data is to assist FARE in contacting individuals and to collect payments made online. Food Allergy Research & Education also uses this personal information to advise users of new online materials, activities, and events, and to provide users with the opportunity to contribute to local and national programs and research initiatives.  ","Collection","First Party Collection/Use"
"6","Food Allergy Research & Education also collects personal information offline from volunteers, donors, and event participants. Such information may include name, address, telephone number, e-mail address, age, and information regarding the donation. The information is collected through offline registration forms, telemarketing appeals, and postal appeals. Food Allergy Research & Education uses this personal information to inform volunteers and donors of new materials, and activities and events that offer the opportunity to contribute to local and national programs and research initiatives.  ","Collection","First Party Collection/Use"
"7"," Personal Health-Related Information    Personal information included in specific questions submitted to Food Allergy Research & Education is used solely as internal market research to help us better serve you. All other information entered on this site is used for aggregate demographic analysis only and no personally identifiable information is included in these analyses. Records are used to create aggregate reports for internal use only and are purged after one calendar year from the date of entry.  ","Collection","First Party Collection/Use"
"7"," Personal Health-Related Information    Personal information included in specific questions submitted to Food Allergy Research & Education is used solely as internal market research to help us better serve you. All other information entered on this site is used for aggregate demographic analysis only and no personally identifiable information is included in these analyses. Records are used to create aggregate reports for internal use only and are purged after one calendar year from the date of entry.  ","Collection","First Party Collection/Use"
"8"," Payment Information    Payment information, such as credit card number and expiration date, is entered upon completion of a sale or registration that requires a fee. Food Allergy Research & Education uses Global Payments and Verisign as third-party intermediaries to process your online donations and payments. Your credit card information is encrypted when submitted to the processor and transmitted over a secure connection between your computer and our server using Secure Socket Layers (SSL), the industry standard, to ensure protection of your private information. This sensitive personal information is not shared with third parties other than the processor and is stored by Food Allergy Research & Education for verification purposes or for recurring donations that you have authorized.  ","Collection","Third Party Sharing/Collection"
"13"," Sharing Your Information with Third Parties    Food Allergy Research & Education never shares your e-mail addresses with third parties without your consent. Personal information collected from our donation pages is never shared with third parties.  ","Collection","Third Party Sharing/Collection"
"17"," Opting-Out of Future Food Allergy Research & Education Communications    You may opt out of Food Allergy Research & Education communications at any time by contacting contactfare@foodallergy.org.  ","First party use","User Choice/Control"
"18","Food Allergy Research & Education reserves the right to acknowledge your donation. If you have subscribed to any newsletter or publication published by Food Allergy Research & Education, you may unsubscribe by following the instructions in the e-mail to which you subscribed. You may also remove yourself from Food Allergy Research & Education e-mail list by contacting us via e-mail at: contactfare@foodallergy.org.  ","First party use","User Choice/Control"
"18","Food Allergy Research & Education reserves the right to acknowledge your donation. If you have subscribed to any newsletter or publication published by Food Allergy Research & Education, you may unsubscribe by following the instructions in the e-mail to which you subscribed. You may also remove yourself from Food Allergy Research & Education e-mail list by contacting us via e-mail at: contactfare@foodallergy.org.  ","First party use","User Choice/Control"
"19","Please send us your name, phone number, and e-mail and postal addresses and which communications you would like to opt-out of from Food Allergy Research & Education. Your e-mail address is never shared with third parties without your express consent.  ","Collection","Third Party Sharing/Collection"
"19","Please send us your name, phone number, and e-mail and postal addresses and which communications you would like to opt-out of from Food Allergy Research & Education. Your e-mail address is never shared with third parties without your express consent.  ","First party use","User Choice/Control"
"25","If you prefer not to receive e-mail communications or postal mail or telephone calls from Food Allergy Research & Education, please notify us by emailing contactfare@foodallergy.org or calling 800-929-4040.","First party use","User Choice/Control"
