"1","This Privacy Policy applies to personal and other information that may be collected when you interact with the Barnes & Noble enterprise, which consists of (a) Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, ""Barnes & Noble""); (b) businesses and operations managed or operated by Barnes & Noble; (c) websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, ""Barnes & Noble Websites""); and (d) Barnes & Noble and NOOK devices (""Devices""), content, software and mobile applications (""Apps"").  ","Collection","First Party Collection/Use"
"4","By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.  ","First party collection","User Choice/Control"
"4","By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.  ","First party use","User Choice/Control"
"4","By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.  ","Third party sharing/collection","User Choice/Control"
"14"," 3. How do we collect your personal information?     (a) Information that you provide to us    As a general matter, you can browse in our stores and on the Barnes & Noble Websites without submitting your personal information to us, although we may receive and collect certain personal information automatically, as outlined in Section 3(b) of this Privacy Policy, including site analytics regarding our websites, information your Internet browser automatically sends when you visit our websites, and information collected by cookies.  ","First party collection","User Choice/Control"
"39","To learn more about the privacy practices of Google, you may review its privacy policy located here. To disable the Google Analytics cookie and other third party web analytics service provider cookies, you can choose to have your browser notify you when cookies are being written to your computer or accessed, or you can disable cookies entirely.  ","Third party sharing/collection","User Choice/Control"
"66","Certain Digital Content providers We may need to forward your name, email address, IP address, and shipping or billing address to certain content providers in connection with your order. The content providers may share this information with the applicable publisher and circulation auditors, and may use this information to fulfill your order and for other purposes. In these cases, the terms of the privacy policy of the publishers whose content you have purchased or downloaded will apply to you. If you do not wish to receive marketing communications from these publishers, you must contact the publisher directly.  ","Third party use","User Choice/Control"
"69"," 7. How do we respect your choices about your personal information?    You may choose to opt out from receiving marketing and promotional communications from Barnes & Noble at any time by following the instructions below.   For Barnes & Noble Booksellers : At any time, a customer may choose to opt-out of the receipt of any promotional communications by clicking on the opt-out link provided at the bottom of each email and following the instructions, or by emailing our Customer Service Department by clicking here.  ","First party use","User Choice/Control"
"70","For Barnes & Noble College Booksellers : At any time, a customer may choose to opt out of the receipt of any promotional communications by clicking on the opt out link provided at the bottom of each email and following the instructions.  ","First party use","User Choice/Control"
"72","For Barnes & Noble Member program : Any Member can opt out of the receipt of any Member program promotional communications by logging on to their barnesandnoble.com Account and following the instructions under ""Change Your Communication Preferences."" If you do not have a barnesandnoble.com account, you may opt-out of the receipt of such communications by selecting the link at the bottom of any promotional email communication and following the instructions.  ","First party use","User Choice/Control"
"73","For Barnes & Noble Educator program : Any Educator can opt out of the receipt of any promotional communications by logging on to their barnesandnoble.com Account, clicking ""Communication Preferences,"" and following instructions under ""Change Communication Preferences."" If you do not have a barnesandnoble.com account, you may opt out of the receipt of such communications by clicking on the opt-out link provided at the bottom of each email and following the instructions. If no opt out link exists reply to the email with the word ""Remove"" in the subject line, or by e-mailing our Customer Service Department by clicking here.  ","First party use","User Choice/Control"
"74","For the Barnes & Noble Gift Card website : Any customer of the Barnes & Noble Gift Card website who receives promotional communications can opt-out of the receipt of any such communications by clicking on the opt-out link provided at the bottom of each email and following the instructions or by sending an e-mail to giftcardprefs@bn.com.  ","First party use","User Choice/Control"
"75","For SparkNotes.com : Any SparkNotes.com customer who does not wish to receive promotional product and service communications can choose to remove their contact information from SparkNotes.com contact list by following the instructions listed on www.sparknotes.com.  ","Third party use","User Choice/Control"
"76","For Sterling Publishing : If, at any time, you wish to no longer receive ENewsletters from Sterling Publishing Co., Inc., Lark Crafts, and/or FlashKids.com, please click on the link for opt out instructions contained at the bottom of each ENewsletter. You can change your personal information and your communication preferences when you follow this link.  ","Third party use","User Choice/Control"
"78","For NOOK Press collaborator emails : You may choose to opt out of receiving NOOK Press collaborator emails by contacting NOOK Press Customer Service at nookpress@nook.com.  ","Third party use","User Choice/Control"
