"4"," PERMISSIONS DESCRIBED IN THIS NOTICE  This notice will explain the different types of permission we will obtain from you before we use or disclose your health information for a variety of purposes. The three types of permissions referred to in this notice are:   A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.     An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.     A ""written authorization,"" which will provide you with detailed information about the persons who may receive your health information and the specific purposes for which your health information may be used or disclosed. Kaleida Health is only permitted to use and disclose your health information described on the written authorization in ways that are explained on the written authorization form you have signed. A written authorization will have an expiration date or will expire upon the occurrence of a particular event.  ","Use","First Party Collection/Use"
"4"," PERMISSIONS DESCRIBED IN THIS NOTICE  This notice will explain the different types of permission we will obtain from you before we use or disclose your health information for a variety of purposes. The three types of permissions referred to in this notice are:   A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.     An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.     A ""written authorization,"" which will provide you with detailed information about the persons who may receive your health information and the specific purposes for which your health information may be used or disclosed. Kaleida Health is only permitted to use and disclose your health information described on the written authorization in ways that are explained on the written authorization form you have signed. A written authorization will have an expiration date or will expire upon the occurrence of a particular event.  ","First party use","User Choice/Control"
"4"," PERMISSIONS DESCRIBED IN THIS NOTICE  This notice will explain the different types of permission we will obtain from you before we use or disclose your health information for a variety of purposes. The three types of permissions referred to in this notice are:   A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.     An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.     A ""written authorization,"" which will provide you with detailed information about the persons who may receive your health information and the specific purposes for which your health information may be used or disclosed. Kaleida Health is only permitted to use and disclose your health information described on the written authorization in ways that are explained on the written authorization form you have signed. A written authorization will have an expiration date or will expire upon the occurrence of a particular event.  ","First party use","User Choice/Control"
"4"," PERMISSIONS DESCRIBED IN THIS NOTICE  This notice will explain the different types of permission we will obtain from you before we use or disclose your health information for a variety of purposes. The three types of permissions referred to in this notice are:   A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.     An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.     A ""written authorization,"" which will provide you with detailed information about the persons who may receive your health information and the specific purposes for which your health information may be used or disclosed. Kaleida Health is only permitted to use and disclose your health information described on the written authorization in ways that are explained on the written authorization form you have signed. A written authorization will have an expiration date or will expire upon the occurrence of a particular event.  ","Third party sharing/collection","User Choice/Control"
"4"," PERMISSIONS DESCRIBED IN THIS NOTICE  This notice will explain the different types of permission we will obtain from you before we use or disclose your health information for a variety of purposes. The three types of permissions referred to in this notice are:   A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.     An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.     A ""written authorization,"" which will provide you with detailed information about the persons who may receive your health information and the specific purposes for which your health information may be used or disclosed. Kaleida Health is only permitted to use and disclose your health information described on the written authorization in ways that are explained on the written authorization form you have signed. A written authorization will have an expiration date or will expire upon the occurrence of a particular event.  ","Third party sharing/collection","User Choice/Control"
"5"," IMPORTANT SUMMARY INFORMATION  Requirement For Written Authorization. Kaleida Health will generally obtain your written authorization before using your health information or sharing it with others outside the hospital. You may also initiate the transfer of your records to another person by completing a written authorization form. If you provide us with written authorization, you may revoke that written authorization at any time, except to the extent that we have already relied upon it. To revoke a written authorization, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, NY 14210 to revoke such authorization.  ","First party use","User Choice/Control"
"5"," IMPORTANT SUMMARY INFORMATION  Requirement For Written Authorization. Kaleida Health will generally obtain your written authorization before using your health information or sharing it with others outside the hospital. You may also initiate the transfer of your records to another person by completing a written authorization form. If you provide us with written authorization, you may revoke that written authorization at any time, except to the extent that we have already relied upon it. To revoke a written authorization, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, NY 14210 to revoke such authorization.  ","Third party sharing/collection","User Choice/Control"
"7","  Exception For Patient Directory And Disclosure To Family And Friends Involved In Your Care. If you are an inpatient, Kaleida Health will ask you whether you have any objection to including information about you in our Patient Directory or sharing information about your health with your friends and family involved in your care. For more information, see page 3 of this notice. Kaleida Health's policy is to not disclose protected health information about Behavioral Health patients except as permitted or required by law.  ","First party use","User Choice/Control"
"7","  Exception For Patient Directory And Disclosure To Family And Friends Involved In Your Care. If you are an inpatient, Kaleida Health will ask you whether you have any objection to including information about you in our Patient Directory or sharing information about your health with your friends and family involved in your care. For more information, see page 3 of this notice. Kaleida Health's policy is to not disclose protected health information about Behavioral Health patients except as permitted or required by law.  ","First party use","User Choice/Control"
"7","  Exception For Patient Directory And Disclosure To Family And Friends Involved In Your Care. If you are an inpatient, Kaleida Health will ask you whether you have any objection to including information about you in our Patient Directory or sharing information about your health with your friends and family involved in your care. For more information, see page 3 of this notice. Kaleida Health's policy is to not disclose protected health information about Behavioral Health patients except as permitted or required by law.  ","Third party sharing/collection","User Choice/Control"
"10","Other uses and disclosures of your health information not described in this Notice will be made only with your written authorization. For example, we will not sell your health information or market a party's services or products to you if we are paid by that party to do so, without your written authorization.  ","First party use","User Choice/Control"
"10","Other uses and disclosures of your health information not described in this Notice will be made only with your written authorization. For example, we will not sell your health information or market a party's services or products to you if we are paid by that party to do so, without your written authorization.  ","Third party sharing/collection","User Choice/Control"
"17"," HOW WE MAY USE AND DISCLOSE YOUR HEALTH INFORMATION     1. Treatment, Payment And Business Operations    With your general written consent Kaleida Health may use your health information or share it with others in order to treat your condition, obtain payment for that treatment, and run our business operations. In some cases, Kaleida Health may also disclose your health information for payment activities and certain business operations of another health care provider or payor. Below are further examples of how your information may be used and disclosed for these purposes.  ","Use","Third Party Sharing/Collection"
"22","Fundraising. To support our business operations, Kaleida Health may use demographic information about you, including information about your age and gender, where you live or work, and the dates that you received treatment, in order to contact you to raise money to help us operate. Kaleida Health may also share this information with a Kaleida Health charitable foundation that will contact you to raise money on our behalf. You may opt out of receiving such fundraising communications at any time.  ","First party use","User Choice/Control"
"24","Kaleida Health can do all of these things if you have signed a general written consent form. Once you sign this general written consent form, it will be in effect indefinitely unless you revoke your general written consent. You may revoke your general written consent at any time, except to the extent that we have already relied upon it. For example, if we provide you with treatment before you revoke your general written consent, we may still share your health information with your insurance company in order to obtain payment for that treatment. To revoke your general written consent, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, New York 14210.  ","First party collection","User Choice/Control"
"24","Kaleida Health can do all of these things if you have signed a general written consent form. Once you sign this general written consent form, it will be in effect indefinitely unless you revoke your general written consent. You may revoke your general written consent at any time, except to the extent that we have already relied upon it. For example, if we provide you with treatment before you revoke your general written consent, we may still share your health information with your insurance company in order to obtain payment for that treatment. To revoke your general written consent, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, New York 14210.  ","First party use","User Choice/Control"
"24","Kaleida Health can do all of these things if you have signed a general written consent form. Once you sign this general written consent form, it will be in effect indefinitely unless you revoke your general written consent. You may revoke your general written consent at any time, except to the extent that we have already relied upon it. For example, if we provide you with treatment before you revoke your general written consent, we may still share your health information with your insurance company in order to obtain payment for that treatment. To revoke your general written consent, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, New York 14210.  ","Third party sharing/collection","User Choice/Control"
"25"," 2. Patient Directory/Family and Friends    Kaleida Health may use your health information in, and disclose it from, our Patient Directory where applicable, or share it with family and friends involved in your care, without your written authorization. Kaleida Health will always give you an opportunity to object unless there is insufficient time because of a medical emergency (in which case we will discuss your preferences with you as soon as the emergency is over). Kaleida Health will follow your wishes unless we are required by law to do otherwise.  ","Use","First Party Collection/Use"
"25"," 2. Patient Directory/Family and Friends    Kaleida Health may use your health information in, and disclose it from, our Patient Directory where applicable, or share it with family and friends involved in your care, without your written authorization. Kaleida Health will always give you an opportunity to object unless there is insufficient time because of a medical emergency (in which case we will discuss your preferences with you as soon as the emergency is over). Kaleida Health will follow your wishes unless we are required by law to do otherwise.  ","Use","Third Party Sharing/Collection"
"26","Patient Directory. If you do not object, Kaleida Health will include your name, your location in our facility, your general condition (e.g., fair, stable, critical, etc.) and your religious affiliation in our Patient Directory while you are a patient in the hospital or one of the facilities listed at the beginning of this notice. This directory information, except for your religious affiliation, may be released to people who ask for you by name. Your religious affiliation may be given to a member of the clergy, such as a priest or rabbi, even if he or she doesn't ask for you by name. Kaleida Health's policy is to not disclose protected health information about Behavioral Health patients except as permitted or required by law.  ","Use","First Party Collection/Use"
