"2","Amazon.com knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.     What Personal Information About Customers Does Amazon.com Gather?     What About Cookies?     Does Amazon.com Share the Information It Receives?     How Secure Is Information About Me?     What About Third-Party Advertisers and Links to Other Websites?     Which Information Can I Access?     What Choices Do I Have?     Are Children Allowed to Use Amazon.com?     Does Amazon.com Participate in the Safe Harbor Program?     Conditions of Use, Notices, and Revisions     Examples of Information Collected  ","Dont use service/feature","First Party Collection/Use"
"2","Amazon.com knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.     What Personal Information About Customers Does Amazon.com Gather?     What About Cookies?     Does Amazon.com Share the Information It Receives?     How Secure Is Information About Me?     What About Third-Party Advertisers and Links to Other Websites?     Which Information Can I Access?     What Choices Do I Have?     Are Children Allowed to Use Amazon.com?     Does Amazon.com Participate in the Safe Harbor Program?     Conditions of Use, Notices, and Revisions     Examples of Information Collected  ","Dont use service/feature","User Choice/Control"
"4","  Information You Give Us: We receive and store any information you enter on our Web site or give us in any other way. Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features. We use the information that you provide for such purposes as responding to your requests, customizing future shopping for you, improving our stores, and communicating with you.  ","Dont use service/feature","First Party Collection/Use"
"4","  Information You Give Us: We receive and store any information you enter on our Web site or give us in any other way. Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features. We use the information that you provide for such purposes as responding to your requests, customizing future shopping for you, improving our stores, and communicating with you.  ","Dont use service/feature","First Party Collection/Use"
"4","  Information You Give Us: We receive and store any information you enter on our Web site or give us in any other way. Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features. We use the information that you provide for such purposes as responding to your requests, customizing future shopping for you, improving our stores, and communicating with you.  ","Other","User Choice/Control"
"6","  Mobile: When you download or use apps created by Amazon or our subsidiaries, we may receive information about your location and your mobile device, including a unique identifier for your device. We may use this information to provide you with location-based services, such as advertising, search results, and other personalized content. Most mobile devices allow you to turn off location services. For more information about how to do this,click here.  ","Browser/device privacy controls","First Party Collection/Use"
"6","  Mobile: When you download or use apps created by Amazon or our subsidiaries, we may receive information about your location and your mobile device, including a unique identifier for your device. We may use this information to provide you with location-based services, such as advertising, search results, and other personalized content. Most mobile devices allow you to turn off location services. For more information about how to do this,click here.  ","Browser/device privacy controls","First Party Collection/Use"
"6","  Mobile: When you download or use apps created by Amazon or our subsidiaries, we may receive information about your location and your mobile device, including a unique identifier for your device. We may use this information to provide you with location-based services, such as advertising, search results, and other personalized content. Most mobile devices allow you to turn off location services. For more information about how to do this,click here.  ","Browser/device privacy controls","Third Party Sharing/Collection"
"6","  Mobile: When you download or use apps created by Amazon or our subsidiaries, we may receive information about your location and your mobile device, including a unique identifier for your device. We may use this information to provide you with location-based services, such as advertising, search results, and other personalized content. Most mobile devices allow you to turn off location services. For more information about how to do this,click here.  ","Browser/device privacy controls","User Choice/Control"
"7","  E-mail Communications: To help us make e-mails more useful and interesting, we often receive a confirmation when you open e-mail from Amazon.com if your computer supports such capabilities. We also compare our customer list to lists received from other companies, in an effort to avoid sending unnecessary messages to our customers. If you do not want to receive e-mail or other mail from us, please adjust your Customer Communication Preferences.  ","Dont use service/feature","First Party Collection/Use"
