"9"," Other Information We Collect.    We also may collect other information about you, your device, or your use of the services in ways that we describe to you at the point of collection or otherwise with your consent. You may choose not to provide us with certain types of information, but doing so may affect your ability to use some of the Services.  ","Dont use service/feature","First Party Collection/Use"
"9"," Other Information We Collect.    We also may collect other information about you, your device, or your use of the services in ways that we describe to you at the point of collection or otherwise with your consent. You may choose not to provide us with certain types of information, but doing so may affect your ability to use some of the Services.  ","Opt-in","First Party Collection/Use"
"9"," Other Information We Collect.    We also may collect other information about you, your device, or your use of the services in ways that we describe to you at the point of collection or otherwise with your consent. You may choose not to provide us with certain types of information, but doing so may affect your ability to use some of the Services.  ","Opt-in","First Party Collection/Use"
"9"," Other Information We Collect.    We also may collect other information about you, your device, or your use of the services in ways that we describe to you at the point of collection or otherwise with your consent. You may choose not to provide us with certain types of information, but doing so may affect your ability to use some of the Services.  ","Opt-in","User Choice/Control"
"11"," To Contact You.    We may periodically contact you with offers and information about the Services and our affiliates, including in connection with your accounts, online surveys, legal notices, news stories, and other important information. You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.  ","Opt-out link","First Party Collection/Use"
"15"," Consent.    We may otherwise use your information with your consent or at your direction.  ","Opt-in","First Party Collection/Use"
"18"," Business Partners.    We may also share your information with business partners to provide you with services that you request. For example, if you sign up for a promotion that runs on our Services but that is sponsored or co-sponsored by another company, your information may be shared with that sponsor. The Washington Post is not responsible for the privacy practices of these entities.  ","Opt-in","Third Party Sharing/Collection"
"19"," Service Providers.    We may share information with vendors providing contractual services to us, such as hosting vendors, advertising service providers, and list managers. We also may share your information, including your payment information, as appropriate to process your payments for the Services or complete a transaction.  ","Dont use service/feature","Third Party Sharing/Collection"
"21"," Logging In Through Social Media Services.    If you log into the Services with a social media service or if you connect a social media account with the Services, we may share your information with that social media service. The social media services use of the shared information will be governed by the social media services privacy policy and your social media account settings. If you do not want your information shared in this way, do not connect your social media service account with your Services.  ","Dont use service/feature","Third Party Sharing/Collection"
"21"," Logging In Through Social Media Services.    If you log into the Services with a social media service or if you connect a social media account with the Services, we may share your information with that social media service. The social media services use of the shared information will be governed by the social media services privacy policy and your social media account settings. If you do not want your information shared in this way, do not connect your social media service account with your Services.  ","Dont use service/feature","User Choice/Control"
"24"," Otherwise With Your Consent or At Your Direction.    In addition to the sharing described in this Privacy Policy, we may share information about you with third parties whenever you consent to or direct such sharing.  ","Opt-in","Third Party Sharing/Collection"
"28"," Email Promotions    You may opt out of receiving commercial email messages from us by following the instructions contained in those email messages.  ","Opt-out link","First Party Collection/Use"
"29"," Targeted Advertising.    You may choose whether to receive some forms of targeted advertising from many ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance . Please see Online Tracking and Advertising and visit our Ad Choices pages for further information about how to disable cookies and other choices that may be available to you with respect to certain types of targeted advertising.  ","Third-party privacy controls","User Choice/Control"
"34"," International Transfers.    The Services are headquartered in the United States. Please be aware that if information you provide to us or that we obtain as a result of your use of the Services may be collected in your country and subsequently transferred to the United States or to another country in accordance with applicable law. By using the Services, you consent to the collection, international transfer, storage, and processing of your information  ","Dont use service/feature","First Party Collection/Use"
"38","Most browsers accept cookies automatically, but can be configured not to do so or to notify the user when a cookie is being sent. If you wish to disable cookies, refer to your browser help menu to learn how to disable cookies. If you disable browser cookies or flash cookies, it may interfere with the proper functioning of the Services.  ","Browser/device privacy controls","First Party Collection/Use"
"38","Most browsers accept cookies automatically, but can be configured not to do so or to notify the user when a cookie is being sent. If you wish to disable cookies, refer to your browser help menu to learn how to disable cookies. If you disable browser cookies or flash cookies, it may interfere with the proper functioning of the Services.  ","Browser/device privacy controls","User Choice/Control"
"40"," Local Storage & Other Tracking Technologies.    We, along with third parties, may use other kinds of technologies, such as Local Shared Objects (also referred to as Flash cookies) and HTML5 local storage, in connection with our Services. These technologies are similar to the cookies discussed above in that they are stored on your device and can be used to store certain information about your activities and preferences. However, these technologies may make use of different parts of your device from standard cookies, and so you might not be able to control them using standard browser tools and settings. For HTML5 local storage, the method for disabling HTML5 will vary depending on your browser. For Flash cookies, information about disabling or deleting information contained in Flash cookies can be found here.  ","Opt-out link","First Party Collection/Use"
"40"," Local Storage & Other Tracking Technologies.    We, along with third parties, may use other kinds of technologies, such as Local Shared Objects (also referred to as Flash cookies) and HTML5 local storage, in connection with our Services. These technologies are similar to the cookies discussed above in that they are stored on your device and can be used to store certain information about your activities and preferences. However, these technologies may make use of different parts of your device from standard cookies, and so you might not be able to control them using standard browser tools and settings. For HTML5 local storage, the method for disabling HTML5 will vary depending on your browser. For Flash cookies, information about disabling or deleting information contained in Flash cookies can be found here.  ","Browser/device privacy controls","First Party Collection/Use"
"40"," Local Storage & Other Tracking Technologies.    We, along with third parties, may use other kinds of technologies, such as Local Shared Objects (also referred to as Flash cookies) and HTML5 local storage, in connection with our Services. These technologies are similar to the cookies discussed above in that they are stored on your device and can be used to store certain information about your activities and preferences. However, these technologies may make use of different parts of your device from standard cookies, and so you might not be able to control them using standard browser tools and settings. For HTML5 local storage, the method for disabling HTML5 will vary depending on your browser. For Flash cookies, information about disabling or deleting information contained in Flash cookies can be found here.  ","Browser/device privacy controls","Third Party Sharing/Collection"
