"6","Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you. For example, when you place an item on layaway or place an order online, we collect personal information, such as name, address, phone number, and credit or debit card information.  ","Dont use service/feature","First Party Collection/Use"
"10"," What Type of Information Do We Collect?    We collect two types of information: (1) information we receive from you and (2) information we receive from others. Information we receive from you includes information you share with us, such as when you create an account on one of our websites. This also includes information you provide us through technology, such as through a cookie placed on your computer when you visit our websites. We also receive information from other sources to help us supplement our records, improve the personalization of our service to you, and detect fraud. Our goal is to limit the information we collect to the information needed to support our business.  ","Dont use service/feature","First Party Collection/Use"
"11","We collect information to deliver the products and services you request and to help improve your shopping experience. Our goal is to limit the information we collect to the information needed to support our business. We collect information from you in a variety of ways when you interact with our stores, websites, and mobile services. We collect information in two ways: information we receive from you and information we receive from others.  ","Dont use service/feature","First Party Collection/Use"
"12"," Information We Receive From You    You share information with us in various ways in our stores and online. For example, you share information when you:     Make an in-store or online purchase, or other transaction, with us;     Create an account on one of our websites or mobile services;     Use a gift registry or create a mobile shopping list;     Participate in our programs, such as Savings Catcher or eReceipts;     Conduct a transaction or request a service where we collect information (including when required by law, such as hunting and fishing licenses);     Request customer service or contact us;     Post a review or comment on one of our social media pages, or post a rating, review or other user-generated content on one of our websites or mobile services; and     Participate in a contest, sweepstake, promotion, or survey.  ","Dont use service/feature","First Party Collection/Use"
"13","When you engage in these activities, you may share different types of personal information with us, such as your name, email address, physical or postal address, phone number, date of birth, and payment information.  ","Dont use service/feature","First Party Collection/Use"
"17"," Location Information:  We may collect information about your location when your device is set to provide location information. For example, your device's GPS signal allows us to show you the nearest Walmart stores. We may be able to recognize the location of a mobile device in stores where we provide customers free WiFi access. Through mobile services, Bluetooth technology in our stores allows us to show you nearby products that may interest you. See ""What Are Your Choices?"" below for more information.  ","Dont use service/feature","First Party Collection/Use"
"17"," Location Information:  We may collect information about your location when your device is set to provide location information. For example, your device's GPS signal allows us to show you the nearest Walmart stores. We may be able to recognize the location of a mobile device in stores where we provide customers free WiFi access. Through mobile services, Bluetooth technology in our stores allows us to show you nearby products that may interest you. See ""What Are Your Choices?"" below for more information.  ","Browser/device privacy controls","First Party Collection/Use"
"20"," How Do We Use Your Personal Information?    We use your personal information to provide you products and services, such as to fulfill your requests for products or to help us personalize our offerings to you. We also use your personal information to support our business functions, such as fraud prevention, marketing, and legal functions.  ","Dont use service/feature","First Party Collection/Use"
"21","We use your personal information to offer and provide you products and services and to support our business functions. These business functions include order and service fulfillment, internal business processes, marketing, authentication, loss and fraud prevention, public safety and legal functions. Some examples include:     To fulfill your requests for products and services and communicate with you about those requests;     To register and service your account;     To administer contests, sweepstakes, promotions, and surveys;     To provide customer service and alert you to product information, including recalls;     To help us personalize our service offerings, websites, mobile services, and advertising;     To help us improve your experience in our stores and through our websites and mobile services;     To send you information about our products, services, and promotions;     To respond to reviews, comments, or other feedback you provide us; and     To protect the security and integrity of our websites, mobile services, and our business. To do this, we combine personal and non-personal information, collected online and offline, including information from third party sources. We also transfer or share your personal information within our corporate family of companies, such as with Sam's Club, for these purposes, as permitted by law.  ","Dont use service/feature","First Party Collection/Use"
"22"," How Do We Share Your Personal Information Outside of Walmart?    We will not sell or rent your personal information. We may share your personal information in limited circumstances, such as to conduct our business, when legally required, or with your consent.  ","Opt-in","First Party Collection/Use"
"22"," How Do We Share Your Personal Information Outside of Walmart?    We will not sell or rent your personal information. We may share your personal information in limited circumstances, such as to conduct our business, when legally required, or with your consent.  ","Opt-in","Third Party Sharing/Collection"
"28"," With Your Consent    In any circumstance other than those described above, we will ask for your affirmative consent before we share your personal information outside of our corporate family of companies, and we also will not sell or rent your personal information.  ","Opt-in","Third Party Sharing/Collection"
"28"," With Your Consent    In any circumstance other than those described above, we will ask for your affirmative consent before we share your personal information outside of our corporate family of companies, and we also will not sell or rent your personal information.  ","Opt-in","User Choice/Control"
"29"," What are Your Choices?    You have choices about the various ways we collect, use, and share your personal information.   We may send you marketing communications. You can tell us your marketing preferences by visiting our Communication Preferences Alerts page.     We also personalize your experience on our sites and mobile services by showing you advertisements from Walmart or our advertising partners that are tailored to your interests. Learn more about interest-based advertising, including how to opt out.     Some of our mobile services use your device's location information. You can adjust the settings of your mobile device at any time to control whether your device communicates this location information. We may also offer additional controls on our use of your mobile location information.  ","First-party privacy controls","User Choice/Control"
"29"," What are Your Choices?    You have choices about the various ways we collect, use, and share your personal information.   We may send you marketing communications. You can tell us your marketing preferences by visiting our Communication Preferences Alerts page.     We also personalize your experience on our sites and mobile services by showing you advertisements from Walmart or our advertising partners that are tailored to your interests. Learn more about interest-based advertising, including how to opt out.     Some of our mobile services use your device's location information. You can adjust the settings of your mobile device at any time to control whether your device communicates this location information. We may also offer additional controls on our use of your mobile location information.  ","Opt-out link","User Choice/Control"
"29"," What are Your Choices?    You have choices about the various ways we collect, use, and share your personal information.   We may send you marketing communications. You can tell us your marketing preferences by visiting our Communication Preferences Alerts page.     We also personalize your experience on our sites and mobile services by showing you advertisements from Walmart or our advertising partners that are tailored to your interests. Learn more about interest-based advertising, including how to opt out.     Some of our mobile services use your device's location information. You can adjust the settings of your mobile device at any time to control whether your device communicates this location information. We may also offer additional controls on our use of your mobile location information.  ","Browser/device privacy controls","User Choice/Control"
"31"," Marketing Preferences    When we are sending marketing communications to you, we use the following standards:     We use an opt-in standard for phone and text messages. We use an opt-in standard for sharing personal information with companies outside our corporate family of companies for their use in direct marketing, such as sending you promotions. Opt-in means we will only conduct the activity with your affirmative consent.     We use an opt-out standard for email or for other communications, such as postal mail. Opt-out means we may contact you, but will stop upon your request (as described below). Please note that these standards may not apply to communications regarding our Health Wellness operations, such as prescription reminders. For more information see the Health Wellness Notice of Privacy Practices.  ","Opt-in","User Choice/Control"
"31"," Marketing Preferences    When we are sending marketing communications to you, we use the following standards:     We use an opt-in standard for phone and text messages. We use an opt-in standard for sharing personal information with companies outside our corporate family of companies for their use in direct marketing, such as sending you promotions. Opt-in means we will only conduct the activity with your affirmative consent.     We use an opt-out standard for email or for other communications, such as postal mail. Opt-out means we may contact you, but will stop upon your request (as described below). Please note that these standards may not apply to communications regarding our Health Wellness operations, such as prescription reminders. For more information see the Health Wellness Notice of Privacy Practices.  ","Other","User Choice/Control"
"31"," Marketing Preferences    When we are sending marketing communications to you, we use the following standards:     We use an opt-in standard for phone and text messages. We use an opt-in standard for sharing personal information with companies outside our corporate family of companies for their use in direct marketing, such as sending you promotions. Opt-in means we will only conduct the activity with your affirmative consent.     We use an opt-out standard for email or for other communications, such as postal mail. Opt-out means we may contact you, but will stop upon your request (as described below). Please note that these standards may not apply to communications regarding our Health Wellness operations, such as prescription reminders. For more information see the Health Wellness Notice of Privacy Practices.  ","Opt-out via contacting company","User Choice/Control"
