"7"," Information We Collect About You From Third Parties:    You may log in to post comments or share articles via your Facebook, Twitter, Google+, LinkedIn, Disqus, or other third-party account (collectively, third party accounts). In the future, we may permit additional login methods. When you log-in via your third party account, you must grant us permission to access certain information from these third-party accounts, which will vary based on the third party account. Before you log in through the particular site, you will be presented with the list of permissions, and you may cancel your log on if you do not want to proceed. For information about how the third party site may disclose your information, including any information that you make public, please consult the third party accounts privacy policy. We have no control over how a third party account uses or discloses the personally identifiable information that you provide to it. We may store the information that we collect from the third party account along with the other information that we collect from you or receive about you. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Dont use service/feature","First Party Collection/Use"
"13"," Third Party Cookies.    We also engage third parties to track and analyze non-personally and personally identifiable Website data. To do so, we permit third parties to apply cookies to users of our Services, where permitted by law, and, subject to your right to opt-out through the Network Advertising Initiative (as discussed below). We use the data collected by such third parties to help us administer and improve the quality of our Services and to analyze use of our Services. We also use such third parties to assist us in serving advertisements. Such third parties may combine the information that we provide about you with other information that they have collected. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Third-party privacy controls","Third Party Sharing/Collection"
"13"," Third Party Cookies.    We also engage third parties to track and analyze non-personally and personally identifiable Website data. To do so, we permit third parties to apply cookies to users of our Services, where permitted by law, and, subject to your right to opt-out through the Network Advertising Initiative (as discussed below). We use the data collected by such third parties to help us administer and improve the quality of our Services and to analyze use of our Services. We also use such third parties to assist us in serving advertisements. Such third parties may combine the information that we provide about you with other information that they have collected. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Opt-out link","Third Party Sharing/Collection"
"14"," Disabling Cookies.    You may choose not to provide such information by adjusting your Internet browser security settings to refuse cookies. Most web browsers automatically accept cookies, but if you prefer you can edit your browser options to block them in future. The Help portion of the toolbar on most browsers will tell you how to prevent your computer from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether. If you disable your web browsers ability to accept cookies, you will be able to browse our Website, but certain pages and features may be limited. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Browser/device privacy controls","User Choice/Control"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Third-party privacy controls","First Party Collection/Use"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Other","First Party Collection/Use"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Third-party privacy controls","Third Party Sharing/Collection"
"16"," Local Storage Objects    We and our third party service providers may use Flash Local Storage Objects (Flash LSOs) to store your Website and Application preferences, to personalize your visit or to display content based upon what you view on our Website and Application. Flash LSOs are different from browser cookies because of the amount and type of data stored. In addition, you cannot control, delete or disable the acceptance of Flash LSOs through your browser. For more information on Flash LSOs, or to learn how to manage your settings for Flash cookies, go to the Adobe Flash Player Help Page, choose Global Storage Settings Panel and follow the instructions. To see the Flash LSOs currently on your computer, choose Website Storage Settings Panel and follow the instructions to review and, if you choose, to delete any specific Flash LSO. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Other","Third Party Sharing/Collection"
"29"," IV. HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU?    You can always choose not to submit any personally identifiable information to THE MRC.  ","Dont use service/feature","User Choice/Control"
"29"," IV. HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU?    You can always choose not to submit any personally identifiable information to THE MRC.  ","Opt-in","User Choice/Control"
