"4","By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.  ","Dont use service/feature","User Choice/Control"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","Opt-out via contacting company","First Party Collection/Use"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","Opt-out link","First Party Collection/Use"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","First-party privacy controls","First Party Collection/Use"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","Browser/device privacy controls","First Party Collection/Use"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","First-party privacy controls","User Choice/Control"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","Browser/device privacy controls","User Choice/Control"
"14"," 3. How do we collect your personal information?     (a) Information that you provide to us    As a general matter, you can browse in our stores and on the Barnes & Noble Websites without submitting your personal information to us, although we may receive and collect certain personal information automatically, as outlined in Section 3(b) of this Privacy Policy, including site analytics regarding our websites, information your Internet browser automatically sends when you visit our websites, and information collected by cookies.  ","Opt-in","User Choice/Control"
"15","However, there are a number of circumstances in which you may need to provide us with your personal information. The most common of these circumstances include:     Making a purchase or placing an order     Creating an account or joining the Member Loyalty Program     Applying for a Barnes & Noble MasterCard     Using specific features of Barnes & Noble Websites, Devices and Apps     Contacting customer service     Additional Barnes & Noble Website, Device or App Features     Interacting with social networking sites     Entering a sweepstakes or contest     Publishing through NOOK Press     Signing up for promotional communications or using Invite-a-Friend or NOOK Press Collaborator emails  ","Dont use service/feature","First Party Collection/Use"
"17"," Making a purchase or placing an order    When you make a purchase, rent or place an order in our stores, place an order online or purchase, download, rent or stream books, periodicals, movies, television shows and other digital content (""Digital Content""), you may need to submit personal information to us.  ","Dont use service/feature","First Party Collection/Use"
