"2"," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  ","Explicit","First Party Collection/Use"
"2"," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  ","Explicit","First Party Collection/Use"
"3","If we collect such information, in most instances, the applicable page(s) or location(s) within the Services will include statements regarding what information is required for the elements of the Services to function properly and functionality for you to submit the requested or required information. In addition to the list above, there may also be opportunities for you to grant permission for use of other of your information in a manner set forth on the applicable page(s) within the Services.  ","Explicit","First Party Collection/Use"
"4"," How We Use and Share Your Personal Information    If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information or as permissible under applicable law. We will not sell, lease, publish or share your personal information with or to anyone else, except as set forth in this Privacy Policy. We may use and share your personal information as described in Section 1 above and we may:  ","Explicit","First Party Collection/Use"
"4"," How We Use and Share Your Personal Information    If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information or as permissible under applicable law. We will not sell, lease, publish or share your personal information with or to anyone else, except as set forth in this Privacy Policy. We may use and share your personal information as described in Section 1 above and we may:  ","Explicit","First Party Collection/Use"
"4"," How We Use and Share Your Personal Information    If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information or as permissible under applicable law. We will not sell, lease, publish or share your personal information with or to anyone else, except as set forth in this Privacy Policy. We may use and share your personal information as described in Section 1 above and we may:  ","Implicit","First Party Collection/Use"
"8","  Use and share your information with one or more MLB Clubs or entities, to the extent that you've submitted information or accessed functionality or content that relates specifically to such Club(s) or entities (e.g., you've asked to receive the newsletter of a Club or you've purchased Club-specific merchandise), so they may learn more about fans like you, add you to the Club's postal mail list and provide better services to you;  ","Explicit","First Party Collection/Use"
"13"," Additional Information About Collection of Location Data    Location Data We Collect. When you use our Service we may solicit your permission to collect your location data. Please be advised, for some features within our Applications to function (e.g. live MLB game video) we must confirm your current location and therefore some features will not be available if you choose not to provide your location data to us. The specificity of the location data collected may depend on a number of factors, including the device you are using (e.g. laptop, smartphone, tablet) and how you are connected to the internet (e.g. via cable broadband connection, WiFi, etc.). If you enable location services for our Applications, we may collect location data (e.g. zip code) periodically as you use or leave open our Applications. We may also use this data internally or in conjunction with our third party service providers to customize your experience and provide offers that may be relevant to you. Depending on the platform you use to access our Applications (e.g., Apples iOS, Googles Android, Windows, etc.) you may be able to control from within the settings on your wireless device or the Application(s) whether location data is collected.  ","Explicit","First Party Collection/Use"
"14"," Additional Information About Our Access to Your Contacts    Our Access to Your Contacts. When you use our Mobile Games, we may solicit your permission to access your contacts list (e.g., address book) so that we may match individuals from your contacts lists with those participating in our Mobile Games so you can invite your friends to play with and against you. We will not store the information in your contacts list.  ","Explicit","First Party Collection/Use"
"15"," Other Information Collected And Shared Within Our Services.     Our Cookies and Web Beacons    We use and permit automatic methods such as cookies (small amounts of data which include a unique string of characters sent to your browser or application from a website's computers and stored on your computer's or device's hard drive), web beacons (technology used to track activity, also known as pixel tags) or similar technologies, alone or in combination with personally identifiable information you choose to provide us. Examples of the information we collect and analyze using such methods include, but is not limited to: personal information as authorized by you, the Internet protocol address used to connect your computer or device to the Internet; email address; login name and password; operating system type, version and computer or device platform; purchase history; the full Uniform Resource Locator clickstream to, on and from our Services, including date and time; and products you viewed or searched. We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page. We use and may allow certain third parties, such as those who provide services associated with our Services, to access these automatic data collection methods to enable you to use a ""shopping cart"" while using our Services, to store your preferences and to improve, deliver and customize our Services' content and offerings.  ","Implicit","First Party Collection/Use"
"15"," Other Information Collected And Shared Within Our Services.     Our Cookies and Web Beacons    We use and permit automatic methods such as cookies (small amounts of data which include a unique string of characters sent to your browser or application from a website's computers and stored on your computer's or device's hard drive), web beacons (technology used to track activity, also known as pixel tags) or similar technologies, alone or in combination with personally identifiable information you choose to provide us. Examples of the information we collect and analyze using such methods include, but is not limited to: personal information as authorized by you, the Internet protocol address used to connect your computer or device to the Internet; email address; login name and password; operating system type, version and computer or device platform; purchase history; the full Uniform Resource Locator clickstream to, on and from our Services, including date and time; and products you viewed or searched. We use software tools to measure and collect session information, including page response times, download errors, length of visits to certain pages, page interaction information (such as scrolling, clicks and mouse-overs) and methods used to browse away from a page. We use and may allow certain third parties, such as those who provide services associated with our Services, to access these automatic data collection methods to enable you to use a ""shopping cart"" while using our Services, to store your preferences and to improve, deliver and customize our Services' content and offerings.  ","Explicit","First Party Collection/Use"
