"2"," Information We Collect    User-Provided Information: You provide us information about yourself, such as your name and email address, when you register with the Service. Also, you may provide information when you participate in sweepstakes and contests, message boards and chat rooms, leave a comment on the Website, respond to one of our surveys, or use Try On technology other interactive areas of our Website (all such information and material, ""User Content""). If you correspond with us by email, we may retain the content of your email messages, your email address and our responses.  ","Explicit","First Party Collection/Use"
"2"," Information We Collect    User-Provided Information: You provide us information about yourself, such as your name and email address, when you register with the Service. Also, you may provide information when you participate in sweepstakes and contests, message boards and chat rooms, leave a comment on the Website, respond to one of our surveys, or use Try On technology other interactive areas of our Website (all such information and material, ""User Content""). If you correspond with us by email, we may retain the content of your email messages, your email address and our responses.  ","Explicit","First Party Collection/Use"
"2"," Information We Collect    User-Provided Information: You provide us information about yourself, such as your name and email address, when you register with the Service. Also, you may provide information when you participate in sweepstakes and contests, message boards and chat rooms, leave a comment on the Website, respond to one of our surveys, or use Try On technology other interactive areas of our Website (all such information and material, ""User Content""). If you correspond with us by email, we may retain the content of your email messages, your email address and our responses.  ","Explicit","First Party Collection/Use"
"3","Cookies Information: When you visit the Website, we may send one or more cookies - a small text file containing a string of alphanumeric characters - to your computer, mobile or other device (""Local Device Storage"") that uniquely identifies your browser or device and allows Company to help you log in faster and enhance your navigation through the Website. A cookie does not collect personal information about you from which your individual identity can be established. Company uses both session cookies and persistent cookies. A persistent cookie remains in your Local Device Storage after you close your browser. Persistent cookies may be used by your browser on subsequent visits to the Service. Persistent cookies can be removed by following your web browser's or Local Device Storage's directions. A session cookie is temporary and disappears after you close your browser. You can set your web browser to refuse all cookies or to indicate when a cookie is being sent. Therefore, some features of the Service may not function properly or at all if the ability to accept all cookies is disabled. Other cookies collect information about your browsing habits in order to help us and advertisers make suggestions relevant to you and your interests. They remember the websites you have visited and that information is shared with other parties such as advertisers. For example, we use third parties to provide you with more personalized advertisements when visiting other websites. You can change the settings on your browser or Local Device Storage to prevent cookies being stored on your Local Device Storage without your explicit consent. Your browser ""help"" section will normally provide details on how to manage the cookie settings.  ","Implicit","First Party Collection/Use"
"3","Cookies Information: When you visit the Website, we may send one or more cookies - a small text file containing a string of alphanumeric characters - to your computer, mobile or other device (""Local Device Storage"") that uniquely identifies your browser or device and allows Company to help you log in faster and enhance your navigation through the Website. A cookie does not collect personal information about you from which your individual identity can be established. Company uses both session cookies and persistent cookies. A persistent cookie remains in your Local Device Storage after you close your browser. Persistent cookies may be used by your browser on subsequent visits to the Service. Persistent cookies can be removed by following your web browser's or Local Device Storage's directions. A session cookie is temporary and disappears after you close your browser. You can set your web browser to refuse all cookies or to indicate when a cookie is being sent. Therefore, some features of the Service may not function properly or at all if the ability to accept all cookies is disabled. Other cookies collect information about your browsing habits in order to help us and advertisers make suggestions relevant to you and your interests. They remember the websites you have visited and that information is shared with other parties such as advertisers. For example, we use third parties to provide you with more personalized advertisements when visiting other websites. You can change the settings on your browser or Local Device Storage to prevent cookies being stored on your Local Device Storage without your explicit consent. Your browser ""help"" section will normally provide details on how to manage the cookie settings.  ","Implicit","First Party Collection/Use"
"4","Social Networking: If you choose to access, visit and/or use any third-party social networking service(s) that may be integrated with the Service, we may receive personally identifiable information and other information about you and your computer, mobile and other device that you have made available to those services, including information about your contacts on those services. For example, some social networking services allow you to push content from our Service to your contacts or to pull information about your contacts so you can connect with them on or through our Service. Some social networking services also will facilitate your registration for our Service or enhance or personalize your experience on our Service. Your decision to use a social networking service in connection with our Service is voluntary. However, you should make sure you are comfortable with the information your third-party social networking services may make available to our Service by vising those services' privacy policies and/or modifying your privacy settings directly with those services. We reserve the right to use, transfer, assign, share and provide access to all personally identifiable information and other information about you and your computer, mobile or other device that we receive through third-party social networking services in the same ways described in this Privacy Policy as all of your other information.  ","Implicit","First Party Collection/Use"
"5","Log File Information: Log file information is automatically reported by your browser each time you access a web page. When you register with or view our Website, our servers automatically record certain information that your web browser sends whenever you visit any website. These server logs may include information such as your web request, Internet Protocol (""IP"") address, browser type, referring / exit pages and URLs, number of clicks, domain names, landing pages, pages viewed and other such information.  ","Implicit","First Party Collection/Use"
"7","Clear Gifs Information: When you use the Service, we may employ clear gifs (a.k.a. Web Beacons) which are used to track the online usage patterns of our users anonymously. No personally identifiable information from your Company account is collected using these clear gifs. In addition, we may also use clear gifs in HTML-based emails sent to our users to track which emails are opened by recipients. The information is used to enable more accurate reporting, improve the effectiveness of our marketing and make us better for our users.  ","Implicit","First Party Collection/Use"
"7","Clear Gifs Information: When you use the Service, we may employ clear gifs (a.k.a. Web Beacons) which are used to track the online usage patterns of our users anonymously. No personally identifiable information from your Company account is collected using these clear gifs. In addition, we may also use clear gifs in HTML-based emails sent to our users to track which emails are opened by recipients. The information is used to enable more accurate reporting, improve the effectiveness of our marketing and make us better for our users.  ","Implicit","First Party Collection/Use"
"9"," How We Use Your Information    We use the information you submit (including any personal information) to operate, maintain and provide to you the features and functionality of the Service or otherwise in connection with our business in relation to the Service. By using the Service you consent to this use and any other use of information identified in this Privacy Policy. For example, if you enter an online sweepstakes, we will use this information to notify you if you are a winner. We may also use the information to communicate with you about new features, products or services, and/or to improve the services that we offer by tailoring them to your needs.  ","Explicit","First Party Collection/Use"
"11","By providing Company your email address, you consent to our using the email address to send you Service-related notices, including any notices required by law, in lieu of communication by postal mail. We may also use your email address to send you other messages, such as newsletters, changes to features of the Service or special offers. If you do not want to receive such email messages, you may opt out by sending an email message to legal@sheknows.com with the word ""No email - SheKnows"" in the subject field. Opting out may prevent you from receiving email messages regarding updates, improvements or offers.  ","Explicit","First Party Collection/Use"
"13","Company reserves the right, but has no obligation, to monitor the User Content you post on the Website. Company has the right to remove any such User Content for any reason or no reason, including, without limitation, if in its sole opinion, such User Content violates, or may violate, any applicable law or our Terms of Use, which are incorporated herein by reference, or to protect or defend Company's rights or property or those of any third party. Company also reserves the right to remove User Content upon the request of any third party.  ","Explicit","First Party Collection/Use"
"14","We use cookies, clear gifs and log file information to: (a) remember information so that you will not have to re-enter it during your visit or the next time you visit the Website; (b) provide custom, personalized content and information; (c) monitor the effectiveness of the Service; (d) monitor aggregate metrics such as total number of visitors and traffic; (e) diagnose or fix technology problems reported by our users or engineers that are associated with the IP addresses controlled by a specific web company or ISP; and (f) help you efficiently access your information after you sign in to the Website.  ","Implicit","First Party Collection/Use"
"17","We reserve the right to access, use, and share with others your personally identifiable information for purposes of health, safety and other matters in the public interest.  ","Implicit","First Party Collection/Use"
"18","In addition, we reserve the right to use the information we collect about your computer, mobile or other device (including its geographic location), which may at times be able to identify you, for any lawful business purpose, including without limitation to help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users' movements around the Service, and to otherwise administer the Service. Geographic location information about you and/or your computer, mobile or other device may specifically be used to show you content and sponsored messaging based on geographic location.  ","Implicit","First Party Collection/Use"
"18","In addition, we reserve the right to use the information we collect about your computer, mobile or other device (including its geographic location), which may at times be able to identify you, for any lawful business purpose, including without limitation to help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users' movements around the Service, and to otherwise administer the Service. Geographic location information about you and/or your computer, mobile or other device may specifically be used to show you content and sponsored messaging based on geographic location.  ","Implicit","First Party Collection/Use"
"18","In addition, we reserve the right to use the information we collect about your computer, mobile or other device (including its geographic location), which may at times be able to identify you, for any lawful business purpose, including without limitation to help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users' movements around the Service, and to otherwise administer the Service. Geographic location information about you and/or your computer, mobile or other device may specifically be used to show you content and sponsored messaging based on geographic location.  ","Implicit","First Party Collection/Use"
"18","In addition, we reserve the right to use the information we collect about your computer, mobile or other device (including its geographic location), which may at times be able to identify you, for any lawful business purpose, including without limitation to help diagnose problems with our servers, to gather broad demographic information, analyze trends, track users' movements around the Service, and to otherwise administer the Service. Geographic location information about you and/or your computer, mobile or other device may specifically be used to show you content and sponsored messaging based on geographic location.  ","Implicit","First Party Collection/Use"
"21","We reserve the right to identify you from information you provide to us and/or to merge or co-mingle anonymous or non-personally identifiable data about you, your offline and online behavior, and/or your computer, mobile or other device (including its geographic location), with the information you provide to use and/or other personally identifiable data for any lawful business purpose.  ","Explicit","First Party Collection/Use"
"21","We reserve the right to identify you from information you provide to us and/or to merge or co-mingle anonymous or non-personally identifiable data about you, your offline and online behavior, and/or your computer, mobile or other device (including its geographic location), with the information you provide to use and/or other personally identifiable data for any lawful business purpose.  ","Implicit","First Party Collection/Use"
