"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Aggregated or anonymized","First Party Collection/Use"
"1","1. The Information We Collect and Use   A. Non-Personally Identifiable Information. When you visit a Website, we may collect certain data that does not tell us specifically who you are. This is Non-Personally Identifiable Information. It includes things like your Internet Protocol (IP) address, browser type, and the last domain you visited before coming to our Website or the domain you go to when you leave. It also includes various statistical data such as which pages you visit on our Websites, how long you stay on them, and what you click.  ","Aggregated or anonymized","First Party Collection/Use"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Identifiable","First Party Collection/Use"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Aggregated or anonymized","First Party Collection/Use"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Identifiable","Third Party Sharing/Collection"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Identifiable","Third Party Sharing/Collection"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Aggregated or anonymized","Third Party Sharing/Collection"
"4","No Personally Identifiable Information (see below) is collected through our cookies or Web beacons nor do we allow third-party companies to collect such information from cookies or web beacons on our Website. We may, however, from time to time, allow third-party companies to serve ads and/or collect certain Non-Personally Identifiable Information when you visit our Website. These companies may use Non-Personally Identifiable Information (e.g. click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other websites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use cookies or third party web beacons to collect this information. To learn more about this behavioral advertising practice or to opt out of this type of advertising, you can visit http://www.networkadvertising.org/managing/opt_out.asp.  ","Aggregated or anonymized","Third Party Sharing/Collection"
"5","B. Personally Identifiable Information. We also may collect information that can be used to identify you (Personally Identifiable Information). We only collect Personally Identifiable Information when you specifically provide it to us. For example, in connection with your use of certain features of the Websites you may be asked to create a user account and provide certain information including your name, email addresses, address, and telephone number. You may also provide User Uploaded Information to the Websites, as described in the Terms of Use, or you may provide information such as your credit card number in connection with the purchase of services or content available through the Websites. When you create a user account with a Prometheus Global Media website and sign in to your account on the Websites or post User Uploaded Information, you are not anonymous to us.  ","Identifiable","First Party Collection/Use"
"5","B. Personally Identifiable Information. We also may collect information that can be used to identify you (Personally Identifiable Information). We only collect Personally Identifiable Information when you specifically provide it to us. For example, in connection with your use of certain features of the Websites you may be asked to create a user account and provide certain information including your name, email addresses, address, and telephone number. You may also provide User Uploaded Information to the Websites, as described in the Terms of Use, or you may provide information such as your credit card number in connection with the purchase of services or content available through the Websites. When you create a user account with a Prometheus Global Media website and sign in to your account on the Websites or post User Uploaded Information, you are not anonymous to us.  ","Identifiable","First Party Collection/Use"
