"1","IP Addresses. We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service.  ","Identifiable","First Party Collection/Use"
"3","The cookie itself does not tell us who you are, your email address, nor any other personal information. We use the information to improve our website and improve your experience while at our website.  ","Other","First Party Collection/Use"
"5","Registration Forms. Our site's registration form requires users to give us contact information (like their name and e-mail address), financial information (like their account or credit card numbers), and demographic information (like their zip code and state). We use customer contact information from the registration form to send the user information about our company. The customer's contact information is also used to contact the visitor when necessary. Users may opt-out of receiving future e-mails; see the choice/opt-out section below. Financial information that is collected is used to check the users' qualifications for registration. Demographic and profile data is also collected at our site. We use this data to help us improve this website and our service.  ","Identifiable","First Party Collection/Use"
"6","Online Surveys and Contests. From time to time, we may conduct online surveys to help us better understand and serve the needs of our customers. Our online surveys may ask visitors for contact information (like their e-mail address) and demographic information (like their zip code, age, or income level). With your permission, we may use contact data from our surveys to send the user information about our company. The customer's contact information is also used to contact the visitor when necessary. Users may always opt-out of receiving future e-mails.  ","Identifiable","First Party Collection/Use"
"7","Customer Service Correspondence. We may collect information that identifies you personally when you submit comments, questions or suggestions to our Customer Service department.  ","Identifiable","First Party Collection/Use"
"8","Use of Your Personal and Non-Personal Information. Except as disclosed in this policy, we do not sell or disclose information that identifies our guests personally or makes it possible for other parties to contact them directly without our guests' consent. We may use, sell, disclose, or otherwise dispose of Personal Information we collect in the following circumstances:  ","Identifiable","First Party Collection/Use"
"8","Use of Your Personal and Non-Personal Information. Except as disclosed in this policy, we do not sell or disclose information that identifies our guests personally or makes it possible for other parties to contact them directly without our guests' consent. We may use, sell, disclose, or otherwise dispose of Personal Information we collect in the following circumstances:  ","Identifiable","Third Party Sharing/Collection"
"9","Legal Requirements. We may disclose personal information to conform with the law, respond to claims, enforce our policies, protect and defend our copyrights, trademarks, employees, and/or the unlawful use of our website.  ","Identifiable","Third Party Sharing/Collection"
"10","Other Emergencies. We may disclose personal information if we believe that an emergency involving danger of death or serious injury to any person requires disclosure of communications or justifies immediate disclosure of records.  ","Identifiable","Third Party Sharing/Collection"
"12","Aggregate Information. We collect Aggregate Information about you and your use of our Site whenever you visit us online. For instance, we may collect various forms of ""click stream"" information such as entry and exit points for our Site (i.e., referring URLs or domains), site traffic statistics, page views, impressions, and operating system and browser type. In addition, when users request pages on our Site, our servers automatically log their IP addresses. An IP address is a number that is automatically assigned to your computer whenever you are surfing the Web.  ","Aggregated or anonymized","First Party Collection/Use"
"12","Aggregate Information. We collect Aggregate Information about you and your use of our Site whenever you visit us online. For instance, we may collect various forms of ""click stream"" information such as entry and exit points for our Site (i.e., referring URLs or domains), site traffic statistics, page views, impressions, and operating system and browser type. In addition, when users request pages on our Site, our servers automatically log their IP addresses. An IP address is a number that is automatically assigned to your computer whenever you are surfing the Web.  ","Aggregated or anonymized","First Party Collection/Use"
"13","We may use third-party software that tracks traffic directed to CoffeeReview.com from affiliate Web sites and the purchases that result from this traffic. This information is aggregated and is not tied to an individual purchase.  ","Aggregated or anonymized","First Party Collection/Use"
"13","We may use third-party software that tracks traffic directed to CoffeeReview.com from affiliate Web sites and the purchases that result from this traffic. This information is aggregated and is not tied to an individual purchase.  ","Aggregated or anonymized","Third Party Sharing/Collection"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Aggregated or anonymized","First Party Collection/Use"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Aggregated or anonymized","First Party Collection/Use"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Aggregated or anonymized","First Party Collection/Use"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Aggregated or anonymized","First Party Collection/Use"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Aggregated or anonymized","Third Party Sharing/Collection"
"14","This aggregate Information generally will not personally identify you or be correlated to you individually for external purposes. We may collect, compile, store, publish, promote, report, sell, or otherwise disclose or use any and all aggregate Information, provided that, such information does not personally identify you. When we share such information with other companies, it is not traceable to any particular user, and will not be used to contact you. If we do correlate any aggregate Information to you, such information will be treated like any other personal Information under this policy.  ","Aggregated or anonymized","Third Party Sharing/Collection"
