"3"," Information We Collect    We may collect personal information about our users in various ways. For example, we may collect information that you provide to us, information that we collect through your use of the Services, and information that we collect from publicly available sources or third parties.  ","Service operation and security","First Party Collection/Use"
"5","When you register or otherwise interact with the Services, you may be invited to provide personal information to enhance your experience on our site. For example, during account registration, we may ask for information such as your name, e-mail address, year of birth, gender, street address, job title and industry and related information. We may collect payment information, such as your credit card number and expiration date, where appropriate to process a financial transaction you have requested.  ","Personalization/Customization","First Party Collection/Use"
"5","When you register or otherwise interact with the Services, you may be invited to provide personal information to enhance your experience on our site. For example, during account registration, we may ask for information such as your name, e-mail address, year of birth, gender, street address, job title and industry and related information. We may collect payment information, such as your credit card number and expiration date, where appropriate to process a financial transaction you have requested.  ","Basic service/feature","First Party Collection/Use"
"5","When you register or otherwise interact with the Services, you may be invited to provide personal information to enhance your experience on our site. For example, during account registration, we may ask for information such as your name, e-mail address, year of birth, gender, street address, job title and industry and related information. We may collect payment information, such as your credit card number and expiration date, where appropriate to process a financial transaction you have requested.  ","Basic service/feature","First Party Collection/Use"
"5","When you register or otherwise interact with the Services, you may be invited to provide personal information to enhance your experience on our site. For example, during account registration, we may ask for information such as your name, e-mail address, year of birth, gender, street address, job title and industry and related information. We may collect payment information, such as your credit card number and expiration date, where appropriate to process a financial transaction you have requested.  ","Basic service/feature","First Party Collection/Use"
"6","We also collect information that you provide us when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services. We may ask you for additional information at other times, such as when you enter a contest or participate in a promotion, when you post an online ad, or when you order products from us or otherwise engage with the Services. Please review our Discussion and Submission Guidelines for more information about our practices applicable to content that you submit to certain areas of our Services.  ","Additional service/feature","First Party Collection/Use"
"6","We also collect information that you provide us when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services. We may ask you for additional information at other times, such as when you enter a contest or participate in a promotion, when you post an online ad, or when you order products from us or otherwise engage with the Services. Please review our Discussion and Submission Guidelines for more information about our practices applicable to content that you submit to certain areas of our Services.  ","Additional service/feature","First Party Collection/Use"
"6","We also collect information that you provide us when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services. We may ask you for additional information at other times, such as when you enter a contest or participate in a promotion, when you post an online ad, or when you order products from us or otherwise engage with the Services. Please review our Discussion and Submission Guidelines for more information about our practices applicable to content that you submit to certain areas of our Services.  ","Basic service/feature","First Party Collection/Use"
"6","We also collect information that you provide us when you comment on articles, participate in message boards, and submit images, photos, videos, or other content to the Services. We may ask you for additional information at other times, such as when you enter a contest or participate in a promotion, when you post an online ad, or when you order products from us or otherwise engage with the Services. Please review our Discussion and Submission Guidelines for more information about our practices applicable to content that you submit to certain areas of our Services.  ","Basic service/feature","First Party Collection/Use"
"7"," Information About Your Use of the Services.      Device informationsuch as your hardware model, IP address, other unique device identifiers, operating system version, and settings of the device you use to access the Services.     Usage informationsuch as information about the Services you use, the time and duration of your use of the Services and other information about your interaction with content offered through a Service, and any information stored in cookies and similar technologies that we have set on your device. For detailed information about our use of cookies, web beacons, and other technologies, see Online Tracking and Advertising.     Location informationsuch as your computers IP address, your mobile devices GPS signal or information about nearby WiFi access points and cell towers that may be transmitted to us when you use certain Services.  ","Basic service/feature","First Party Collection/Use"
