"3"," What Information Is Collected?    We collect two basic types of information from you in conjunction with your use of the Sites: non-personally identifiable information and personally identifiable information. Non-personally identifiable information does not individually identify you, but it may include tracking and usage information about your general location, demographics, use of the Sites and the Internet. Personally identifiable information is any information that can individually identify you and includes, your name, address, phone number, and email address, or non-personally identifiable information that has been linked to such personally identifiable information.  ","Basic service/feature","First Party Collection/Use"
"4"," Personally Identifiable Information    As a general matter, you can browse the Sites without submitting your personally identifiable information to us. However, there are a number of circumstances in which you may supply us with your personally identifiable information, including when you subscribe to our publications, newsletters, and other content; place an order; register for a Site or any part thereof; complete a survey or participate in market research; enter a contest; upload content; or when you seek employment at The Atlantic.  ","Basic service/feature","First Party Collection/Use"
"4"," Personally Identifiable Information    As a general matter, you can browse the Sites without submitting your personally identifiable information to us. However, there are a number of circumstances in which you may supply us with your personally identifiable information, including when you subscribe to our publications, newsletters, and other content; place an order; register for a Site or any part thereof; complete a survey or participate in market research; enter a contest; upload content; or when you seek employment at The Atlantic.  ","Analytics/Research","First Party Collection/Use"
"4"," Personally Identifiable Information    As a general matter, you can browse the Sites without submitting your personally identifiable information to us. However, there are a number of circumstances in which you may supply us with your personally identifiable information, including when you subscribe to our publications, newsletters, and other content; place an order; register for a Site or any part thereof; complete a survey or participate in market research; enter a contest; upload content; or when you seek employment at The Atlantic.  ","Additional service/feature","First Party Collection/Use"
"6"," Collection of Personally Identifiable Information From or Through Social Media Sites    In addition, when you interact with any The Atlantic property page or account on a social media platform, such as Facebook, Twitter, Tumblr, or LinkedIn, we may collect the personally identifiable information that you make available to us on that page or account including your social media account ID. However, we will comply with the privacy policies of the corresponding social media platform and we will only collect and store such personally identifiable information that we are permitted to collect by those social media platforms. If you choose to link or login to your The Atlantic account with or through a social networking service, The Atlantic and that service may share certain information about you and your activities. With your consent, we also may share information about your activities, including what you view on the Sites, with that social networks users.  ","Additional service/feature","Third Party Sharing/Collection"
"7"," Collection of Your Source IP Address/Location Information    We collect and store your devices source IP address which may disclose the general location of your device at the time you access the Sites. Advertisements and certain content may be directed to you as a result of this data.  ","Advertising","First Party Collection/Use"
"7"," Collection of Your Source IP Address/Location Information    We collect and store your devices source IP address which may disclose the general location of your device at the time you access the Sites. Advertisements and certain content may be directed to you as a result of this data.  ","Other","First Party Collection/Use"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Analytics/Research","First Party Collection/Use"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Analytics/Research","First Party Collection/Use"
"8"," How Do the Sites Use Cookies and Other Tracking Technologies?    Like many websites, we use cookies, which are small text files that are stored on your computer or equipment when you visit certain online pages that record your preferences and actions. We use cookies to track use of our Sites and online services. We may also use cookies to monitor traffic, improve the Sites and make it easier and/or relevant for your use. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to disable or reject cookies. If you delete your cookies or if you set your web browser to decline cookies, some features of the Sites may not work or may not work as designed. For more information on cookies and how to disable them, you can consult the information provided by the Interactive Advertising Bureau at www.allaboutcookies.org.  ","Personalization/Customization","First Party Collection/Use"
"10","We may partner with third party advertising companies to better provide advertisements about goods and services that may be of interest to you. These third parties may use cookies alone or in conjunction with web beacons or other tracking technologies to collect information about you when you use the Sites. They may collect information about your online activities over time and across different websites and other online services. They may use this information to provide you with interest-based advertising or other targeted content. These advertising partners do not have access to or use your name, address, e-mail address, telephone number or other personally identifiable information from us, without your consent. They may, however, use persistent identifiers to anonymously track your Internet usage across other websites in their networks beyond these Sites. While we restrict their further use of such information, such third parties may, with sufficient data from other sources, be able to personally identify you, unknown to us.  ","Advertising","Third Party Sharing/Collection"
"10","We may partner with third party advertising companies to better provide advertisements about goods and services that may be of interest to you. These third parties may use cookies alone or in conjunction with web beacons or other tracking technologies to collect information about you when you use the Sites. They may collect information about your online activities over time and across different websites and other online services. They may use this information to provide you with interest-based advertising or other targeted content. These advertising partners do not have access to or use your name, address, e-mail address, telephone number or other personally identifiable information from us, without your consent. They may, however, use persistent identifiers to anonymously track your Internet usage across other websites in their networks beyond these Sites. While we restrict their further use of such information, such third parties may, with sufficient data from other sources, be able to personally identify you, unknown to us.  ","Advertising","Third Party Sharing/Collection"
"11","Third-party ad serving companies and other unaffiliated advertisers also display advertisements on our site. As part of their service, they may place a separate cookie on your computer or utilize other data collection and tracking technologies, to collect information such as your IP address, browser type, the server your computer is logged onto, the area code and zip code associated with your server, and whether you responded to a particular advertisement. For a listing of the third party companies we may allow to place cookies to serve ads on the Sites, click here. We do not control these third parties tracking technologies, how they may be used, or the information they may collect and we are not responsible for the privacy policies or the content of those third parties. Please visit the sites of those businesses at the links above to review their privacy policies. We may add or change the list of third party ad servers from time to time and we encourage you to check this section for changes. You can learn more about about online advertising at www.aboutads.info/consumers.  ","Advertising","Third Party Sharing/Collection"
"11","Third-party ad serving companies and other unaffiliated advertisers also display advertisements on our site. As part of their service, they may place a separate cookie on your computer or utilize other data collection and tracking technologies, to collect information such as your IP address, browser type, the server your computer is logged onto, the area code and zip code associated with your server, and whether you responded to a particular advertisement. For a listing of the third party companies we may allow to place cookies to serve ads on the Sites, click here. We do not control these third parties tracking technologies, how they may be used, or the information they may collect and we are not responsible for the privacy policies or the content of those third parties. Please visit the sites of those businesses at the links above to review their privacy policies. We may add or change the list of third party ad servers from time to time and we encourage you to check this section for changes. You can learn more about about online advertising at www.aboutads.info/consumers.  ","Advertising","Third Party Sharing/Collection"
"13"," How Do We Use Your Information?    We use the information we learn from you to help us personalize and continually improve your experience on the Sites, including to:     Provide you with the content, products and services you request     Post your user generated content to our Sites as you request     Communicate with you about your account or transactions with us and send you information about features and enhancements on or to our Sites     Communicate with you about changes to our policies     Communicate with you about your comment to a story or topic     Personalize content and experiences on our Sites, including providing you recommendations based on your preferences     Send you newsletters, offers and promotions for our products and services, third party products and services, or special events by e-mail, text, or other another medium     Provide you with advertising including advertising based on your activity on our Sites or activity on third party sites and applications     Administer our loyalty programs     Administer contests, sweepstakes, promotions, and surveys     Optimize or improve our products, services and operations     Detect, investigate, and prevent activities that may violate our policies or be illegal     Perform statistical, demographic, and marketing analyses of users of the Sites and their purchasing patterns  ","Basic service/feature","First Party Collection/Use"
"13"," How Do We Use Your Information?    We use the information we learn from you to help us personalize and continually improve your experience on the Sites, including to:     Provide you with the content, products and services you request     Post your user generated content to our Sites as you request     Communicate with you about your account or transactions with us and send you information about features and enhancements on or to our Sites     Communicate with you about changes to our policies     Communicate with you about your comment to a story or topic     Personalize content and experiences on our Sites, including providing you recommendations based on your preferences     Send you newsletters, offers and promotions for our products and services, third party products and services, or special events by e-mail, text, or other another medium     Provide you with advertising including advertising based on your activity on our Sites or activity on third party sites and applications     Administer our loyalty programs     Administer contests, sweepstakes, promotions, and surveys     Optimize or improve our products, services and operations     Detect, investigate, and prevent activities that may violate our policies or be illegal     Perform statistical, demographic, and marketing analyses of users of the Sites and their purchasing patterns  ","Marketing","First Party Collection/Use"
"13"," How Do We Use Your Information?    We use the information we learn from you to help us personalize and continually improve your experience on the Sites, including to:     Provide you with the content, products and services you request     Post your user generated content to our Sites as you request     Communicate with you about your account or transactions with us and send you information about features and enhancements on or to our Sites     Communicate with you about changes to our policies     Communicate with you about your comment to a story or topic     Personalize content and experiences on our Sites, including providing you recommendations based on your preferences     Send you newsletters, offers and promotions for our products and services, third party products and services, or special events by e-mail, text, or other another medium     Provide you with advertising including advertising based on your activity on our Sites or activity on third party sites and applications     Administer our loyalty programs     Administer contests, sweepstakes, promotions, and surveys     Optimize or improve our products, services and operations     Detect, investigate, and prevent activities that may violate our policies or be illegal     Perform statistical, demographic, and marketing analyses of users of the Sites and their purchasing patterns  ","Marketing","First Party Collection/Use"
"13"," How Do We Use Your Information?    We use the information we learn from you to help us personalize and continually improve your experience on the Sites, including to:     Provide you with the content, products and services you request     Post your user generated content to our Sites as you request     Communicate with you about your account or transactions with us and send you information about features and enhancements on or to our Sites     Communicate with you about changes to our policies     Communicate with you about your comment to a story or topic     Personalize content and experiences on our Sites, including providing you recommendations based on your preferences     Send you newsletters, offers and promotions for our products and services, third party products and services, or special events by e-mail, text, or other another medium     Provide you with advertising including advertising based on your activity on our Sites or activity on third party sites and applications     Administer our loyalty programs     Administer contests, sweepstakes, promotions, and surveys     Optimize or improve our products, services and operations     Detect, investigate, and prevent activities that may violate our policies or be illegal     Perform statistical, demographic, and marketing analyses of users of the Sites and their purchasing patterns  ","Personalization/Customization","First Party Collection/Use"
"13"," How Do We Use Your Information?    We use the information we learn from you to help us personalize and continually improve your experience on the Sites, including to:     Provide you with the content, products and services you request     Post your user generated content to our Sites as you request     Communicate with you about your account or transactions with us and send you information about features and enhancements on or to our Sites     Communicate with you about changes to our policies     Communicate with you about your comment to a story or topic     Personalize content and experiences on our Sites, including providing you recommendations based on your preferences     Send you newsletters, offers and promotions for our products and services, third party products and services, or special events by e-mail, text, or other another medium     Provide you with advertising including advertising based on your activity on our Sites or activity on third party sites and applications     Administer our loyalty programs     Administer contests, sweepstakes, promotions, and surveys     Optimize or improve our products, services and operations     Detect, investigate, and prevent activities that may violate our policies or be illegal     Perform statistical, demographic, and marketing analyses of users of the Sites and their purchasing patterns  ","Personalization/Customization","First Party Collection/Use"
