"5","2. TYPES OF INFORMATION WE COLLECT   Our goal is to collect and use information to deliver effective and personalized services which take your interests and preferences into account, as well as for our legitimate business needs and interests.  ","Personalization/Customization","First Party Collection/Use"
"5","2. TYPES OF INFORMATION WE COLLECT   Our goal is to collect and use information to deliver effective and personalized services which take your interests and preferences into account, as well as for our legitimate business needs and interests.  ","Other","First Party Collection/Use"
"8","Contact/Registration information: for example, your telephone number or e-mail address, where you have subscribed to a service such as program updates; name, age, gender or interests when you register for an account on one of our online services; delivery address where you are buying a product or service through an online service; or your age, location or delivery address if you choose to enter a competition or sweepstake offered through the online services. ","Basic service/feature","First Party Collection/Use"
"9","Transaction information: when you order products or services through the online services, you may provide information such as your credit / debit card details and other personal information related to that transaction. ","Basic service/feature","First Party Collection/Use"
"10","Information that you provide on message boards and other user forums: including your username, images or videos. Please use caution when posting to messages boards or other forums, as information posted to these portions of the online services is public information. ","Additional service/feature","First Party Collection/Use"
"15","3. HOW WE COLLECT YOUR INFORMATION   We collect your information when you use our online services in three main ways:   Directly from you, when you provide it to us: for example, when you request products or services from us, when you register with us, respond to surveys, contact us or otherwise interact with us. Please remember that if others use devices into which you remain logged in, they may share information with us as if they were you, and they may have access to information that you have previously provided us. To protect your privacy, please log out from the online services you use from shared devices. &  Automatically, when you use our online services: we collect information through the use of Cookies and Other Technologies and when you download our Mobile Apps. Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.  From third parties including social networks, other online services, from publicly available records, and from our trusted business partners. ","Basic service/feature","First Party Collection/Use"
"17","provide the services you have requested, including sweepstakes, contests or promotions; ","Basic service/feature","First Party Collection/Use"
"17","provide the services you have requested, including sweepstakes, contests or promotions; ","Marketing","First Party Collection/Use"
"17","provide the services you have requested, including sweepstakes, contests or promotions; ","Additional service/feature","First Party Collection/Use"
"18","create an online services account if you have requested one; ","Basic service/feature","First Party Collection/Use"
"19","personalize the services offered by us or our affiliates, including providing personalized advertising on some online services (see options for opting-out of personalized advertising here); ","Personalization/Customization","First Party Collection/Use"
"19","personalize the services offered by us or our affiliates, including providing personalized advertising on some online services (see options for opting-out of personalized advertising here); ","Advertising","First Party Collection/Use"
"20","respond to your inquiries, requests, and comments; ","Additional service/feature","First Party Collection/Use"
"20","respond to your inquiries, requests, and comments; ","Basic service/feature","First Party Collection/Use"
"21","allow you to participate in the interactive features of our online services, where you choose to do so; ","Additional service/feature","First Party Collection/Use"
"21","allow you to participate in the interactive features of our online services, where you choose to do so; ","Basic service/feature","First Party Collection/Use"
"22","provide technical support for the online services; ","Service operation and security","First Party Collection/Use"
"22","provide technical support for the online services; ","Basic service/feature","First Party Collection/Use"
"23","prevent fraud or potentially illegal activities (including copyright infringement) on the online services; ","Service operation and security","First Party Collection/Use"
