"6","We may collect some or all of this information if you:     visit the Website, make inquiries through the Website or offline     purchase products or services on the Website     use our Website     share your e-mail address to subscribe to email newsletters     post comments, messages, letters and the like on the Website     participate in any surveys, contests, or sweepstakes sponsored by THE MRC     register for our Services     provide tips, comments or questions to us     contact us for customer service or other purposes     provide it to us when contacting us about this Policy  ","Basic service/feature","First Party Collection/Use"
"6","We may collect some or all of this information if you:     visit the Website, make inquiries through the Website or offline     purchase products or services on the Website     use our Website     share your e-mail address to subscribe to email newsletters     post comments, messages, letters and the like on the Website     participate in any surveys, contests, or sweepstakes sponsored by THE MRC     register for our Services     provide tips, comments or questions to us     contact us for customer service or other purposes     provide it to us when contacting us about this Policy  ","Additional service/feature","First Party Collection/Use"
"7"," Information We Collect About You From Third Parties:    You may log in to post comments or share articles via your Facebook, Twitter, Google+, LinkedIn, Disqus, or other third-party account (collectively, third party accounts). In the future, we may permit additional login methods. When you log-in via your third party account, you must grant us permission to access certain information from these third-party accounts, which will vary based on the third party account. Before you log in through the particular site, you will be presented with the list of permissions, and you may cancel your log on if you do not want to proceed. For information about how the third party site may disclose your information, including any information that you make public, please consult the third party accounts privacy policy. We have no control over how a third party account uses or discloses the personally identifiable information that you provide to it. We may store the information that we collect from the third party account along with the other information that we collect from you or receive about you. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Additional service/feature","First Party Collection/Use"
"7"," Information We Collect About You From Third Parties:    You may log in to post comments or share articles via your Facebook, Twitter, Google+, LinkedIn, Disqus, or other third-party account (collectively, third party accounts). In the future, we may permit additional login methods. When you log-in via your third party account, you must grant us permission to access certain information from these third-party accounts, which will vary based on the third party account. Before you log in through the particular site, you will be presented with the list of permissions, and you may cancel your log on if you do not want to proceed. For information about how the third party site may disclose your information, including any information that you make public, please consult the third party accounts privacy policy. We have no control over how a third party account uses or discloses the personally identifiable information that you provide to it. We may store the information that we collect from the third party account along with the other information that we collect from you or receive about you. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Additional service/feature","First Party Collection/Use"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Analytics/Research","First Party Collection/Use"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Analytics/Research","First Party Collection/Use"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Analytics/Research","First Party Collection/Use"
"9"," Web Beacons    A web beacon is a type of picture file used on the Internet. Web beacons are used in combination with cookies to help monitor traffic at NewsBusters.org and understand the ways in which users interact with content on the Website. Among other uses, we may use web beacons to count visitors to our Website or to monitor how our users navigate our Website. We may include web beacons in email messages to count how many of the messages that we sent were opened, acted upon, and forwarded. We use web beacons to compile aggregate statistics about our Services and our marketing campaigns. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Marketing","First Party Collection/Use"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Personalization/Customization","First Party Collection/Use"
"10"," Cookies    Cookies help provide a customized user experience. We and our third party service providers may use cookies to, among other things, better serve you with tailored information and facilitate your ongoing access to and use of our Services. There are two types of cookies: session-based and persistent cookies. We also allow third party vendors to use cookies on our Site and Application. - See more at: http://newsbusters.org/privacy-policy#sthash.3sEtPLFK.dpuf  ","Personalization/Customization","First Party Collection/Use"
