"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Legal requirement","First Party Collection/Use"
"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Legal requirement","Third Party Sharing/Collection"
"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Basic service/feature","Third Party Sharing/Collection"
"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Additional service/feature","Third Party Sharing/Collection"
"0"," Privacy Policy    Protecting your personal information and privacy is important to the Library. We collect, use, and share information obtained from our online visitors and subscribers to Short Message Service (SMS) notifications only in the following ways:   We will only collect personal information that you voluntarily provide.   We will only use the personal information you provide for its intended purpose.   We will only disclose personal information to a government agency if required by law.   We will only disclose personal information to contractors or associates to carry out your requests; these third parties follow our privacy policy or prominently display their own.   We will not disclose your personal information to other outside parties without first obtaining your permission.   We provide a safe online environment for children and follow COPPA principles.   We have implemented safeguards to protect any information collected.  ","Service operation and security","Third Party Sharing/Collection"
"2"," Types of Information Collected    The Library collects several types of information, although never for commercial marketing use:   Automatically Collected Information     Information Collected for Measurement and Customization (Cookies)     Personal Information  ","Marketing","First Party Collection/Use"
"2"," Types of Information Collected    The Library collects several types of information, although never for commercial marketing use:   Automatically Collected Information     Information Collected for Measurement and Customization (Cookies)     Personal Information  ","Analytics/Research","First Party Collection/Use"
"2"," Types of Information Collected    The Library collects several types of information, although never for commercial marketing use:   Automatically Collected Information     Information Collected for Measurement and Customization (Cookies)     Personal Information  ","Personalization/Customization","First Party Collection/Use"
"5","This information allows us to improve our website design, presentation and system performance. We collect this information from users who read, browse and/or download information from the Library's websites.  ","Analytics/Research","First Party Collection/Use"
"6","Additionally, if you choose to receive our Library Alerts via text message delivered to cell phones by SMS messaging, we automatically collect your cell phone number so we can send you the Library Alerts. You can opt out of our Library Alerts at any time.  ","Basic service/feature","First Party Collection/Use"
"6","Additionally, if you choose to receive our Library Alerts via text message delivered to cell phones by SMS messaging, we automatically collect your cell phone number so we can send you the Library Alerts. You can opt out of our Library Alerts at any time.  ","Additional service/feature","First Party Collection/Use"
"7"," Information Collected for Measurement and Customization (Cookies)    The Library wants to provide our users with the best online experience possible. As such, we use commercial software products to analyze and report on aggregated web metrics data. This data is generally retained indefinitely to support the mission of our Library of Congress web properties.  ","Analytics/Research","First Party Collection/Use"
"8","The Library uses three types of information collecting tools on its various websites: session cookies, persistent cookies, and other customization tools. ""Cookies"" are small files that a website transfers to your computer to allow the site to remember specific information. If you do not want cookies to be transferred to your computer, you may choose to opt out of their use by modifying your browser options. While you will still be able to access most features of the Library's websites, certain features may not work as well or may be unavailable to you.  ","Personalization/Customization","First Party Collection/Use"
"8","The Library uses three types of information collecting tools on its various websites: session cookies, persistent cookies, and other customization tools. ""Cookies"" are small files that a website transfers to your computer to allow the site to remember specific information. If you do not want cookies to be transferred to your computer, you may choose to opt out of their use by modifying your browser options. While you will still be able to access most features of the Library's websites, certain features may not work as well or may be unavailable to you.  ","Basic service/feature","First Party Collection/Use"
