"3","Information Collected   We collect a variety of information about you, including:     Information you provide directly to a CBS Interactive Services.     Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies.     Information about you from other sources where permitted by law.  ","Basic service/feature","First Party Collection/Use"
"4","Use of Information   We use the information we collect to:     Provide the services you request.     Tell you about offers we think you will value.     Customize the content and advertising you see.     Improve your experience on CBS Interactive Services.     As otherwise described to you at the point of collection or with your consent.  ","Basic service/feature","First Party Collection/Use"
"4","Use of Information   We use the information we collect to:     Provide the services you request.     Tell you about offers we think you will value.     Customize the content and advertising you see.     Improve your experience on CBS Interactive Services.     As otherwise described to you at the point of collection or with your consent.  ","Marketing","First Party Collection/Use"
"4","Use of Information   We use the information we collect to:     Provide the services you request.     Tell you about offers we think you will value.     Customize the content and advertising you see.     Improve your experience on CBS Interactive Services.     As otherwise described to you at the point of collection or with your consent.  ","Personalization/Customization","First Party Collection/Use"
"4","Use of Information   We use the information we collect to:     Provide the services you request.     Tell you about offers we think you will value.     Customize the content and advertising you see.     Improve your experience on CBS Interactive Services.     As otherwise described to you at the point of collection or with your consent.  ","Advertising","First Party Collection/Use"
"4","Use of Information   We use the information we collect to:     Provide the services you request.     Tell you about offers we think you will value.     Customize the content and advertising you see.     Improve your experience on CBS Interactive Services.     As otherwise described to you at the point of collection or with your consent.  ","Analytics/Research","First Party Collection/Use"
"5","Disclosure of Information   We may share your information:     Where we have obtained your consent, including with video content and social networking services as described in our Video Services Policy.     With our third party service providers.     With business partners who sponsor a sweepstakes, contest, or promotion; or who jointly offer a service or feature with a CBS Interactive Service.     Within the family of CBS Interactive Services and other CBS businesses.     If a CBS Interactive Services is sold to another company.     To protect or defend the rights of CBS Interactive or our users.     When required by law or public authorities.  ","Additional service/feature","Third Party Sharing/Collection"
"5","Disclosure of Information   We may share your information:     Where we have obtained your consent, including with video content and social networking services as described in our Video Services Policy.     With our third party service providers.     With business partners who sponsor a sweepstakes, contest, or promotion; or who jointly offer a service or feature with a CBS Interactive Service.     Within the family of CBS Interactive Services and other CBS businesses.     If a CBS Interactive Services is sold to another company.     To protect or defend the rights of CBS Interactive or our users.     When required by law or public authorities.  ","Merger/Acquisition","Third Party Sharing/Collection"
"5","Disclosure of Information   We may share your information:     Where we have obtained your consent, including with video content and social networking services as described in our Video Services Policy.     With our third party service providers.     With business partners who sponsor a sweepstakes, contest, or promotion; or who jointly offer a service or feature with a CBS Interactive Service.     Within the family of CBS Interactive Services and other CBS businesses.     If a CBS Interactive Services is sold to another company.     To protect or defend the rights of CBS Interactive or our users.     When required by law or public authorities.  ","Service operation and security","Third Party Sharing/Collection"
"5","Disclosure of Information   We may share your information:     Where we have obtained your consent, including with video content and social networking services as described in our Video Services Policy.     With our third party service providers.     With business partners who sponsor a sweepstakes, contest, or promotion; or who jointly offer a service or feature with a CBS Interactive Service.     Within the family of CBS Interactive Services and other CBS businesses.     If a CBS Interactive Services is sold to another company.     To protect or defend the rights of CBS Interactive or our users.     When required by law or public authorities.  ","Legal requirement","Third Party Sharing/Collection"
