"3"," Your California Privacy Rights    (As provided by California Civil Code Section 1798.83)   California residents have the right to request and obtain from us, once a year and free of charge, a list of the third parties to whom we have disclosed certain types of personal information (if any) for their direct marketing purposes in the prior calendar year. At our option, we may respond by providing instructions about how our users can prevent our disclosure of personal information to third parties for their direct marketing purposes. You can read these instructions in the section of our Online Privacy Policy titled ""How We Disclose Information and Your Related Opt-out Choices."" Or, if you are a California resident and prefer that we send you a separate response, please email your request to privacy@meredith.com  ","Marketing","User Choice/Control"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Personalization/Customization","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Basic service/feature","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Analytics/Research","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Analytics/Research","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Marketing","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Other","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Other","First Party Collection/Use"
"6"," How We Use the Information We Collect      We and our service providers use the information about you we collect for a variety purposes including to:     Customize the content and advertising you see and recognize you as a previous visitor.     Provide the services you request and improve these services.     Tell you about offers we think you will value.     Conduct market research and audience analysis     For any other purpose described at the point of collection or with your consent.  ","Advertising","First Party Collection/Use"
"7"," How Do We Share Information-    We may share anonymous or aggregated information about you in a way that does not identify you personally as we deem appropriate. Except as otherwise noted in our Privacy Policy, we may share your other information in various circumstances, including:     When we have obtained your consent.     With business partners that co-sponsor promotions we offer or provide a tool or feature accessible through our Services.     Within the family of Meredith sites and Services and with other Meredith businesses.     With our service providers, select third-party advertisers and other companies involved in the delivery of the advertising you see online and offline.     To protect or defend the rights of Meredith or our users.     Together with other assets, if a Meredith website or Service is sold to another company.     When required by law or as we deem necessary or appropriate to respond to requests from public authorities.  ","Other","Third Party Sharing/Collection"
