"1","Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  ","Unnamed third party","Third Party Sharing/Collection"
"1","Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  ","Named third party","Third Party Sharing/Collection"
"4","Information you choose to provide : You may choose to open an account and if you are age 13 or older, provide us with information in order to use certain services or products, like Dictionary.com Premium or Word Dynamo, or to take advantage of special offers, like a contest or a sweepstakes. This information may include your name, email address, phone number, credit card information (including billing address), and demographic information (age, gender, etc.). You may provide this information directly to us or you may choose to register using your Facebook account in which case you would authorize us to access certain Facebook profile information including your first name, last name, gender, birth date and email address. You may also choose to post content (such as custom flashcards) that you may share with others, through our site or through your Twitter or Facebook account. You do not have to provide any of this information to us. But if you do not provide certain information, you will not be able to use some of the services we offer. If you wish, we will delete your account information; to do so, please log into Dictionary.com using the account you wish to close,then close your acount at http://app.dictionary.com/users/cancelaccount.  ","Named third party","Third Party Sharing/Collection"
"4","Information you choose to provide : You may choose to open an account and if you are age 13 or older, provide us with information in order to use certain services or products, like Dictionary.com Premium or Word Dynamo, or to take advantage of special offers, like a contest or a sweepstakes. This information may include your name, email address, phone number, credit card information (including billing address), and demographic information (age, gender, etc.). You may provide this information directly to us or you may choose to register using your Facebook account in which case you would authorize us to access certain Facebook profile information including your first name, last name, gender, birth date and email address. You may also choose to post content (such as custom flashcards) that you may share with others, through our site or through your Twitter or Facebook account. You do not have to provide any of this information to us. But if you do not provide certain information, you will not be able to use some of the services we offer. If you wish, we will delete your account information; to do so, please log into Dictionary.com using the account you wish to close,then close your acount at http://app.dictionary.com/users/cancelaccount.  ","Other","Third Party Sharing/Collection"
"9"," Use of your information by other companies    We share user information with other companies for various reasons. What information we make available to other companies depends on the nature of our relationships with them. We generally require these other companies to keep our users' information confidential.  ","Unnamed third party","Third Party Sharing/Collection"
"9"," Use of your information by other companies    We share user information with other companies for various reasons. What information we make available to other companies depends on the nature of our relationships with them. We generally require these other companies to keep our users' information confidential.  ","Unnamed third party","Third Party Sharing/Collection"
"10","Service Providers : We may share all of the types of information we collect with vendors who provide services (such as voice transcription, email and SMS messaging, and payment processing), conduct surveys, and run sweepstakes on our behalf.  ","Named third party","Third Party Sharing/Collection"
"10","Service Providers : We may share all of the types of information we collect with vendors who provide services (such as voice transcription, email and SMS messaging, and payment processing), conduct surveys, and run sweepstakes on our behalf.  ","Named third party","Third Party Sharing/Collection"
"10","Service Providers : We may share all of the types of information we collect with vendors who provide services (such as voice transcription, email and SMS messaging, and payment processing), conduct surveys, and run sweepstakes on our behalf.  ","Unnamed third party","Third Party Sharing/Collection"
"11","Advertisers : Advertisers and advertising networks use tracking technologies to collect information about users' computers or mobile devices and their online activities (for example, web pages visited and searches made) as well as general geographic location and use that information to display targeted ads to users. We sometimes allow these ad companies to collect such information when you use our sites and apps to enable them to display targeted ads to you.  ","Named third party","Third Party Sharing/Collection"
"11","Advertisers : Advertisers and advertising networks use tracking technologies to collect information about users' computers or mobile devices and their online activities (for example, web pages visited and searches made) as well as general geographic location and use that information to display targeted ads to users. We sometimes allow these ad companies to collect such information when you use our sites and apps to enable them to display targeted ads to you.  ","Unnamed third party","Third Party Sharing/Collection"
