"6","Our ability to provide enhanced services may occasionally depend on our ability to develop summary reports for our advertising agents that contain raw numbers or statistics (but never tell them who it was that stated a preference or clicked an option).  ","Named third party","Third Party Sharing/Collection"
"8"," WHO HAS ACCESS TO YOUR PERSONAL INFORMATION    The information that you provide is collected by TGI Fridays. In the case of links to our gift card and guest recognition sites, the information you voluntarily provide at those sites will only be shared with those service vendors who help TGI Fridays administer those websites or mobile application and the services they provide. In any case, TGI Fridays is the lawful ""owner"" of the information and each of these vendors may use the information only for the purpose of administering the digital or mobile application and its services for TGI Fridays, and will take all necessary precautions to protect the information. Ownership of any information you provide us will be held solely by TGI Fridays. We will not sell ownership of this data to any other company or organization.  ","Unnamed third party","Third Party Sharing/Collection"
"8"," WHO HAS ACCESS TO YOUR PERSONAL INFORMATION    The information that you provide is collected by TGI Fridays. In the case of links to our gift card and guest recognition sites, the information you voluntarily provide at those sites will only be shared with those service vendors who help TGI Fridays administer those websites or mobile application and the services they provide. In any case, TGI Fridays is the lawful ""owner"" of the information and each of these vendors may use the information only for the purpose of administering the digital or mobile application and its services for TGI Fridays, and will take all necessary precautions to protect the information. Ownership of any information you provide us will be held solely by TGI Fridays. We will not sell ownership of this data to any other company or organization.  ","Unnamed third party","Third Party Sharing/Collection"
"8"," WHO HAS ACCESS TO YOUR PERSONAL INFORMATION    The information that you provide is collected by TGI Fridays. In the case of links to our gift card and guest recognition sites, the information you voluntarily provide at those sites will only be shared with those service vendors who help TGI Fridays administer those websites or mobile application and the services they provide. In any case, TGI Fridays is the lawful ""owner"" of the information and each of these vendors may use the information only for the purpose of administering the digital or mobile application and its services for TGI Fridays, and will take all necessary precautions to protect the information. Ownership of any information you provide us will be held solely by TGI Fridays. We will not sell ownership of this data to any other company or organization.  ","Named third party","Third Party Sharing/Collection"
"9","We will not transfer information to competitors. Your information will always be used only to help us ensure that our website, mobile application and any related services meet your expectations. At TGI Fridays, your personal information is safe. We don't sell or lend your information to anyone, and only share information with the parties described above.  ","Unnamed third party","Third Party Sharing/Collection"
"9","We will not transfer information to competitors. Your information will always be used only to help us ensure that our website, mobile application and any related services meet your expectations. At TGI Fridays, your personal information is safe. We don't sell or lend your information to anyone, and only share information with the parties described above.  ","Unnamed third party","Third Party Sharing/Collection"
"9","We will not transfer information to competitors. Your information will always be used only to help us ensure that our website, mobile application and any related services meet your expectations. At TGI Fridays, your personal information is safe. We don't sell or lend your information to anyone, and only share information with the parties described above.  ","Named third party","Third Party Sharing/Collection"
"9","We will not transfer information to competitors. Your information will always be used only to help us ensure that our website, mobile application and any related services meet your expectations. At TGI Fridays, your personal information is safe. We don't sell or lend your information to anyone, and only share information with the parties described above.  ","Other","Third Party Sharing/Collection"
"10"," INFORMATION DISTRIBUTION    It is our strict policy not to share your personal information or preferences with any third party, except as is necessary to operate and improve our digital or mobile application, or to provide any service requested by you on our digital or mobile application.  ","Unnamed third party","Third Party Sharing/Collection"
"11","Although unlikely, we may be required by law enforcement or judicial authorities to provide personally identifiable information to the appropriate governmental authorities. If requested as part of a legal proceeding, we will provide this information upon receipt of the appropriate documentation.  ","Other","Third Party Sharing/Collection"
"11","Although unlikely, we may be required by law enforcement or judicial authorities to provide personally identifiable information to the appropriate governmental authorities. If requested as part of a legal proceeding, we will provide this information upon receipt of the appropriate documentation.  ","Named third party","Third Party Sharing/Collection"
"12","It is not our usual policy, but from time to time we may permit other companies to place advertising on our website, and these companies may collect information about you through the use of cookies when you view or click their advertising or content (using the same techniques described above). Due to the way the Internet operates, we cannot control this collection of information. You should contact these advertisers or content providers if you have any questions about their use of the information they collect.  ","Unnamed third party","Third Party Sharing/Collection"
